Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US007408719_Example01P.zmx
Title:	US 7,408,719 Example 1 (Olympus Zuiko Digital ED 150mm F2.0)
Date:	11/7/2025 5:01:19 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.0465993      0.66117824      0.44828497       1.6272659
      0.76333333       1.0466923      0.65848821      0.44799475       1.6267390
       1.5266667       1.0471405      0.65062166      0.44729695       1.6253092
       2.2900000       1.0484463      0.63819357      0.44670752       1.6234298
       3.0533333       1.0514303      0.62224593      0.44707992       1.6218577
       3.8166667       1.0572109      0.60428257      0.44960224       1.6216574
       4.5800000       1.0671846      0.58633485      0.45580631       1.6242103
       5.3433333       1.0830172      0.57106732      0.46759760       1.6312307
       6.1066667       1.1066550      0.56191246      0.48730731       1.6447913
       6.8700000       1.1403639      0.56317281      0.51775058       1.6673561
       7.6333333       1.1867964      0.57996023      0.56225607       1.7018163
       8.3966667       1.2490711      0.61784552      0.62463038       1.7515176
       9.1600000       1.3308415      0.68228573      0.70905060       1.8202651
       9.9233333       1.4363202      0.77816778      0.81992259       1.9122907
       10.686667       1.5702372      0.90977204      0.96176055       2.0321756
       11.450000       1.7377316       1.0810850       1.1391202       2.1847356
