Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US007864451_Example01P.zmx
Title:	US 7,864,451 Example 1 (Canon EF100mm f2.8L Macro IS USM)
Date:	11/7/2025 5:01:32 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.32771156      0.43377899      0.29528327      0.21639819
       1.4426667      0.34096765      0.44016738      0.30186616      0.21037781
       2.8853333      0.37754261      0.45865052      0.32107343      0.19289950
       4.3280000      0.43023686      0.48706231      0.35121570      0.16587257
       5.7706667      0.49136742      0.52139826      0.38924616      0.13317185
       7.2133333      0.55389868      0.55526296      0.43039961      0.10243516
       8.6560000      0.61117924      0.57936382      0.46781531     0.088411428
       10.098667      0.65764801      0.58245216      0.49294919      0.10788894
       11.541333      0.69497695      0.56118440      0.50070755      0.17124110
       12.984000      0.75672542      0.57318154      0.51655420      0.31143881
       14.426667      0.96739903      0.85146440      0.67622509      0.60174142
       15.869333       1.5658091       1.6792317       1.2249128       1.1655184
       17.312000       2.8504082       3.3358589       2.4096416       2.2139751
       18.754667       5.2689811       6.3524520       4.6271904       4.1163828
       20.197333       9.5888715       11.662399       8.5871915       7.4998979
       21.640000       17.001726       20.686671       15.401632       13.340560
