Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US02171640-1.zmx
Title:	
Date:	11/7/2025 4:19:57 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in degrees
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       3.2639261
       1.0000000      0.99931266       3.2650484
       2.0000000      0.99725284       3.2684186
       3.0000000      0.99382719       3.2740468
       4.0000000      0.98904695       3.2819493
       5.0000000      0.98292827       3.2921484
       6.0000000      0.97549267       3.3046716
       7.0000000      0.96676777       3.3195501
       8.0000000      0.95678846       3.3368167
       9.0000000      0.94559856       3.3565020
       10.000000      0.93325343       3.3786291
       11.000000      0.91982362       3.4032044
       12.000000      0.90540037       3.4302043
       13.000000      0.89010318       3.4595542
       14.000000      0.87409053       3.4910985
       15.000000      0.85244206       3.5351503
       16.000000      0.83574225       3.5702953
       17.000000      0.78202974       3.6908694
       18.000000      0.74638799       3.7779656
       19.000000      0.68727845       3.9370774
       20.000000      0.60632357       4.1916797
