Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US02194413-1(1).ZMX
Title:	US Pat 2194413 ex 1
Date:	11/7/2025 5:02:48 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in degrees.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       26.399568       29.534419       24.403317       24.960124
       1.4000000       26.811383       30.030983       24.789107       25.297168
       2.8000000       28.075643       31.556934       25.974886       26.329858
       4.2000000       30.261688       34.198848       28.028799       28.110915
       5.6000000       33.439348       38.042613       31.018836       30.695306
       7.0000000       37.640432       43.126519       34.974759       34.110158
       8.4000000       42.839274       49.420164       39.869271       38.336510
       9.8000000       48.952162       56.826705       45.617813       43.305070
       11.200000       55.845242       65.194224       52.086202       48.899853
       12.600000       63.342513       74.326226       59.097651       54.963049
       14.000000       71.231825       83.989716       66.437005       61.298325
       15.400000       79.271827       93.925146       73.854618       67.673521
       16.800000       87.206853       103.86718       81.075661       73.826904
       18.200000       94.803631       113.59351       87.826129       79.485764
       19.600000       101.93947       123.03808       93.900018       84.416830
       21.000000       108.80358       132.54023       99.323912       88.554249
