Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US02363712-1.zmx
Title:	
Date:	11/7/2025 5:41:44 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000    -0.057800654    -0.057800654      0.00000000      0.00000000      0.00000000
      0.21000000    -0.057839744    -0.057860041     0.092712352     0.092712324  3.0238942E-005
      0.42000000    -0.057951723    -0.058038167      0.18542771      0.18542714  3.1015521E-004
      0.63000000    -0.058136430    -0.058334931      0.27814910      0.27814694  7.7662491E-004
      0.84000000    -0.058393589    -0.058750164      0.37087951      0.37087421  1.4295617E-003
       1.0500000    -0.058722819    -0.059283629      0.46362197      0.46361145  2.2688443E-003
       1.2600000    -0.059123626    -0.059935020      0.55637947      0.55636114  3.2943162E-003
       1.4700000    -0.059595410    -0.060703963      0.64915505      0.64912580  4.5057847E-003
       1.6800000    -0.060137460    -0.061590018      0.74195170      0.74190790  5.9030209E-003
       1.8900000    -0.060748956    -0.062592672      0.83477244      0.83470996  7.4857664E-003
       2.1000000    -0.061428968    -0.063711346      0.92762030      0.92753447  9.2537005E-003
       2.3100000    -0.062176460    -0.064945389       1.0204983       1.0203839     0.011206487
       2.5200000    -0.062990287    -0.066294082       1.1134094       1.1132608     0.013343742
       2.7300000    -0.063869193    -0.067756634       1.2063567       1.2061677     0.015665040
       2.9400000    -0.064811818    -0.069332183       1.2993432       1.2991071     0.018169910
       3.1500000    -0.065816694    -0.071019795       1.3923718       1.3920815     0.020857840
       3.3600000    -0.066882243    -0.072818463       1.4854457       1.4850934     0.023728268
       3.5700000    -0.068006784    -0.074727107       1.5785679       1.5781453     0.026780585
       3.7800000    -0.069188529    -0.076744574       1.6717414       1.6712398     0.030014133
       3.9900000    -0.070425585    -0.078869634       1.7649691       1.7643793     0.033428199
       4.2000000    -0.071715954    -0.081100981       1.8582543       1.8575666     0.037022016
       4.4100000    -0.073057535    -0.083437234       1.9515998       1.9508040     0.040794760
