Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US02701982-1.zmx
Title:	
Date:	11/7/2025 5:05:08 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in degrees.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.30454417      0.42675335     0.053978091      0.30530215
       1.2000000      0.30659511      0.43316579     0.055324512      0.30119381
       2.4000000      0.31559482      0.45463657     0.072200662      0.29080593
       3.6000000      0.33885544      0.49655357      0.11946454      0.28025261
       4.8000000      0.38430655      0.56427731      0.19406889      0.27982781
       6.0000000      0.45599001      0.66035541      0.29036249      0.30085075
       7.2000000      0.55296153      0.78410814      0.40426723      0.34887642
       8.4000000      0.67161963      0.93317162      0.53244707      0.42106664
       9.6000000      0.80843646       1.1056291      0.67235157      0.51080671
       10.800000      0.96219357       1.3024050      0.82323290      0.61272829
       12.000000       1.1366989       1.5305605      0.98839226      0.72596464
       13.200000       1.3451352       1.8083496       1.1792626      0.85809102
       14.400000       1.6166072       2.1724498       1.4217757       1.0314035
       15.600000       2.0040199       2.6865933       1.7641551       1.2902872
       16.800000       2.5909744       3.4499769       2.2834201       1.7052007
       18.000000       3.4979848       4.6066212       3.0898401       2.3725164
