Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US02959102-1.zmx
Title:	Lens
Date:	11/7/2025 4:22:08 PM

0 message(s) in output.
Wavelength: 0.550000 µm
Field values are in degrees
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       2.5676301
       1.5000000      0.99862517       2.5693970
       3.0000000      0.99451038       2.5747069
       4.5000000      0.98768462       2.5835883
       6.0000000      0.97819588       2.5960888
       7.5000000      0.96611073       2.6122757
       9.0000000      0.95151361       2.6322368
       10.500000      0.93450596       2.6560817
       12.000000      0.90945938       2.6924076
       13.500000      0.88210910       2.7338288
       15.000000      0.85898221       2.7703866
       16.500000      0.82912933       2.8198196
       18.000000      0.79385968       2.8817784
       19.500000      0.73205084       3.0009713
       21.000000      0.69231729       3.0858860
       22.500000      0.63790188       3.2148116
       24.000000      0.55654802       3.4417644
       25.500000      0.51240362       3.5869586
       27.000000      0.45564482       3.8038138
       28.500000      0.39008771       4.1110365
       30.000000      0.32049528       4.5354632
