Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US04709998-1.zmx
Title:	
Date:	11/7/2025 5:07:31 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.15152445     0.058753718     0.010417651      0.25557474
      0.80000000      0.15280186     0.061213389     0.012842860      0.25488299
       1.6000000      0.15652166     0.067791887     0.017986307      0.25280963
       2.4000000      0.16237825     0.076755828     0.023542626      0.24936287
       3.2000000      0.16995241     0.086414669     0.028533290      0.24456553
       4.0000000      0.17880517     0.095464787     0.032529100      0.23847166
       4.8000000      0.18856111      0.10295531     0.035440264      0.23119610
       5.6000000      0.19897522      0.10821261     0.037636239      0.22296519
       6.4000000      0.20999036      0.11083545     0.040260304      0.21420129
       7.2000000      0.22179558      0.11080434     0.045492433      0.20565719
       8.0000000      0.23489186      0.10877980     0.056087523      0.19860954
       8.8000000      0.25016417      0.10671108     0.074194236      0.19507560
       9.6000000      0.26894787      0.10869343      0.10098731      0.19789933
       10.400000      0.29306800      0.12098018      0.13731069      0.21043457
       11.200000      0.32483093      0.14946102      0.18421534      0.23577618
       12.000000      0.36697134      0.19711477      0.24315831      0.27612897
