Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US04852984-1.ZMX
Title:	
Date:	11/7/2025 4:23:00 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in degrees
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      1.00000000       1.4687169
      0.72000000      0.99978600       1.4688741
       1.4400000      0.99914530       1.4693450
       2.1600000      0.99178494       1.4747872
       2.8800000      0.99032101       1.4758768
       3.6000000      0.98844335       1.4772779
       4.3200000      0.97885409       1.4844963
       5.0400000      0.97623827       1.4864838
       5.7600000      0.97037372       1.4909689
       6.4800000      0.95897593       1.4998031
       7.2000000      0.92801931       1.5246129
       7.9200000      0.86053263       1.5832680
       8.6400000      0.83273446       1.6094772
       9.3600000      0.81319897       1.6286947
       10.080000      0.77773267       1.6654168
       10.800000      0.71571262       1.7360761
       11.520000      0.68963274       1.7685982
       12.240000      0.62038527       1.8646931
       12.960000      0.54857226       1.9829930
       13.680000      0.51249464       2.0516036
       14.400000      0.47451545       2.1321263
