Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US05745306-3.zmx
Title:	
Date:	11/7/2025 5:47:21 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     -0.18153451     -0.18153451      0.00000000      0.00000000      0.00000000
      0.21000000     -0.18152527     -0.18153127      0.21020538      0.21020519  9.1909134E-005
      0.42000000     -0.18149992     -0.18152155      0.42041147      0.42041038  2.5860264E-004
      0.63000000     -0.18145838     -0.18150533      0.63061896      0.63061557  5.3639110E-004
      0.84000000     -0.18140059     -0.18148261      0.84082854      0.84082076  9.2528909E-004
       1.0500000     -0.18132642     -0.18145335       1.0510409       1.0510260  1.4252852E-003
       1.2600000     -0.18123572     -0.18141753       1.2612568       1.2612311  2.0363912E-003
       1.4700000     -0.18112830     -0.18137510       1.4714769       1.4714363  2.7586072E-003
       1.6800000     -0.18100393     -0.18132602       1.6817019       1.6816415  3.5919328E-003
       1.8900000     -0.18086236     -0.18127024       1.8919325       1.8918467  4.5363679E-003
       2.1000000     -0.18070329     -0.18120770       2.1021695       2.1020519  5.5919123E-003
       2.3100000     -0.18052639     -0.18113833       2.3124134       2.3122571  6.7585660E-003
       2.5200000     -0.18033131     -0.18106206       2.5226650       2.5224623  8.0363285E-003
       2.7300000     -0.18011764     -0.18097881       2.7329250       2.7326675  9.4251999E-003
       2.9400000     -0.17988495     -0.18088848       2.9431942       2.9428727     0.010925180
       3.1500000     -0.17963279     -0.18079100       3.1534731       3.1530779     0.012536269
       3.3600000     -0.17936065     -0.18068626       3.3637626       3.3632831     0.014258466
       3.5700000     -0.17906799     -0.18057414       3.5740633       3.5734883     0.016091771
       3.7800000     -0.17875426     -0.18045454       3.7843759       3.7836934     0.018036185
       3.9900000     -0.17841885     -0.18032733       3.9947011       3.9938986     0.020091707
       4.2000000     -0.17806113     -0.18019239       4.2050396       4.2041038     0.022258338
       4.4100000     -0.17768044     -0.18004958       4.4153921       4.4143090     0.024536078
       4.6200000     -0.17727607     -0.17989876       4.6257594       4.6245142     0.026924927
       4.8300000     -0.17684730     -0.17973978       4.8361420       4.8347194     0.029424886
       5.0400000     -0.17639337     -0.17957250       5.0465408       5.0449246     0.032035956
       5.2500000     -0.17591348     -0.17939674       5.2569564       5.2551298     0.034758136
       5.4600000     -0.17540680     -0.17921233       5.4673895       5.4653350     0.037591429
       5.6700000     -0.17487247     -0.17901912       5.6778408       5.6755402     0.040535834
       5.8800000     -0.17430962     -0.17881691       5.8883110       5.8857454     0.043591354
       6.0900000     -0.17371732     -0.17860551       6.0988009       6.0959505     0.046757990
       6.3000000     -0.17309461     -0.17838475       6.3093111       6.3061557     0.050035744
       6.5100000     -0.17244053     -0.17815440       6.5198423       6.5163609     0.053424617
       6.7200000     -0.17175407     -0.17791428       6.7303952       6.7265661     0.056924613
       6.9300000     -0.17103418     -0.17766417       6.9409705       6.9367713     0.060535734
       7.1400000     -0.17027980     -0.17740384       7.1515690       7.1469765     0.064257982
       7.3500000     -0.16948984     -0.17713308       7.3621913       7.3571817     0.068091361
       7.5600000     -0.16866317     -0.17685166       7.5728381       7.5673869     0.072035875
       7.7700000     -0.16779865     -0.17655934       7.7835102       7.7775921     0.076091527
       7.9800000     -0.16689510     -0.17625587       7.9942081       7.9877973     0.080258323
       8.1900000     -0.16595131     -0.17594102       8.2049327       8.1980025     0.084536267
       8.4000000     -0.16496607     -0.17561452       8.4156847       8.4082076     0.088925365
       8.6100000     -0.16393811     -0.17527612       8.6264646       8.6184128     0.093425623
       8.8200000     -0.16286617     -0.17492555       8.8372733       8.8286180     0.098037047
       9.0300000     -0.16174893     -0.17456255       9.0481115       9.0388232      0.10275964
       9.2400000     -0.16058508     -0.17418683       9.2589798       9.2490284      0.10759342
       9.4500000     -0.15937327     -0.17379813       9.4698789       9.4592336      0.11253839
       9.6600000     -0.15811213     -0.17339614       9.6808095       9.6694388      0.11759456
       9.8700000     -0.15680027     -0.17298059       9.8917724       9.8796440      0.12276194
       10.080000     -0.15543629     -0.17255116       10.102768       10.089849      0.12804053
       10.290000     -0.15401874     -0.17210758       10.313798       10.300054      0.13343036
       10.500000     -0.15254620     -0.17164952       10.524862       10.510260      0.13893143
       10.710000     -0.15101718     -0.17117667       10.735961       10.720465      0.14454375
       10.920000     -0.14943020     -0.17068873       10.947095       10.930670      0.15026735
       11.130000     -0.14778378     -0.17018538       11.158266       11.140875      0.15610223
       11.340000     -0.14607639     -0.16966628       11.369475       11.351080      0.16204841
       11.550000     -0.14430650     -0.16913111       11.580721       11.561286      0.16810592
       11.760000     -0.14247258     -0.16857955       11.792005       11.771491      0.17427476
       11.970000     -0.14057307     -0.16801124       12.003329       11.981696      0.18055496
       12.180000     -0.13860641     -0.16742586       12.214693       12.191901      0.18694653
       12.390000     -0.13657102     -0.16682306       12.426098       12.402106      0.19344951
       12.600000     -0.13446533     -0.16620249       12.637544       12.612311      0.20006391
       12.810000     -0.13228773     -0.16556380       12.849032       12.822517      0.20678976
       13.020000     -0.13003664     -0.16490665       13.060563       13.032722      0.21362708
       13.230000     -0.12771045     -0.16423066       13.272138       13.242927      0.22057591
       13.440000     -0.12530757     -0.16353549       13.483756       13.453132      0.22763627
       13.650000     -0.12282637     -0.16282077       13.695420       13.663337      0.23480819
       13.860000     -0.12026527     -0.16208613       13.907129       13.873543      0.24209171
       14.070000     -0.11762264     -0.16133121       14.118885       14.083748      0.24948687
       14.280000     -0.11489690     -0.16055564       14.330688       14.293953      0.25699369
       14.490000     -0.11208643     -0.15975906       14.542538       14.504158      0.26461222
       14.700000     -0.10918965     -0.15894107       14.754437       14.714363      0.27234250
       14.910000     -0.10620497     -0.15810132       14.966385       14.924569      0.28018458
       15.120000     -0.10313081     -0.15723942       15.178383       15.134774      0.28813849
       15.330000    -0.099965609     -0.15635501       15.390431       15.344979      0.29620428
       15.540000    -0.096707820     -0.15544769       15.602531       15.555184      0.30438201
       15.750000    -0.093355902     -0.15451710       15.814683       15.765389      0.31267173
       15.960000    -0.089908338     -0.15356285       16.026888       15.975595      0.32107349
       16.170000    -0.086363630     -0.15258457       16.239146       16.185800      0.32958735
       16.380000    -0.082720300     -0.15158188       16.451458       16.396005      0.33821337
       16.590000    -0.078976895     -0.15055440       16.663826       16.606210      0.34695162
       16.800000    -0.075131990     -0.14950175       16.876248       16.816415      0.35580216
       17.010000    -0.071184190     -0.14842356       17.088728       17.026620      0.36476506
       17.220000    -0.067132126     -0.14731945       17.301264       17.236826      0.37384040
       17.430000    -0.062974471     -0.14618905       17.513858       17.447031      0.38302825
       17.640000    -0.058709932     -0.14503199       17.726510       17.657236      0.39232868
       17.850000    -0.054337256     -0.14384789       17.939222       17.867441      0.40174180
       18.060000    -0.049855233     -0.14263640       18.151994       18.077646      0.41126767
       18.270000    -0.045262700     -0.14139715       18.364826       18.287852      0.42090640
       18.480000    -0.040558547     -0.14012977       18.577720       18.498057      0.43065808
       18.690000    -0.035741709     -0.13883392       18.790676       18.708262      0.44052280
       18.900000    -0.030811187     -0.13750925       19.003695       18.918467      0.45050068
       19.110000    -0.025766031     -0.13615539       19.216778       19.128672      0.46059182
       19.320000    -0.020605370     -0.13477202       19.429924       19.338878      0.47079634
       19.530000    -0.015328386     -0.13335879       19.643136       19.549083      0.48111434
       19.740000 -9.9343417E-003     -0.13191537       19.856414       19.759288      0.49154596
       19.950000 -4.4225718E-003     -0.13044144       20.069758       19.969493      0.50209132
       20.160000  1.2075079E-003     -0.12893667       20.283170       20.179698      0.51275056
       20.370000  6.9563926E-003     -0.12740077       20.496650       20.389904      0.52352382
