Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US07190532-1.ZMX
Title:	Olympus cellphone 
Date:	11/7/2025 5:09:27 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in degrees.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.13030782      0.12316775     0.090844320      0.16588369
       2.2000000      0.13178404      0.12666424     0.088063835      0.16299464
       4.4000000      0.13694502      0.13611888     0.080588805      0.15503125
       6.6000000      0.14705914      0.14907028     0.070885155      0.14388751
       8.8000000      0.16227984      0.16300320     0.062878314      0.13218796
       11.000000      0.18119097      0.17648184     0.061566357      0.12289265
       13.200000      0.20160851      0.18936319     0.070125459      0.11881621
       15.400000      0.22130887      0.20186120     0.086668031      0.12153381
       17.600000      0.23816412      0.21298767      0.10649694      0.13025699
       19.800000      0.25011746      0.21946463      0.12506345      0.14237045
       22.000000      0.25567318      0.21582850      0.13925306      0.15567706
       24.200000      0.25589216      0.19608158      0.14991572      0.17155989
       26.400000      0.25956667      0.16010049      0.16813849      0.19905805
       28.600000      0.28917935      0.14130125      0.21912494      0.25593935
       30.800000      0.36757502      0.21648795      0.32486242      0.36006100
       33.000000      0.49836915      0.38310784      0.49463652      0.52417587
