Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US08000032-1.ZMX
Title:	US Pat#8,000,032
Date:	11/7/2025 3:57:36 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000 -5.9780305E-003  2.7312372E-003     0.016570150
     0.010000000 -5.9963123E-003  2.7110787E-003     0.016549382
     0.020000000 -6.0692976E-003  2.6305823E-003     0.016466444
     0.030000000 -6.1904350E-003  2.4969114E-003     0.016328699
     0.040000000 -6.3589683E-003  2.3108000E-003     0.016136875
     0.050000000 -6.5738402E-003  2.0732742E-003     0.015891989
     0.060000000 -6.8336936E-003  1.7856508E-003     0.015595347
     0.070000000 -7.1368736E-003  1.4495359E-003     0.015248541
     0.080000000 -7.4814301E-003  1.0668218E-003     0.014853446
     0.090000000 -7.8651201E-003  6.3968521E-004     0.014412221
      0.10000000 -8.2854113E-003  1.7058331E-004     0.013927301
      0.11000000 -8.7394858E-003 -3.3774954E-004     0.013401397
      0.12000000 -9.2242445E-003 -8.8230620E-004     0.012837490
      0.13000000 -9.7363120E-003 -1.4598116E-003     0.012238826
      0.14000000    -0.010272042 -2.0667282E-003     0.011608914
      0.15000000    -0.010827526 -2.6992621E-003     0.010951513
      0.16000000    -0.011398594 -3.3533702E-003     0.010270632
      0.17000000    -0.011980832 -4.0247677E-003  9.5705182E-003
      0.18000000    -0.012569583 -4.7089368E-003  8.8556513E-003
      0.19000000    -0.013159960 -5.4011367E-003  8.1307313E-003
      0.20000000    -0.013746858 -6.0964139E-003  7.4006689E-003
      0.21000000    -0.014324964 -6.7896147E-003  6.6705740E-003
      0.22000000    -0.014888775 -7.4753985E-003  5.9457420E-003
      0.23000000    -0.015432608 -8.1482523E-003  5.2316390E-003
      0.24000000    -0.015950621 -8.8025077E-003  4.5338859E-003
      0.25000000    -0.016436831 -9.4323591E-003  3.8582400E-003
      0.26000000    -0.016885136    -0.010031884  3.2105750E-003
      0.27000000    -0.017289334    -0.010595065  2.5968587E-003
      0.28000000    -0.017643156    -0.011115815  2.0231288E-003
      0.29000000    -0.017940286    -0.011588005  1.4954656E-003
      0.30000000    -0.018174402    -0.012005495  1.0199626E-003
      0.31000000    -0.018339198    -0.012362161  6.0269338E-004
      0.32000000    -0.018428434    -0.012651942  2.4967656E-004
      0.33000000    -0.018435969    -0.012868870 -3.3163764E-005
      0.34000000    -0.018355807    -0.013007116 -2.4004031E-004
      0.35000000    -0.018182149    -0.013061038 -3.6534890E-004
      0.36000000    -0.017909440    -0.013025233 -4.0371852E-004
      0.37000000    -0.017532433    -0.012894585 -3.5006545E-004
      0.38000000    -0.017046243    -0.012664334 -1.9965145E-004
      0.39000000    -0.016446418    -0.012330130  5.1853732E-005
      0.40000000    -0.015729006    -0.011888106  4.0830563E-004
      0.41000000    -0.014890630    -0.011334949  8.7301399E-004
      0.42000000    -0.013928570    -0.010667973  1.4486675E-003
      0.43000000    -0.012840844 -9.8852042E-003  2.1372542E-003
      0.44000000    -0.011626295 -8.9854627E-003  2.9399785E-003
      0.45000000    -0.010284684 -7.9684508E-003  3.8571736E-003
      0.46000000 -8.8167847E-003 -6.8348445E-003  4.8882116E-003
      0.47000000 -7.2244824E-003 -5.5863878E-003  6.0314103E-003
      0.48000000 -5.5108715E-003 -4.2259892E-003  7.2839376E-003
      0.49000000 -3.6803593E-003 -2.7578195E-003  8.6417154E-003
      0.50000000 -1.7387673E-003 -1.1874094E-003     0.010099322
      0.51000000  3.0656741E-004  4.7825226E-004     0.011649897
      0.52000000  2.4466931E-003  2.2306235E-003     0.013285046
      0.53000000  4.6709479E-003  4.0595174E-003     0.014994747
      0.54000000  6.9668702E-003  5.9530159E-003     0.016767273
      0.55000000  9.3201170E-003  7.8973908E-003     0.018589104
      0.56000000     0.011714392  9.8770352E-003     0.020444869
      0.57000000     0.014131389     0.011874408     0.022317281
      0.58000000     0.016550748     0.013869992     0.024187105
      0.59000000     0.018950036     0.015842274     0.026033131
      0.60000000     0.021304745     0.017767749     0.027832181
      0.61000000     0.023588330     0.019620943     0.029559131
      0.62000000     0.025772266     0.021374481     0.031186978
      0.63000000     0.027826155     0.022999181     0.032686932
      0.64000000     0.029717870     0.024464196     0.034028556
      0.65000000     0.031413759     0.025737204     0.035179951
      0.66000000     0.032878892     0.026784651     0.036108002
      0.67000000     0.034077390     0.027572062     0.036778675
      0.68000000     0.034972814     0.028064412     0.037157392
      0.69000000     0.035528642     0.028226587     0.037209482
      0.70000000     0.035708833     0.028023921     0.036900708
      0.71000000     0.035478490     0.027422835     0.036197902
      0.72000000     0.034804634     0.026391578     0.035069693
      0.73000000     0.033657096     0.024901078     0.033487352
      0.74000000     0.032009536     0.022925929     0.031425760
      0.75000000     0.029840603     0.020445497     0.028864504
      0.76000000     0.027135244     0.017445181     0.025789124
      0.77000000     0.023886175     0.013917824     0.022192506
      0.78000000     0.020095518  9.8652931E-003     0.018076438
      0.79000000     0.015776624  5.3002241E-003     0.013453344
      0.80000000     0.010956081  2.4796008E-004  8.3481944E-003
      0.81000000  5.6759231E-003 -5.2513252E-003  2.8006071E-003
      0.82000000 -3.9600779E-006    -0.011140304 -3.1328545E-003
      0.83000000 -6.0031961E-003    -0.017341967 -9.3761822E-003
      0.84000000    -0.012218095    -0.023756892    -0.015831219
      0.85000000    -0.018518598    -0.030260305    -0.022374754
      0.86000000    -0.024745022    -0.036698944    -0.028855419
      0.87000000    -0.030704608    -0.042887736    -0.035090402
      0.88000000    -0.036167900    -0.048606321    -0.040862005
      0.89000000    -0.040864997    -0.053595444    -0.045914083
      0.90000000    -0.044481743    -0.057553305    -0.049948435
      0.91000000    -0.046655955    -0.060131958    -0.052621239
      0.92000000    -0.046973864    -0.060933913    -0.053539710
      0.93000000    -0.044967010    -0.059509199    -0.052259199
      0.94000000    -0.040109983    -0.055353262    -0.048281122
      0.95000000    -0.031819627    -0.047906262    -0.041052286
      0.96000000    -0.019456615    -0.036554685    -0.029966482
      0.97000000 -2.3308509E-003    -0.020636604    -0.014369689
      0.98000000     0.020287102  5.4730820E-004  6.4290675E-003
      0.99000000     0.049145145     0.027713796     0.033138051
       1.0000000     0.084974056     0.061563155     0.066449520
