Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US08014080-1.ZMX
Title:	
Date:	11/7/2025 5:10:24 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in degrees.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.17372808      0.11328041      0.14466071      0.23829637
       2.4666667      0.17753199      0.10695984      0.15188098      0.24216266
       4.9333333      0.18918655      0.10423096      0.16819816      0.24856874
       7.4000000      0.21097303      0.14268331      0.18955180      0.25095543
       9.8666667      0.25519573      0.23398706      0.23120193      0.25997317
       12.333333      0.32558211      0.35013525      0.30146977      0.29378257
       14.800000      0.39187247      0.44550327      0.36952335      0.33699607
       17.266667      0.40926702      0.47305929      0.38965992      0.34752155
       19.733333      0.34493371      0.40110357      0.32837850      0.29194989
       22.200000      0.20777476      0.24529744      0.18850698      0.17750592
       24.666667      0.21337627      0.24898920      0.18233403      0.19671148
       27.133333      0.46080001      0.52204017      0.43031679      0.41936162
       29.600000      0.69379294      0.77163778      0.66363947      0.63578339
       32.066667      0.81841457      0.88670737      0.79379888      0.76716018
       34.533333      0.84582870      0.88782458      0.82580392      0.81777834
       37.000000      0.99066528       1.0088395      0.97339785      0.98737124
