Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US08493664-2.ZMX
Title:	
Date:	11/7/2025 5:11:30 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.54848744     0.071477458      0.42519750      0.84653026
       1.3520000      0.55578674     0.076942211      0.42815374      0.84872857
       2.7040000      0.57842317     0.099580371      0.43985189      0.85729810
       4.0560000      0.62003754      0.15548282      0.46960781      0.87857611
       5.4080000      0.69041600      0.26314788      0.53433220      0.92424536
       6.7600000      0.80739279      0.44042012      0.65609356       1.0116716
       8.1120000      0.99382606      0.70493736      0.85542209       1.1615473
       9.4640000       1.2709826       1.0735522       1.1470696       1.3928617
       10.816000       1.6547174       1.5617909       1.5412265       1.7190600
       12.168000       2.1564841       2.1838108       2.0458919       2.1479842
       13.520000       2.7851800       2.9519396       2.6672949       2.6832018
       14.872000       3.5462106       3.8744905       3.4075821       3.3231678
       16.224000       4.4371754       4.9517398       4.2598571       4.0569438
       17.576000       5.4438892       6.1745493       5.2033480       4.8585842
       18.928000       6.5509668       7.5435768       6.2106061       5.6898471
       20.280000       7.8156016       9.1702185       7.3108227       6.5481096
