Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US08988789-1.zmx
Title:	
Date:	11/7/2025 3:58:45 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000  5.5329806E-003  9.6041178E-003     0.015868685
     0.010000000  5.5267939E-003  9.5972950E-003     0.015861666
     0.020000000  5.5020325E-003  9.5699901E-003     0.015833578
     0.030000000  5.4607116E-003  9.5244331E-003     0.015786717
     0.040000000  5.4027581E-003  9.4605556E-003     0.015721017
     0.050000000  5.3280791E-003  9.3782714E-003     0.015636395
     0.060000000  5.2365711E-003  9.2774849E-003     0.015532759
     0.070000000  5.1281312E-003  9.1581028E-003     0.015410020
     0.080000000  5.0026704E-003  9.0200473E-003     0.015268107
     0.090000000  4.8601288E-003  8.8632707E-003     0.015106978
      0.10000000  4.7004917E-003  8.6877713E-003     0.014926637
      0.11000000  4.5238069E-003  8.4936109E-003     0.014727155
      0.12000000  4.3302022E-003  8.2809318E-003     0.014508680
      0.13000000  4.1199031E-003  8.0499741E-003     0.014271462
      0.14000000  3.8932500E-003  7.8010931E-003     0.014015864
      0.15000000  3.6507147E-003  7.5347751E-003     0.013742383
      0.16000000  3.3929154E-003  7.2516523E-003     0.013451658
      0.17000000  3.1206300E-003  6.9525160E-003     0.013144491
      0.18000000  2.8348072E-003  6.6383274E-003     0.012821852
      0.19000000  2.5365752E-003  6.3102262E-003     0.012484890
      0.20000000  2.2272477E-003  5.9695358E-003     0.012134938
      0.21000000  1.9083261E-003  5.6177666E-003     0.011773514
      0.22000000  1.5814993E-003  5.2566141E-003     0.011402324
      0.23000000  1.2486389E-003  4.8879554E-003     0.011023251
      0.24000000  9.1179155E-004  4.5138406E-003     0.010638356
      0.25000000  5.7316695E-004  4.1364813E-003     0.010249855
      0.26000000  2.3512235E-004  3.7582348E-003  9.8601147E-003
      0.27000000 -9.9856747E-005  3.3815849E-003  9.4716239E-003
      0.28000000 -4.2917959E-004  3.0091191E-003  9.0869764E-003
      0.29000000 -7.5017655E-004  2.6435025E-003  8.7088426E-003
      0.30000000 -1.0601288E-003  2.2874481E-003  8.3399404E-003
      0.31000000 -1.3563007E-003  1.9436846E-003  7.9830026E-003
      0.32000000 -1.6359755E-003  1.6149214E-003  7.6407427E-003
      0.33000000 -1.8964920E-003  1.3038118E-003  7.3158170E-003
      0.34000000 -2.1352845E-003  1.0129138E-003  7.0107867E-003
      0.35000000 -2.3499225E-003  7.4465038E-004  6.7280773E-003
      0.36000000 -2.5381529E-003  5.0126851E-004  6.4699382E-003
      0.37000000 -2.6979405E-003  2.8479815E-004  6.2384015E-003
      0.38000000 -2.8275098E-003  9.7011711E-005  6.0352419E-003
      0.39000000 -2.9253847E-003 -6.0615515E-005  5.8619371E-003
      0.40000000 -2.9904273E-003 -1.8694327E-004  5.7196299E-003
      0.41000000 -3.0218737E-003 -2.8120190E-004  5.6090930E-003
      0.42000000 -3.0193671E-003 -3.4302496E-004  5.5306962E-003
      0.43000000 -2.9829874E-003 -3.7247805E-004  5.4843783E-003
      0.44000000 -2.9132763E-003 -3.7008336E-004  5.4696219E-003
      0.45000000 -2.8112567E-003 -3.3683905E-004  5.4854351E-003
      0.46000000 -2.6784471E-003 -2.7423299E-004  5.5303371E-003
      0.47000000 -2.5168693E-003 -1.8424991E-004  5.6023517E-003
      0.48000000 -2.3290485E-003 -6.9371633E-005  5.6990070E-003
      0.49000000 -2.1180060E-003  6.7430439E-005  5.8173432E-003
      0.50000000 -1.8872437E-003  2.2271107E-004  5.9539279E-003
      0.51000000 -1.6407191E-003  3.9257565E-004  6.1048814E-003
      0.52000000 -1.3828119E-003  5.7271384E-004  6.2659099E-003
      0.53000000 -1.1182798E-003  7.5844271E-004  6.4323485E-003
      0.54000000 -8.5220559E-004  9.4475963E-004  6.5992143E-003
      0.55000000 -5.8993288E-004  1.1264050E-003  6.7612691E-003
      0.56000000 -3.3699281E-004  1.2979349E-003  6.9130915E-003
      0.57000000 -9.9020288E-005  1.4538033E-003  7.0491589E-003
      0.58000000  1.1833927E-004  1.5884537E-003  7.1639391E-003
      0.59000000  3.0953215E-004  1.6964193E-003  7.2519901E-003
      0.60000000  4.6920693E-004  1.7724316E-003  7.3080676E-003
      0.61000000  5.9233232E-004  1.8115356E-003  7.3272402E-003
      0.62000000  6.7432116E-004  1.8092111E-003  7.3050097E-003
      0.63000000  7.1115885E-004  1.7614978E-003  7.2374357E-003
      0.64000000  6.9953462E-004  1.6651236E-003  7.1212625E-003
      0.65000000  6.3697349E-004  1.5176325E-003  6.9540467E-003
      0.66000000  5.2196633E-004  1.3175111E-003  6.7342820E-003
      0.67000000  3.5409555E-004  1.0643100E-003  6.4615198E-003
      0.68000000  1.3415301E-004  7.5875756E-004  6.1364816E-003
      0.69000000 -1.3575305E-004  4.0286224E-004  5.7611598E-003
      0.70000000 -4.5210622E-004 -3.1369867E-015  5.3389041E-003
      0.71000000 -8.0990934E-004 -4.4501773E-004  4.8744875E-003
      0.72000000 -1.2026361E-003 -9.2590023E-004  4.3741488E-003
      0.73000000 -1.6222119E-003 -1.4348629E-003  3.8456058E-003
      0.74000000 -2.0590306E-003 -1.9626479E-003  3.2980326E-003
      0.75000000 -2.5020123E-003 -2.4985866E-003  2.7419960E-003
      0.76000000 -2.9387117E-003 -3.0307109E-003  2.1893421E-003
      0.77000000 -3.3554836E-003 -3.5459224E-003  1.6530263E-003
      0.78000000 -3.7377162E-003 -4.0302280E-003  1.1468755E-003
      0.79000000 -4.0701440E-003 -4.4690540E-003  6.8527277E-004
      0.80000000 -4.3372512E-003 -4.8476505E-003  2.8275222E-004
      0.81000000 -4.5237833E-003 -5.1516019E-003 -4.6512777E-005
      0.82000000 -4.6153832E-003 -5.3674599E-003 -2.8934333E-004
      0.83000000 -4.5993735E-003 -5.4835212E-003 -4.3433246E-004
      0.84000000 -4.4657107E-003 -5.4907731E-003 -4.7279048E-004
      0.85000000 -4.2081404E-003 -5.3840373E-003 -3.9988726E-004
      0.86000000 -3.8255909E-003 -5.1633461E-003 -2.1602614E-004
      0.87000000 -3.3238468E-003 -4.8355931E-003  7.1509242E-005
      0.88000000 -2.7175550E-003 -4.4165082E-003  4.4658639E-004
      0.89000000 -2.0326238E-003 -3.9330143E-003  8.8187528E-004
      0.90000000 -1.3090863E-003 -3.4260368E-003  1.3360511E-003
      0.91000000 -6.0451520E-004 -2.9538464E-003  1.7504678E-003
      0.92000000  1.9138212E-006 -2.5960301E-003  2.0452090E-003
      0.93000000  4.0459375E-004 -2.4582005E-003  2.1144078E-003
      0.94000000  4.6576392E-004 -2.6775667E-003  1.8207141E-003
      0.95000000  8.7479352E-006 -3.4295046E-003  9.8877340E-004
