Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20010040736_Example02_Tale24.zmx
Title:	US 2001/0040736 Example 2 (Nikon WC-E63 with Main Lens)
Date:	11/7/2025 4:25:56 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       2.5018107
      0.17600000      0.99951981       2.5024116
      0.35200000      0.99808248       2.5042128
      0.52800000      0.99569759       2.5072100
      0.70400000      0.99238044       2.5113969
      0.88000000      0.98815121       2.5167655
       1.0560000      0.98303403       2.5233075
       1.2320000      0.97705608       2.5310149
       1.4080000      0.97024711       2.5398804
       1.5840000      0.96263968       2.5498966
       1.7600000      0.95426893       2.5610559
       1.9360000      0.94517445       2.5733476
       2.1120000      0.93540301       2.5867536
       2.2880000      0.92501231       2.6012416
       2.4640000      0.91407610       2.6167563
       2.6400000      0.90269033       2.6332073
       2.8160000      0.89098021       2.6504549
       2.9920000      0.87910893       2.6682904
       3.1680000      0.86081065       2.6965013
       3.3440000      0.80599217       2.7866924
       3.5200000      0.73340182       2.9213491
