Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20030223122_Example04P.zmx
Title:	US 2003/0223122 Example 4 (Ricoh smc Pentax-FA J 75-300mm F4.5-5.8 AL)
Date:	11/7/2025 5:12:50 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.58355188      0.91563794      0.34629673      0.25156338
       1.4400000      0.58628263      0.91972805      0.35238243      0.24546613
       2.8800000      0.59455080      0.93134010      0.37050941      0.22894818
       4.3200000      0.60827402      0.94843562      0.39981919      0.20768678
       5.7600000      0.62648471      0.96750115      0.43781822      0.19172242
       7.2000000      0.64670034      0.98367141      0.47990466      0.19277954
       8.6400000      0.66497255      0.99142809      0.51969387      0.21554038
       10.080000      0.67710959      0.98643968      0.55009797      0.25417862
       11.520000      0.68172948      0.96968633      0.56545526      0.30153833
       12.960000      0.68647695      0.95598345      0.56612915      0.35842116
       14.400000      0.71824540      0.98743394      0.56869129      0.43872915
       15.840000      0.82892219       1.1369845      0.62104578      0.56936756
       17.280000       1.0752572       1.4742914      0.79431028      0.78159762
       18.720000       1.4898865       2.0312150       1.1341222       1.1017211
       20.160000       2.0866367       2.8178437       1.6522894       1.5504093
       21.600000       2.8775013       3.8451646       2.3559820       2.1461469
