Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20030223122_Example04P.zmx
Title:	US 2003/0223122 Example 4 (Ricoh smc Pentax-FA J 75-300mm F4.5-5.8 AL)
Date:	11/7/2025 4:25:57 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      0.99568344       4.8849800
       1.0800000      0.99535776       4.8857791
       2.1600000      0.99438486       4.8881687
       3.2400000       1.0000000       4.8744255
       4.3200000      0.99615804       4.8838162
       5.4000000      0.98711706       4.9061306
       6.4800000      0.97349414       4.9403391
       7.5600000      0.92807125       5.0597933
       8.6400000      0.91851701       5.0860407
       9.7200000      0.89499851       5.1524321
       10.800000      0.87403869       5.2138449
       11.880000      0.83490732       5.3346300
       12.960000      0.80710514       5.4257325
       14.040000      0.78680581       5.4952778
       15.120000      0.74795086       5.6362066
       16.200000      0.72141127       5.7389438
       17.280000      0.66817489       5.9631860
       18.360000      0.61153600       6.2332195
       19.440000      0.58426744       6.3770172
       20.520000      0.53323445       6.6752008
       21.600000      0.45119077       7.2567695
