Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20090296231_Example01P.zmx
Title:	US 2009/0296231 Example 1 (Canon EF70-200mm f2.8L IS II USM)
Date:	11/7/2025 5:13:05 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.63566427      0.74088388      0.80129812      0.14566941
       1.4400000      0.64301131      0.74703853      0.80714587      0.14900768
       2.8800000      0.66433396      0.76474904      0.82406676      0.15956094
       4.3200000      0.69754874      0.79175410      0.85017995      0.17815193
       5.7600000      0.73939765      0.82430538      0.88231825      0.20441868
       7.2000000      0.78573401      0.85728806      0.91602822      0.23623917
       8.6400000      0.83198798      0.88461325      0.94568145      0.27048572
       10.080000      0.87409511      0.90027788      0.96487273      0.30480370
       11.520000      0.91048997      0.90105103      0.96752090      0.34079043
       12.960000      0.94623653      0.89302195      0.95071833      0.38940801
       14.400000       1.0004322      0.90557743      0.92188006      0.47645303
       15.840000       1.1147635       1.0082944      0.91454718      0.63916210
       17.280000       1.3516819       1.2951700       1.0073217      0.91331480
       18.720000       1.7737953       1.8311390       1.3004920       1.3286267
       20.160000       2.4278247       2.6482382       1.8512194       1.9141321
       21.600000       3.3508033       3.7774477       2.6789122       2.7020932
