Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20130148006_Example01P.zmx
Title:	US 2013/0148006 Example 1 (Panasonic Lumix G 14mm F2.5 II Asph)
Date:	11/7/2025 3:59:13 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000  2.4189644E-003 -8.8054612E-005     0.014519032
     0.010000000  2.4204181E-003 -8.7707396E-005     0.014519158
     0.020000000  2.4262318E-003 -8.6320082E-005     0.014519659
     0.030000000  2.4359184E-003 -8.4013431E-005     0.014520487
     0.040000000  2.4494737E-003 -8.0795882E-005     0.014521632
     0.050000000  2.4668914E-003 -7.6679504E-005     0.014523082
     0.060000000  2.4881626E-003 -7.1680250E-005     0.014524818
     0.070000000  2.5132764E-003 -6.5818287E-005     0.014526817
     0.080000000  2.5422185E-003 -5.9118392E-005     0.014529051
     0.090000000  2.5749711E-003 -5.1610426E-005     0.014531486
      0.10000000  2.6115127E-003 -4.3329869E-005     0.014534084
      0.11000000  2.6518169E-003 -3.4318433E-005     0.014536798
      0.12000000  2.6958520E-003 -2.4624742E-005     0.014539574
      0.13000000  2.7435802E-003 -1.4305074E-005     0.014542352
      0.14000000  2.7949569E-003 -3.4241760E-006     0.014545059
      0.15000000  2.8499295E-003  7.9438579E-006     0.014547616
      0.16000000  2.9084368E-003  1.9714646E-005     0.014549931
      0.17000000  2.9704077E-003  3.1792517E-005     0.014551903
      0.18000000  3.0357603E-003  4.4069443E-005     0.014553415
      0.19000000  3.1044005E-003  5.6423919E-005     0.014554338
      0.20000000  3.1762213E-003  6.8719784E-005     0.014554527
      0.21000000  3.2511009E-003  8.0804986E-005     0.014553822
      0.22000000  3.3289020E-003  9.2510295E-005     0.014552044
      0.23000000  3.4094700E-003  1.0364797E-004     0.014548997
      0.24000000  3.4926317E-003  1.1401038E-004     0.014544463
      0.25000000  3.5781941E-003  1.2336855E-004     0.014538202
      0.26000000  3.6659425E-003  1.3147073E-004     0.014529953
      0.27000000  3.7556393E-003  1.3804087E-004     0.014519429
      0.28000000  3.8470221E-003  1.4277706E-004     0.014506317
      0.29000000  3.9398027E-003  1.4534996E-004     0.014490276
      0.30000000  4.0336646E-003  1.4540124E-004     0.014470937
      0.31000000  4.1282620E-003  1.4254188E-004     0.014447898
      0.32000000  4.2232181E-003  1.3635056E-004     0.014420727
      0.33000000  4.3181229E-003  1.2637202E-004     0.014388956
      0.34000000  4.4125321E-003  1.1211532E-004     0.014352082
      0.35000000  4.5059649E-003  9.3052219E-005     0.014309563
      0.36000000  4.5979027E-003  6.8615448E-005     0.014260820
      0.37000000  4.6877871E-003  3.8197053E-005     0.014205231
      0.38000000  4.7750183E-003  1.1467168E-006     0.014142134
      0.39000000  4.8589533E-003 -4.3229897E-005     0.014070821
      0.40000000  4.9389047E-003 -9.5672777E-005     0.013990538
      0.41000000  5.0141382E-003 -1.5696917E-004     0.013900485
      0.42000000  5.0838721E-003 -2.2795515E-004     0.013799813
      0.43000000  5.1472748E-003 -3.0951716E-004     0.013687621
      0.44000000  5.2034638E-003 -4.0259344E-004     0.013562957
      0.45000000  5.2515041E-003 -5.0817553E-004     0.013424817
      0.46000000  5.2904070E-003 -6.2730953E-004     0.013272141
      0.47000000  5.3191285E-003 -7.6109745E-004     0.013103812
      0.48000000  5.3365686E-003 -9.1069836E-004     0.012918659
      0.49000000  5.3415696E-003 -1.0773295E-003     0.012715450
      0.50000000  5.3329156E-003 -1.2622672E-003     0.012492896
      0.51000000  5.3093313E-003 -1.4668480E-003     0.012249646
      0.52000000  5.2694815E-003 -1.6924689E-003     0.011984289
      0.53000000  5.2119703E-003 -1.9405886E-003     0.011695354
      0.54000000  5.1353411E-003 -2.2127274E-003     0.011381307
      0.55000000  5.0380756E-003 -2.5104678E-003     0.011040552
      0.56000000  4.9185944E-003 -2.8354544E-003     0.010671430
      0.57000000  4.7752570E-003 -3.1893940E-003     0.010272221
      0.58000000  4.6063620E-003 -3.5740552E-003  9.8411446E-003
      0.59000000  4.4101475E-003 -3.9912679E-003  9.3763562E-003
      0.60000000  4.1847926E-003 -4.4429222E-003  8.8759525E-003
      0.61000000  3.9284179E-003 -4.9309680E-003  8.3379704E-003
      0.62000000  3.6390873E-003 -5.4574131E-003  7.7603886E-003
      0.63000000  3.3148095E-003 -6.0243218E-003  7.1411293E-003
      0.64000000  2.9535401E-003 -6.6338130E-003  6.4780601E-003
      0.65000000  2.5531842E-003 -7.2880578E-003  5.7689960E-003
      0.66000000  2.1115993E-003 -7.9892768E-003  5.0117027E-003
      0.67000000  1.6265979E-003 -8.7397372E-003  4.2038987E-003
      0.68000000  1.0959519E-003 -9.5417492E-003  3.3432595E-003
      0.69000000  5.1739629E-004    -0.010397662  2.4274210E-003
      0.70000000 -1.1136599E-004    -0.011309860  1.4539840E-003
      0.71000000 -7.9265919E-004    -0.012280757  4.2051882E-004
      0.72000000 -1.5288289E-003    -0.013312792 -6.7542910E-004
      0.73000000 -2.3222358E-003    -0.014408420 -1.8363336E-003
      0.74000000 -3.1752488E-003    -0.015570113 -3.0646811E-003
      0.75000000 -4.0902375E-003    -0.016800342 -4.3629639E-003
      0.76000000 -5.0695641E-003    -0.018101579 -5.7336720E-003
      0.77000000 -6.1155743E-003    -0.019476284 -7.1792853E-003
      0.78000000 -7.2305874E-003    -0.020926893 -8.7022638E-003
      0.79000000 -8.4168864E-003    -0.022455816    -0.010305038
      0.80000000 -9.6767059E-003    -0.024065417    -0.011990000
      0.81000000    -0.011012220    -0.025758010    -0.013759488
      0.82000000    -0.012425531    -0.027535841    -0.015615777
      0.83000000    -0.013918650    -0.029401078    -0.017561065
      0.84000000    -0.015493489    -0.031355794    -0.019597460
      0.85000000    -0.017151838    -0.033401954    -0.021726962
      0.86000000    -0.018895352    -0.035541394    -0.023951447
      0.87000000    -0.020725529    -0.037775810    -0.026272651
      0.88000000    -0.022643693    -0.040106733    -0.028692153
      0.89000000    -0.024650971    -0.042535512    -0.031211349
      0.90000000    -0.026748272    -0.045063290    -0.033831439
      0.91000000    -0.028936259    -0.047690985    -0.036553398
      0.92000000    -0.031215328    -0.050419262    -0.039377954
      0.93000000    -0.033585580    -0.053248508    -0.042305565
      0.94000000    -0.036046788    -0.056178807    -0.045336388
      0.95000000    -0.038598374    -0.059209907    -0.048470254
      0.96000000    -0.041239367    -0.062341193    -0.051706636
      0.97000000    -0.043968378    -0.065571651    -0.055044616
      0.98000000    -0.046783557    -0.068899836    -0.058482855
      0.99000000    -0.049682558    -0.072323835    -0.062019552
       1.0000000    -0.052662495    -0.075841228    -0.065652410
