Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20150097989_Example02P.zmx
Title:	US 2015/0097989 Example 2 (Panasonic Lumix G Vario 12-32mm F3.5-5.6 Asph Mega OIS)
Date:	11/7/2025 5:13:51 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.13081325      0.12220117     0.068403709      0.17811268
      0.72100000      0.13766929      0.13190107     0.074633324      0.18248679
       1.4420000      0.15722880      0.15979114     0.092523876      0.19418642
       2.1630000      0.18382291      0.19862758      0.11565806      0.20789373
       2.8840000      0.20670803      0.23518154      0.13204379      0.21438197
       3.6050000      0.21565945      0.25709322      0.13036586      0.20402702
       4.3260000      0.20764561      0.25967703      0.10603766      0.17153378
       5.0470000      0.19195897      0.25022504     0.070138545      0.11965958
       5.7680000      0.18876587      0.24628015     0.072051016     0.063952119
       6.4890000      0.20975718      0.26225371      0.12087079     0.052977442
       7.2100000      0.24412913      0.29795991      0.16667794     0.085813620
       7.9310000      0.28191896      0.35351326      0.19379493      0.11037963
       8.6520000      0.33855702      0.44995181      0.22104406      0.14422425
       9.3730000      0.46279729      0.63202009      0.31656634      0.25383308
       10.094000      0.73672285      0.97644535      0.57505070      0.50788955
       10.815000       1.3155913       1.6537391       1.1358813       1.0258203
