Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20150205081_Example01P.zmx
Title:	US 2015/0205081 Example 1 (Canon EF35mm f2 IS USM)
Date:	11/7/2025 4:26:34 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      1.00000000       2.1434592
       1.0820000      0.99902653       2.1445032
       2.1640000      0.99611166       2.1476386
       3.2460000      0.98008276       2.1651293
       4.3280000      0.97309115       2.1728936
       5.4100000      0.96042672       2.1871728
       6.4920000      0.93467935       2.2170929
       7.5740000      0.90317849       2.2554252
       8.6560000      0.84126507       2.3369466
       9.7380000      0.78929356       2.4126590
       10.820000      0.76815357       2.4456325
       11.902000      0.73258984       2.5042909
       12.984000      0.68514001       2.5895575
       14.066000      0.63667349       2.6863144
       15.148000      0.55669554       2.8728063
       16.230000      0.52711808       2.9523053
       17.312000      0.49222006       3.0551713
       18.394000      0.44992579       3.1955438
       19.476000      0.36668333       3.5397259
       20.558000      0.34274989       3.6612261
       21.640000      0.31014306       3.8488783
