Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20150226943_Example01TCP.zmx
Title:	US 2015/0226943 Example 1 TC (Olympus MC-14 M.Zuiko Digital 1.4X Teleconverter)
Date:	11/7/2025 5:14:01 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.14779221      0.22309730     0.049661994      0.11527748
      0.72000000      0.15078490      0.22449692     0.053727178      0.11629021
       1.4400000      0.15947650      0.22869010     0.064386747      0.11924573
       2.1600000      0.17313847      0.23564528     0.078958671      0.12390651
       2.8800000      0.19086907      0.24526780     0.095536317      0.12990595
       3.6000000      0.21180319      0.25735509      0.11298913      0.13677712
       4.3200000      0.23520070      0.27156130      0.13056611      0.14397596
       5.0400000      0.26046023      0.28738273      0.14765838      0.15089800
       5.7600000      0.28711819      0.30416840      0.16369778      0.15689449
       6.4800000      0.31487034      0.32115583      0.17813368      0.16129779
       7.2000000      0.34363772      0.33753427      0.19046454      0.16347040
       7.9200000      0.37369725      0.35254617      0.20032716      0.16290367
       8.6400000      0.40590769      0.36565537      0.20767133      0.15942130
       9.3600000      0.44209062      0.37684990      0.21309085      0.15362250
       10.080000      0.48570442      0.38725659      0.21849527      0.14791624
       10.800000      0.54320346      0.40059732      0.22867742      0.14897411
