Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20150241657_Example01P.zmx
Title:	US 2015/0241657 Example 1 (Ricoh smc Pentax-Q 06 Telephoto Zoom 15-45mm F2.8)
Date:	11/7/2025 5:14:06 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.23982656      0.29124054      0.27380979      0.11294904
      0.31333333      0.24399909      0.29261947      0.27602618      0.11517149
      0.62666667      0.25572326      0.29652230      0.28244195      0.12164203
      0.94000000      0.27293210      0.30226774      0.29236582      0.13177267
       1.2533333      0.29292973      0.30879901      0.30467550      0.14459539
       1.5666667      0.31291458      0.31484108      0.31786542      0.15879162
       1.8800000      0.33027399      0.31921827      0.33012791      0.17275521
       2.1933333      0.34282293      0.32148350      0.33950066      0.18471939
       2.5066667      0.34924668      0.32312898      0.34415230      0.19301744
       2.8200000      0.35008889      0.32965569      0.34296220      0.19664195
       3.1333333      0.34976404      0.35289394      0.33672435      0.19647271
       3.4466667      0.35969776      0.41027376      0.33053584      0.19776909
       3.7600000      0.39978352      0.51823473      0.33740728      0.21335650
       4.0733333      0.49166234      0.68667768      0.37906036      0.26150504
       4.3866667      0.64805981      0.92089020      0.47630255      0.35501213
       4.7000000      0.87293944       1.2253148      0.63824132      0.49763016
