Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20160209632_Example01P.zmx
Title:	US 2016/0209632 Example 1 (Leica APO-Vario-Elmarit-SL 90-280mm F2.8-4)
Date:	11/7/2025 5:14:14 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.40756968      0.38530224     0.075310237      0.58669385
       1.4420000      0.41384936      0.38015341     0.075155814      0.58430792
       2.8840000      0.43240549      0.36535491     0.075755823      0.57773624
       4.3260000      0.46236500      0.34281837     0.079642158      0.56872964
       5.7680000      0.50225413      0.31563822     0.088951737      0.56017384
       7.2100000      0.55010443      0.28799689      0.10394132      0.55599594
       8.6520000      0.60368334      0.26502354      0.12376491      0.56088703
       10.094000      0.66072940      0.25228280      0.14819416      0.57962253
       11.536000      0.71898680      0.25429777      0.17804738      0.61578998
       12.978000      0.77583684      0.27278974      0.21362117      0.67000736
       14.420000      0.82760801      0.30877100      0.25193708      0.73797789
       15.862000      0.86994320      0.37560437      0.28584602      0.80868606
       17.304000      0.90554923      0.52911294      0.31531830      0.86367169
       18.746000      0.98183869      0.89412029      0.40704689      0.88420697
       20.188000       1.2913710       1.6687505      0.77081518      0.90585042
       21.630000       2.2208887       3.1852499       1.6768320       1.2312958
