Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20170242219_Example01P.zmx
Title:	US 2017/0242219 Example 1 (Fujifilm Fujinon GF63mm F2.8 R WR)
Date:	11/7/2025 4:26:53 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       3.0143195
       1.3750000      0.99932716       3.0153341
       2.7500000      0.99731257       3.0183781
       4.1250000      0.99396792       3.0234522
       5.5000000      0.98931248       3.0305576
       6.8750000      0.97736373       3.0490263
       8.2500000      0.97028437       3.0601292
       9.6250000      0.96159409       3.0739259
       11.000000      0.94929235       3.0937791
       12.375000      0.93883951       3.1109541
       13.750000      0.91146047       3.1573328
       15.125000      0.88108252       3.2113008
       16.500000      0.84454357       3.2800333
       17.875000      0.79663745       3.3772167
       19.250000      0.75580214       3.4672506
       20.625000      0.71784321       3.5577423
       22.000000      0.66640800       3.6924888
       23.375000      0.60344514       3.8803454
       24.750000      0.52816446       4.1476748
       26.125000      0.46827871       4.4049104
       27.500000      0.38699749       4.8454622
