Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20180059384_Example01P.zmx
Title:	US 2018/0059384 Example 1 (Fujifilm Fujinon GF120mm F4 R LM OIS WR Macro)
Date:	11/7/2025 3:59:44 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000      0.12485193 -1.7192655E-003     0.061889119
     0.010000000      0.12487106 -1.7034780E-003     0.061904316
     0.020000000      0.12494754 -1.6403407E-003     0.061965089
     0.030000000      0.12507496 -1.5351579E-003     0.062066333
     0.040000000      0.12525324 -1.3879985E-003     0.062207981
     0.050000000      0.12548229 -1.1989589E-003     0.062389939
     0.060000000      0.12576197 -9.6816355E-004     0.062612086
     0.070000000      0.12609213 -6.9576466E-004     0.062874273
     0.080000000      0.12647256 -3.8194262E-004     0.063176327
     0.090000000      0.12690306 -2.6906066E-005     0.063518042
      0.10000000      0.12738338  3.6910780E-004     0.063899190
      0.11000000      0.12791322  8.0583298E-004     0.064319511
      0.12000000      0.12849229  1.2829744E-003     0.064778719
      0.13000000      0.12912023  1.8002074E-003     0.065276497
      0.14000000      0.12979668  2.3571776E-003     0.065812502
      0.15000000      0.13052122  2.9535004E-003     0.066386359
      0.16000000      0.13129342  3.5887605E-003     0.066997665
      0.17000000      0.13211281  4.2625113E-003     0.067645985
      0.18000000      0.13297888  4.9742746E-003     0.068330856
      0.19000000      0.13389110  5.7235399E-003     0.069051780
      0.20000000      0.13484888  6.5097638E-003     0.069808230
      0.21000000      0.13585162  7.3323695E-003     0.070599646
      0.22000000      0.13689867  8.1907458E-003     0.071425433
      0.23000000      0.13798934  9.0842466E-003     0.072284964
      0.24000000      0.13912292     0.010012190     0.073177577
      0.25000000      0.14029864     0.010973858     0.074102574
      0.26000000      0.14151570     0.011968494     0.075059222
      0.27000000      0.14277326     0.012995304     0.076046748
      0.28000000      0.14407043     0.014053454     0.077064345
      0.29000000      0.14540628     0.015142071     0.078111162
      0.30000000      0.14677985     0.016260238     0.079186313
      0.31000000      0.14819011     0.017406996     0.080288866
      0.32000000      0.14963599     0.018581345     0.081417848
      0.33000000      0.15111638     0.019782235     0.082572245
      0.34000000      0.15263012     0.021008572     0.083750993
      0.35000000      0.15417598     0.022259214     0.084952986
      0.36000000      0.15575270     0.023532968     0.086177067
      0.37000000      0.15735894     0.024828592     0.087422032
      0.38000000      0.15899333     0.026144788     0.088686623
      0.39000000      0.16065442     0.027480207     0.089969531
      0.40000000      0.16234070     0.028833439     0.091269393
      0.41000000      0.16405061     0.030203020     0.092584787
      0.42000000      0.16578251     0.031587422     0.093914237
      0.43000000      0.16753470     0.032985055     0.095256201
      0.44000000      0.16930540     0.034394267     0.096609080
      0.45000000      0.17109277     0.035813333     0.097971203
      0.46000000      0.17289488     0.037240462     0.099340837
      0.47000000      0.17470973     0.038673789      0.10071618
      0.48000000      0.17653523     0.040111374      0.10209535
      0.49000000      0.17836921     0.041551198      0.10347640
      0.50000000      0.18020941     0.042991162      0.10485729
      0.51000000      0.18205347     0.044429081      0.10623592
      0.52000000      0.18389894     0.045862683      0.10761009
      0.53000000      0.18574328     0.047289602      0.10897750
      0.54000000      0.18758383     0.048707379      0.11033579
      0.55000000      0.18941781     0.050113455      0.11168248
      0.56000000      0.19124235     0.051505168      0.11301500
      0.57000000      0.19305445     0.052879746      0.11433067
      0.58000000      0.19485099     0.054234308      0.11562670
      0.59000000      0.19662872     0.055565850      0.11690021
      0.60000000      0.19838424     0.056871253      0.11814818
      0.61000000      0.20011403     0.058147264      0.11936746
      0.62000000      0.20181442     0.059390500      0.12055480
      0.63000000      0.20348157     0.060597439      0.12170679
      0.64000000      0.20511149     0.061764411      0.12281989
      0.65000000      0.20670002     0.062887597      0.12389043
      0.66000000      0.20824283     0.063963016      0.12491456
      0.67000000      0.20973539     0.064986523      0.12588828
      0.68000000      0.21117300     0.065953800      0.12680744
      0.69000000      0.21255075     0.066860343      0.12766769
      0.70000000      0.21386349     0.067701463      0.12846451
      0.71000000      0.21510589     0.068472269      0.12919319
      0.72000000      0.21627237     0.069167660      0.12984882
      0.73000000      0.21735711     0.069782320      0.13042628
      0.74000000      0.21835402     0.070310702      0.13092022
      0.75000000      0.21925677     0.070747019      0.13132507
      0.76000000      0.22005872     0.071085232      0.13163502
      0.77000000      0.22075297     0.071319039      0.13184401
      0.78000000      0.22133228     0.071441863      0.13194570
      0.79000000      0.22178911     0.071446833      0.13193347
      0.80000000      0.22211556     0.071326775      0.13180044
      0.81000000      0.22230338     0.071074196      0.13153939
      0.82000000      0.22234396     0.070681267      0.13114279
      0.83000000      0.22222827     0.070139804      0.13060277
      0.84000000      0.22194689     0.069441254      0.12991111
      0.85000000      0.22148994     0.068576674      0.12905920
      0.86000000      0.22084710     0.067536713      0.12803807
      0.87000000      0.22000756     0.066311585      0.12683830
      0.88000000      0.21896001     0.064891056      0.12545006
      0.89000000      0.21769259     0.063264411      0.12386306
      0.90000000      0.21619291     0.061420437      0.12206653
      0.91000000      0.21444795     0.059347390      0.12004917
      0.92000000      0.21244409     0.057032972      0.11779919
      0.93000000      0.21016704     0.054464298      0.11530420
      0.94000000      0.20760183     0.051627865      0.11255124
      0.95000000      0.20473276     0.048509521      0.10952674
      0.96000000      0.20154334     0.045094431      0.10621643
      0.97000000      0.19801629     0.041367027      0.10260539
      0.98000000      0.19413346     0.037310987     0.098677950
      0.99000000      0.18987580     0.032909181     0.094417672
       1.0000000      0.18522329     0.028143631     0.089807307
