Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20180095255_Example02P.zmx
Title:	US 2018/0095255 Example 2 (Canon Extender EF1.4X III)
Date:	11/7/2025 5:14:50 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       5.2453589       6.0652882       5.0365332       4.5151948
       1.4426667       5.2424058       6.0618471       5.0337006       4.5126645
       2.8853333       5.2335715       6.0515533       5.0252270       4.5050950
       4.3280000       5.2189304       6.0344944       5.0111840       4.4925502
       5.7706667       5.1986055       6.0108150       4.9916897       4.4751353
       7.2133333       5.1727659       5.9807139       4.9669069       4.4529953
       8.6560000       5.1416245       5.9444414       4.9370402       4.4263123
       10.098667       5.1054344       5.9022946       4.9023326       4.3953031
       11.541333       5.0644849       5.8546131       4.8630620       4.3602151
       12.984000       5.0190969       5.8017734       4.8195365       4.3213231
       14.426667       4.9696185       5.7441829       4.7720899       4.2789244
       15.869333       4.9164192       5.6822741       4.7210763       4.2333347
       17.312000       4.8598844       5.6164974       4.6668649       4.1848832
       18.754667       4.8004104       5.5473147       4.6098346       4.1339079
       20.197333       4.7383978       5.4751926       4.5503682       4.0807502
       21.640000       4.6742465       5.4005953       4.4888471       4.0257506
