Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20180100988_Example01P.zmx
Title:	US 2018/0100988 Example 1 (Fujifilm Fujinon GF110mm F2 R LM WR)
Date:	11/7/2025 5:15:00 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.68192981      0.98835979     0.037843025      0.64559865
       1.8333333      0.67534288      0.97595204     0.041497284      0.63940441
       3.6666667      0.65606276      0.93924933     0.062121325      0.62115149
       5.5000000      0.62601797      0.88038417      0.10946274      0.59196973
       7.3333333      0.59062087      0.80563994      0.18566674      0.55446595
       9.1666667      0.56432302      0.73328497      0.29609953      0.51501327
       11.000000      0.58141752      0.71224631      0.45300443      0.49032925
       12.833333      0.70120293      0.83545479      0.67875272      0.52005626
       14.666667      0.98798040       1.1937065       1.0117976      0.66902331
       16.500000       1.5065583       1.8541434       1.5176483       1.0049692
       18.333333       2.3665971       2.9396217       2.3111388       1.6122192
       20.166667       3.7942815       4.7266137       3.6075156       2.6567988
       22.000000       6.2907293       7.8453361       5.8580761       4.5044823
       23.833333       11.157494       13.964372       10.192444       8.0730434
       25.666667       22.946880       29.040683       20.395497       16.378781
       27.500000       68.471308       88.519994       57.298174       45.535825
