Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20180196240_Example11P.zmx
Title:	US 2018/0196240 Example 11 (Nikon 1 Nikkor VR 10-30mm f/3.5-5.6 PD-Zoom)
Date:	11/7/2025 4:27:09 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       3.7739301
      0.40950000      0.99888688       3.7760323
      0.81900000      0.99555889       3.7823383
       1.2285000      0.99005087       3.7928450
       1.6380000      0.98242204       3.8075429
       2.0475000      0.97275675       3.8264120
       2.4570000      0.96116384       3.8494186
       2.8665000      0.94777504       3.8765128
       3.2760000      0.93273953       3.9076320
       3.6855000      0.91621902       3.9427042
       4.0950000      0.88746239       4.0060731
       4.5045000      0.86864469       4.0492330
       4.9140000      0.84696536       4.1007286
       5.3235000      0.81242871       4.1869832
       5.7330000      0.76591919       4.3122346
       6.1425000      0.70518848       4.4940846
       6.5520000      0.62031627       4.7916741
       6.9615000      0.52399529       5.2135094
       7.3710000      0.40692535       5.9161133
       7.7805000      0.31772393       6.6952823
       8.1900000      0.22830855       7.8982843
