Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20190265504_Example01P.zmx
Title:	US 2019/0265504 Example 1 (Fujifilm Fujinon XF200mm F2 R LM OIS WR)
Date:	11/7/2025 5:15:27 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.3600143       1.7466913      0.30856132       1.5500891
       1.0266667       1.3589390       1.7429324      0.30748959       1.5486730
       2.0533333       1.3561127       1.7322076      0.30474732       1.5448999
       3.0800000       1.3527287       1.7161669      0.30177891       1.5401962
       4.1066667       1.3507555       1.6975366      0.30107928       1.5369353
       5.1333333       1.3529117       1.6800731      0.30628997       1.5384139
       6.1600000       1.3626161       1.6684532      0.32212829       1.5487645
       7.1866667       1.3838487       1.6680018      0.35379246       1.5727220
       8.2133333       1.4207768       1.6840712      0.40566281       1.6151124
       9.2400000       1.4769113       1.7208012      0.47968881       1.6799048
       10.266667       1.5535437       1.7790070      0.57386164       1.7686820
       11.293333       1.6473226       1.8531012      0.68036388       1.8784168
       12.320000       1.7471219       1.9273154      0.78257307       1.9984013
       13.346667       1.8312418       1.9727112      0.85078154       2.1060940
       14.373333       1.8705341       1.9536322      0.84121290       2.1623144
       15.400000       1.8685618       1.8956504      0.74661848       2.1128344
