Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US20210286156_Example06P.zmx
Title:	US 20210/286156 Example 6 (Fujifilm Fujinon XF70-300mm F4-5.6 R LM OIS WR)
Date:	11/7/2025 4:27:49 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       4.3225344
      0.71000000      0.99947218       4.3236756
       1.4200000      0.99788963       4.3271027
       2.1300000      0.98906313       4.3463675
       2.8400000      0.98541039       4.3544157
       3.5500000      0.97706267       4.3729775
       4.2600000      0.96538175       4.3993540
       4.9700000      0.94651429       4.4429852
       5.6800000      0.90396253       4.5463539
       6.3900000      0.88535275       4.5938867
       7.1000000      0.86467710       4.6484854
       7.8100000      0.84091648       4.7137009
       8.5200000      0.80766189       4.8097628
       9.2300000      0.76182905       4.9523313
       9.9400000      0.72908299       5.0623244
       10.650000      0.69570699       5.1823325
       11.360000      0.63706247       5.4156108
       12.070000      0.59631597       5.5975790
       12.780000      0.50295553       6.0949993
       13.490000      0.47893928       6.2459460
       14.200000      0.43865710       6.5264329
