Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\WO2019-073744_Example01P.zmx
Title:	WO 2019/073744 Example 1 (Sony FE 24mm F1.4 GM)
Date:	11/7/2025 5:16:38 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.2026508       1.7595473      0.61015272      0.93317402
       1.4420000       1.2248460       1.7920385      0.64769451      0.90834078
       2.8840000       1.2952603       1.8917443      0.75884883      0.83684511
       4.3260000       1.4178373       2.0558948      0.93428259      0.73329105
       5.7680000       1.5863111       2.2655977       1.1556844      0.64453707
       7.2100000       1.7844013       2.4912452       1.4016213      0.66559080
       8.6520000       1.9967175       2.7101998       1.6560186      0.85958008
       10.094000       2.2274694       2.9288018       1.9225872       1.1934247
       11.536000       2.5046066       3.1872688       2.2252848       1.6158523
       12.978000       2.8404844       3.5160196       2.5696039       2.0675045
       14.420000       3.1829780       3.8704510       2.9017830       2.4612396
       15.862000       3.4063186       4.0915583       3.1157420       2.6956294
       17.304000       3.2255803       3.7432918       3.0176894       2.6189577
       18.746000       3.0872816       4.0952551       2.5569007       1.7199087
       20.188000       18.496291       26.096458       12.768586       7.7430029
       21.630000       95.943662       121.82901       72.129472       53.188047
