Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\WO2019-187633_Example01P.zmx
Title:	WO 2019/187633 Example 1 (Sony FE 135mm F1.8 GM)
Date:	11/7/2025 5:55:12 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.074105264     0.074105264      0.00000000      0.00000000      0.00000000
     0.093099073     0.074120842     0.074100608      0.21261251      0.21261241  4.5040236E-005
      0.18619815     0.074169677     0.074086635      0.42522733      0.42522595  3.2633273E-004
      0.27929722     0.074251640     0.074063335      0.63784680      0.63784173  7.9512055E-004
      0.37239629     0.074366507     0.074030692      0.85047322      0.85046087  1.4513541E-003
      0.46549537     0.074513964     0.073988684       1.0631089       1.0630845  2.2949639E-003
      0.55859444     0.074693606     0.073937281       1.2757562       1.2757138  3.3258428E-003
      0.65169351     0.074904938     0.073876448       1.4884174       1.4883498  4.5439166E-003
      0.74479259     0.075147375     0.073806142       1.7010948       1.7009936  5.9490375E-003
      0.83789166     0.075420244     0.073726318       1.9137907       1.9136464  7.5410552E-003
      0.93099073     0.075722785     0.073636921       2.1265075       2.1263094  9.3197986E-003
       1.0240898     0.076054153     0.073537893       2.3392475       2.3389836     0.011285076
       1.1171889     0.076413417     0.073429170       2.5520129       2.5516701     0.013436673
       1.2102880     0.076799564     0.073310683       2.7648061       2.7643701     0.015774357
       1.3033870     0.077211502     0.073182359       2.9776294       2.9770847     0.018297871
       1.3964861     0.077648057     0.073044121       3.1904851       3.1898150     0.021006936
       1.4895852     0.078107979     0.072895887       3.4033755       3.4025622     0.023901251
       1.5826842     0.078589944     0.072737571       3.6163028       3.6153274     0.026980493
       1.6757833     0.079092554     0.072569086       3.8292695       3.8281117     0.030244315
       1.7688824     0.079614342     0.072390340       4.0422777       4.0409162     0.033692345
       1.8619815     0.080153773     0.072201241       4.2553297       4.2537421     0.037324190
       1.9550805     0.080709247     0.072001694       4.4684279       4.4665904     0.041139429
       2.0481796     0.081279100     0.071791604       4.6815746       4.6794624     0.045137618
       2.1412787     0.081861613     0.071570872       4.8947719       4.8923591     0.049318285
       2.2343778     0.082455005     0.071339403       5.1080222       5.1052817     0.053680935
       2.3274768     0.083057445     0.071097100       5.3213278       5.3182312     0.058225043
       2.4205759     0.083667051     0.070843868       5.5346908       5.5312089     0.062950057
       2.5136750     0.084281895     0.070579613       5.7481137       5.7442159     0.067855398
       2.6067741     0.084900001     0.070304245       5.9615985       5.9572533     0.072940457
       2.6998731     0.085519358     0.070017676       6.1751476       6.1703222     0.078204595
       2.7929722     0.086137914     0.069719820       6.3887632       6.3834237     0.083647144
       2.8860713     0.086753584     0.069410598       6.6024476       6.5965590     0.089267403
       2.9791703     0.087364253     0.069089935       6.8162029       6.8097293     0.095064641
       3.0722694     0.087967780     0.068757763       7.0300314       7.0229356      0.10103809
       3.1653685     0.088561999     0.068414018       7.2439353       7.2361791      0.10718696
       3.2584676     0.089144726     0.068058646       7.4579168       7.4494609      0.11351041
       3.3515666     0.089713759     0.067691600       7.6719781       7.6627822      0.12000757
       3.4446657     0.090266886     0.067312843       7.8861214       7.8761440      0.12667754
       3.5377648     0.090801883     0.066922347       8.1003488       8.0895477      0.13351938
       3.6308639     0.091316523     0.066520095       8.3146626       8.3029942      0.14053211
       3.7239629     0.091808575     0.066106081       8.5290648       8.5164847      0.14771470
       3.8170620     0.092275810     0.065680313       8.7435577       8.7300204      0.15506610
       3.9101611     0.092716005     0.065242812       8.9581434       8.9436024      0.16258520
       4.0032601     0.093126944     0.064793611       9.1728239       9.1572318      0.17027086
       4.0963592     0.093506422     0.064332761       9.3876015       9.3709099      0.17812190
       4.1894583     0.093852252     0.063860328       9.6024782       9.5846376      0.18613709
       4.2825574     0.094162261     0.063376395       9.8174561       9.7984163      0.19431513
       4.3756564     0.094434300     0.062881062       10.032537       10.012247      0.20265471
       4.4687555     0.094666241     0.062374451       10.247724       10.226131      0.21115446
       4.5618546     0.094855987     0.061856701       10.463018       10.440069      0.21981295
       4.6549537     0.095001468     0.061327972       10.678421       10.654063      0.22862870
       4.7480527     0.095100648     0.060788448       10.893936       10.868113      0.23760020
       4.8411518     0.095151522     0.060238334       11.109564       11.082221      0.24672586
       4.9342509     0.095152128     0.059677859       11.325307       11.296388      0.25600405
       5.0273500     0.095100540     0.059107278       11.541168       11.510615      0.26543308
       5.1204490     0.094994873     0.058526871       11.757148       11.724904      0.27501120
       5.2135481     0.094833288     0.057936946       11.973250       11.939254      0.28473659
       5.3066472     0.094613988     0.057337836       12.189474       12.153669      0.29460741
       5.3997462     0.094335225     0.056729906       12.405824       12.368148      0.30462171
       5.4928453     0.093995299     0.056113551       12.622300       12.582693      0.31477750
       5.5859444     0.093592556     0.055489194       12.838905       12.797305      0.32507274
       5.6790435     0.093125396     0.054857293       13.055641       13.011985      0.33550528
       5.7721425     0.092592267     0.054218337       13.272509       13.226735      0.34607294
       5.8652416     0.091991669     0.053572851       13.489511       13.441555      0.35677347
       5.9583407     0.091322151     0.052921393       13.706649       13.656447      0.36760452
       6.0514398     0.090582317     0.052264558       13.923924       13.871412      0.37856369
       6.1445388     0.089770819     0.051602978       14.141338       14.086451      0.38964850
       6.2376379     0.088886358     0.050937324       14.358894       14.301565      0.40085640
       6.3307370     0.087927687     0.050268305       14.576591       14.516755      0.41218475
       6.4238361     0.086893606     0.049596670       14.794433       14.732024      0.42363083
       6.5169351     0.085782960     0.048923209       15.012420       14.947371      0.43519186
       6.6100342     0.084594641     0.048248755       15.230555       15.162798      0.44686495
       6.7031333     0.083327582     0.047574184       15.448838       15.378306      0.45864714
       6.7962323     0.081980755     0.046900415       15.667271       15.593896      0.47053538
       6.8893314     0.080553174     0.046228412       15.885855       15.809570      0.48252653
       6.9824305     0.079043879     0.045559186       16.104593       16.025328      0.49461737
       7.0755296     0.077451947     0.044893794       16.323484       16.241173      0.50680457
       7.1686286     0.075776479     0.044233342       16.542531       16.457105      0.51908472
       7.2617277     0.074016599     0.043578982       16.761734       16.673124      0.53145431
       7.3548268     0.072171447     0.042931918       16.981096       16.889234      0.54390972
       7.4479259     0.070240177     0.042293403       17.200616       17.105434      0.55644725
       7.5410249     0.068221950     0.041664742       17.420297       17.321726      0.56906309
       7.6341240     0.066115925     0.041047291       17.640139       17.538110      0.58175333
       7.7272231     0.063921258     0.040442462       17.860143       17.754590      0.59451394
       7.8203222     0.061637093     0.039851716       18.080311       17.971164      0.60734080
       7.9134212     0.059262552     0.039276571       18.300642       18.187836      0.62022967
       8.0065203     0.056796730     0.038718601       18.521139       18.404605      0.63317620
       8.0996194     0.054238686     0.038179433       18.741801       18.621473      0.64617594
       8.1927184     0.051587434     0.037660754       18.962630       18.838442      0.65922431
       8.2858175     0.048841933     0.037164305       19.183626       19.055512      0.67231661
       8.3789166     0.046001078     0.036691887       19.404790       19.272685      0.68544803
       8.4720157     0.043063688     0.036245357       19.626122       19.489962      0.69861363
       8.5651147     0.040028498     0.035826633       19.847623       19.707344      0.71180837
       8.6582138     0.036894143     0.035437691       20.069293       19.924833      0.72502705
       8.7513129     0.033659147     0.035080566       20.291134       20.142429      0.73826438
       8.8444120     0.030321912     0.034757356       20.513144       20.360134      0.75151491
       8.9375110     0.026880700     0.034470216       20.735324       20.577950      0.76477307
       9.0306101     0.023333626     0.034221364       20.957675       20.795876      0.77803318
       9.1237092     0.019678632     0.034013078       21.180196       21.013915      0.79128939
       9.2168083     0.015913479     0.033847696       21.402888       21.232068      0.80453575
       9.3099073     0.012035730     0.033727619       21.625750       21.450337      0.81776614

Table series: Data for wavelength : 0.587562 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.011428004     0.011428004      0.00000000      0.00000000      0.00000000
     0.093099073     0.011446270     0.011423701      0.21274172      0.21274153  9.1362014E-005
      0.18619815     0.011504127     0.011410790      0.42548573      0.42548418  3.6543001E-004
      0.27929722     0.011601444     0.011389260      0.63823432      0.63822907  8.2217547E-004
