Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\WO2019-220618_Example09P.zmx
Title:	WO 2019/220618 Example 9 (Nikon Nikkor Z 50mm f/1.8 S)
Date:	11/7/2025 5:16:44 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.28352042      0.15170730      0.21300163      0.41565212
       1.4466667      0.28196687      0.14967354      0.23784073      0.39912553
       2.8933333      0.29051710      0.17670093      0.31039382      0.35333130
       4.3400000      0.34201996      0.28409492      0.42718704      0.29353427
       5.7866667      0.46120038      0.47137705      0.58589091      0.26196327
       7.2333333      0.65073112      0.72975423      0.78700973      0.32484340
       8.6800000      0.91153640       1.0658189       1.0369990      0.49389477
       10.126667       1.2577876       1.5033389       1.3530617      0.75172532
       11.573333       1.7217598       2.0863186       1.7682879       1.1097236
       13.020000       2.3537238       2.8787587       2.3331545       1.6042020
       14.466667       3.2092068       3.9486502       3.1034705       2.2790434
       15.913333       4.2969039       5.3038445       4.0900217       3.1407449
       17.360000       5.4225707       6.7013356       5.1108043       4.0318229
       18.806667       5.8570639       7.2441604       5.4688103       4.3537016
       20.253333       4.2668548       5.2980995       3.7333026       2.8806985
       21.700000       4.0806100       4.6279681       2.8743590       2.7928146
