Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\WO2020-230915_Example01P.zmx
Title:	WO 2020/230915 Example 1 (Samyang AF 24mm F2.8 FE)
Date:	11/7/2025 5:16:50 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.61247672     0.099668315      0.57563538      0.88549045
       1.4420000      0.62057470      0.14353565      0.57180635      0.87969677
       2.8840000      0.64816478      0.23327272      0.56418578      0.86532588
       4.3260000      0.70219487      0.34083193      0.56363744      0.85098862
       5.7680000      0.78667197      0.46045148      0.58460902      0.84913535
       7.2100000      0.89787769      0.58917599      0.63768620      0.87186793
       8.6520000       1.0244868      0.72243949      0.72212194      0.92461131
       10.094000       1.1503932      0.85256772      0.82488533       1.0012193
       11.536000       1.2584079      0.97102874      0.92548385       1.0842763
       12.978000       1.3393489       1.0846540       1.0059494       1.1516906
       14.420000       1.4252654       1.2724346       1.0836270       1.1975628
       15.862000       1.6868307       1.7874944       1.3137183       1.3063088
       17.304000       2.5329527       3.0470131       2.0890532       1.8074022
       18.746000       4.4779241       5.5412594       3.8745486       3.2093028
       20.188000       8.0680661       9.8843074       7.1534689       5.9687903
       21.630000       13.888648       16.716032       12.434413       10.518356
