Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.040301230,-0.040301230,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.040301230,-0.040301230,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.23516872,-0.040354243,-0.040372020,0.20517795,0.20517799,-1.9354550E-005,0.486133 µm.
0.23516872,-0.040354243,-0.040372020,0.20517795,0.20517799,-1.9354550E-005,0.486133 µm.
0.47033745,-0.040522729,-0.040584331,0.41036221,0.41036290,-1.6945778E-004,0.486133 µm.
0.47033745,-0.040522729,-0.040584331,0.41036221,0.41036290,-1.6945778E-004,0.486133 µm.
0.70550617,-0.040806567,-0.040937980,0.61555905,0.61556164,-4.1969977E-004,0.486133 µm.
0.70550617,-0.040806567,-0.040937980,0.61555905,0.61556164,-4.1969977E-004,0.486133 µm.
0.94067489,-0.041205551,-0.041432664,0.82077480,0.82078112,-7.7018550E-004,0.486133 µm.
0.94067489,-0.041205551,-0.041432664,0.82077480,0.82078112,-7.7018550E-004,0.486133 µm.
1.1758436,-0.041719393,-0.042067958,1.0260157,1.0260283,-1.2210620E-003,0.486133 µm.
1.1758436,-0.041719393,-0.042067958,1.0260157,1.0260283,-1.2210620E-003,0.486133 µm.
1.4110123,-0.042347718,-0.042843316,1.2312882,1.2313100,-1.7725185E-003,0.486133 µm.
1.4110123,-0.042347718,-0.042843316,1.2312882,1.2313100,-1.7725185E-003,0.486133 µm.
1.6461811,-0.043090068,-0.043758070,1.4365984,1.4366332,-2.4247780E-003,0.486133 µm.
1.6461811,-0.043090068,-0.043758070,1.4365984,1.4366332,-2.4247780E-003,0.486133 µm.
1.8813498,-0.043945901,-0.044811428,1.6419527,1.6420049,-3.1781308E-003,0.486133 µm.
1.8813498,-0.043945901,-0.044811428,1.6419527,1.6420049,-3.1781308E-003,0.486133 µm.
2.1165185,-0.044914589,-0.046002477,1.8473575,1.8474320,-4.0328852E-003,0.486133 µm.
2.1165185,-0.044914589,-0.046002477,1.8473575,1.8474320,-4.0328852E-003,0.486133 µm.
2.3516872,-0.045995421,-0.047330180,2.0528190,2.0529214,-4.9894001E-003,0.486133 µm.
2.3516872,-0.045995421,-0.047330180,2.0528190,2.0529214,-4.9894001E-003,0.486133 µm.
2.5868560,-0.047187603,-0.048793377,2.2583435,2.2584801,-6.0480773E-003,0.486133 µm.
2.5868560,-0.047187603,-0.048793377,2.2583435,2.2584801,-6.0480773E-003,0.486133 µm.
2.8220247,-0.048490254,-0.050390784,2.4639374,2.4641150,-7.2093620E-003,0.486133 µm.
2.8220247,-0.048490254,-0.050390784,2.4639374,2.4641150,-7.2093620E-003,0.486133 µm.
3.0571934,-0.049902414,-0.052120990,2.6696069,2.6698332,-8.4737424E-003,0.486133 µm.
3.0571934,-0.049902414,-0.052120990,2.6696069,2.6698332,-8.4737424E-003,0.486133 µm.
3.2923621,-0.051423033,-0.053982462,2.8753585,2.8756416,-9.8417506E-003,0.486133 µm.
3.2923621,-0.051423033,-0.053982462,2.8753585,2.8756416,-9.8417506E-003,0.486133 µm.
3.5275308,-0.053050984,-0.055973536,3.0811985,3.0815472,-0.011313962,0.486133 µm.
3.5275308,-0.053050984,-0.055973536,3.0811985,3.0815472,-0.011313962,0.486133 µm.
3.7626996,-0.054785051,-0.058092425,3.2871332,3.2875570,-0.012890998,0.486133 µm.
3.7626996,-0.054785051,-0.058092425,3.2871332,3.2875570,-0.012890998,0.486133 µm.
3.9978683,-0.056623938,-0.060337212,3.4931689,3.4936780,-0.014573521,0.486133 µm.
3.9978683,-0.056623938,-0.060337212,3.4931689,3.4936780,-0.014573521,0.486133 µm.
4.2330370,-0.058566265,-0.062705851,3.6993120,3.6999174,-0.016362243,0.486133 µm.
4.2330370,-0.058566265,-0.062705851,3.6993120,3.6999174,-0.016362243,0.486133 µm.
4.4682057,-0.060610570,-0.065196166,3.9055689,3.9062821,-0.018257917,0.486133 µm.
4.4682057,-0.060610570,-0.065196166,3.9055689,3.9062821,-0.018257917,0.486133 µm.
4.7033745,-0.062755307,-0.067805851,4.1119459,4.1127792,-0.020261344,0.486133 µm.
4.7033745,-0.062755307,-0.067805851,4.1119459,4.1127792,-0.020261344,0.486133 µm.
4.9385432,-0.064998848,-0.070532464,4.3184495,4.3194158,-0.022373371,0.486133 µm.
4.9385432,-0.064998848,-0.070532464,4.3184495,4.3194158,-0.022373371,0.486133 µm.
5.1737119,-0.067339483,-0.073373435,4.5250859,4.5261991,-0.024594891,0.486133 µm.
5.1737119,-0.067339483,-0.073373435,4.5250859,4.5261991,-0.024594891,0.486133 µm.
5.4088806,-0.069775421,-0.076326054,4.7318616,4.7331361,-0.026926845,0.486133 µm.
5.4088806,-0.069775421,-0.076326054,4.7318616,4.7331361,-0.026926845,0.486133 µm.
5.6440493,-0.072304789,-0.079387477,4.9387831,4.9402340,-0.029370220,0.486133 µm.
5.6440493,-0.072304789,-0.079387477,4.9387831,4.9402340,-0.029370220,0.486133 µm.
5.8792181,-0.074925632,-0.082554722,5.1458567,5.1475000,-0.031926053,0.486133 µm.
5.8792181,-0.074925632,-0.082554722,5.1458567,5.1475000,-0.031926053,0.486133 µm.
6.1143868,-0.077635915,-0.085824668,5.3530888,5.3549413,-0.034595429,0.486133 µm.
6.1143868,-0.077635915,-0.085824668,5.3530888,5.3549413,-0.034595429,0.486133 µm.
6.3495555,-0.080433521,-0.089194052,5.5604858,5.5625651,-0.037379481,0.486133 µm.
6.3495555,-0.080433521,-0.089194052,5.5604858,5.5625651,-0.037379481,0.486133 µm.
6.5847242,-0.083316256,-0.092659469,5.7680543,5.7703786,-0.040279394,0.486133 µm.
6.5847242,-0.083316256,-0.092659469,5.7680543,5.7703786,-0.040279394,0.486133 µm.
6.8198930,-0.086281843,-0.096217370,5.9758007,5.9783892,-0.043296403,0.486133 µm.
6.8198930,-0.086281843,-0.096217370,5.9758007,5.9783892,-0.043296403,0.486133 µm.
7.0550617,-0.089327927,-0.099864059,6.1837315,6.1866040,-0.046431794,0.486133 µm.
7.0550617,-0.089327927,-0.099864059,6.1837315,6.1866040,-0.046431794,0.486133 µm.
7.2902304,-0.092452074,-0.10359569,6.3918530,6.3950305,-0.049686904,0.486133 µm.
7.2902304,-0.092452074,-0.10359569,6.3918530,6.3950305,-0.049686904,0.486133 µm.
7.5253991,-0.095651774,-0.10740827,6.6001719,6.6036760,-0.053063125,0.486133 µm.
7.5253991,-0.095651774,-0.10740827,6.6001719,6.6036760,-0.053063125,0.486133 µm.
7.7605679,-0.098924436,-0.11129766,6.8086946,6.8125479,-0.056561901,0.486133 µm.
7.7605679,-0.098924436,-0.11129766,6.8086946,6.8125479,-0.056561901,0.486133 µm.
7.9957366,-0.10226739,-0.11525954,7.0174276,7.0216536,-0.060184731,0.486133 µm.
7.9957366,-0.10226739,-0.11525954,7.0174276,7.0216536,-0.060184731,0.486133 µm.
8.2309053,-0.10567790,-0.11928947,7.2263775,7.2310005,-0.063933168,0.486133 µm.
8.2309053,-0.10567790,-0.11928947,7.2263775,7.2310005,-0.063933168,0.486133 µm.
8.4660740,-0.10915314,-0.12338281,7.4355508,7.4405962,-0.067808823,0.486133 µm.
8.4660740,-0.10915314,-0.12338281,7.4355508,7.4405962,-0.067808823,0.486133 µm.
8.7012427,-0.11269023,-0.12753481,7.6449541,7.6504481,-0.071813361,0.486133 µm.
8.7012427,-0.11269023,-0.12753481,7.6449541,7.6504481,-0.071813361,0.486133 µm.
8.9364115,-0.11628618,-0.13174050,7.8545939,7.8605638,-0.075948509,0.486133 µm.
8.9364115,-0.11628618,-0.13174050,7.8545939,7.8605638,-0.075948509,0.486133 µm.
9.1715802,-0.11993796,-0.13599477,8.0644768,8.0709510,-0.080216049,0.486133 µm.
9.1715802,-0.11993796,-0.13599477,8.0644768,8.0709510,-0.080216049,0.486133 µm.
9.4067489,-0.12364245,-0.14029235,8.2746094,8.2816171,-0.084617825,0.486133 µm.
9.4067489,-0.12364245,-0.14029235,8.2746094,8.2816171,-0.084617825,0.486133 µm.
9.6419176,-0.12739647,-0.14462777,8.4849984,8.4925700,-0.089155742,0.486133 µm.
9.6419176,-0.12739647,-0.14462777,8.4849984,8.4925700,-0.089155742,0.486133 µm.
