Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.046759608,-0.046759608,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.046759608,-0.046759608,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.18524198,-0.046773946,-0.046792004,0.20944668,0.20944669,-5.9467769E-006,0.486133 µm.
0.18524198,-0.046773946,-0.046792004,0.20944668,0.20944669,-5.9467769E-006,0.486133 µm.
0.37048395,-0.046813393,-0.046889170,0.41889681,0.41889777,-2.2914887E-004,0.486133 µm.
0.37048395,-0.046813393,-0.046889170,0.41889681,0.41889777,-2.2914887E-004,0.486133 µm.
0.55572593,-0.046877896,-0.047051037,0.62835382,0.62835760,-6.0107312E-004,0.486133 µm.
0.55572593,-0.046877896,-0.047051037,0.62835382,0.62835760,-6.0107312E-004,0.486133 µm.
0.74096791,-0.046967360,-0.047277492,0.83782117,0.83783057,-1.1216006E-003,0.486133 µm.
0.74096791,-0.046967360,-0.047277492,0.83782117,0.83783057,-1.1216006E-003,0.486133 µm.
0.92620989,-0.047081658,-0.047568376,1.0473023,1.0473211,-1.7905647E-003,0.486133 µm.
0.92620989,-0.047081658,-0.047568376,1.0473023,1.0473211,-1.7905647E-003,0.486133 µm.
1.1114519,-0.047220624,-0.047923485,1.2568007,1.2568334,-2.6077510E-003,0.486133 µm.
1.1114519,-0.047220624,-0.047923485,1.2568007,1.2568334,-2.6077510E-003,0.486133 µm.
1.2966938,-0.047384058,-0.048342569,1.4663197,1.4663721,-3.5728972E-003,0.486133 µm.
1.2966938,-0.047384058,-0.048342569,1.4663197,1.4663721,-3.5728972E-003,0.486133 µm.
1.4819358,-0.047571724,-0.048825334,1.6758629,1.6759415,-4.6856929E-003,0.486133 µm.
1.4819358,-0.047571724,-0.048825334,1.6758629,1.6759415,-4.6856929E-003,0.486133 µm.
1.6671778,-0.047783350,-0.049371438,1.8854338,1.8855459,-5.9457794E-003,0.486133 µm.
1.6671778,-0.047783350,-0.049371438,1.8854338,1.8855459,-5.9457794E-003,0.486133 µm.
1.8524198,-0.048018628,-0.049980495,2.0950357,2.0951897,-7.3527495E-003,0.486133 µm.
1.8524198,-0.048018628,-0.049980495,2.0950357,2.0951897,-7.3527495E-003,0.486133 µm.
2.0376617,-0.048277218,-0.050652073,2.3046721,2.3048774,-8.9061389E-003,0.486133 µm.
2.0376617,-0.048277218,-0.050652073,2.3046721,2.3048774,-8.9061389E-003,0.486133 µm.
