Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.10243165,-0.10243165,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.10243165,-0.10243165,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.13363187,-0.10247804,-0.10246337,0.20984813,0.20984775,1.8241071E-004,0.486133 µm.
0.13363187,-0.10247804,-0.10246337,0.20984813,0.20984775,1.8241071E-004,0.486133 µm.
0.26726374,-0.10261517,-0.10255850,0.41970016,0.41969778,5.6896185E-004,0.486133 µm.
0.26726374,-0.10261517,-0.10255850,0.41970016,0.41969778,5.6896185E-004,0.486133 µm.
0.40089562,-0.10284294,-0.10271699,0.62956001,0.62955237,1.2131370E-003,0.486133 µm.
0.40089562,-0.10284294,-0.10271699,0.62956001,0.62955237,1.2131370E-003,0.486133 µm.
0.53452749,-0.10316118,-0.10293877,0.83943157,0.83941382,2.1148211E-003,0.486133 µm.
0.53452749,-0.10316118,-0.10293877,0.83943157,0.83941382,2.1148211E-003,0.486133 µm.
0.66815936,-0.10356964,-0.10322374,1.0493187,1.0492844,3.2738529E-003,0.486133 µm.
0.66815936,-0.10356964,-0.10322374,1.0493187,1.0492844,3.2738529E-003,0.486133 µm.
0.80179123,-0.10406799,-0.10357175,1.2592254,1.2591664,4.6900246E-003,0.486133 µm.
0.80179123,-0.10406799,-0.10357175,1.2592254,1.2591664,4.6900246E-003,0.486133 µm.
0.93542311,-0.10465585,-0.10398263,1.4691556,1.4690621,6.3630927E-003,0.486133 µm.
0.93542311,-0.10465585,-0.10398263,1.4691556,1.4690621,6.3630927E-003,0.486133 µm.
1.0690550,-0.10533274,-0.10445619,1.6791130,1.6789738,8.2927358E-003,0.486133 µm.
1.0690550,-0.10533274,-0.10445619,1.6791130,1.6789738,8.2927358E-003,0.486133 µm.
1.2026869,-0.10609813,-0.10499219,1.8891017,1.8889037,0.010478617,0.486133 µm.
1.2026869,-0.10609813,-0.10499219,1.8891017,1.8889037,0.010478617,0.486133 µm.
1.3363187,-0.10695141,-0.10559038,2.0991254,2.0988542,0.012920341,0.486133 µm.
1.3363187,-0.10695141,-0.10559038,2.0991254,2.0988542,0.012920341,0.486133 µm.
1.4699506,-0.10789189,-0.10625045,2.3091882,2.3088276,0.015617466,0.486133 µm.
1.4699506,-0.10789189,-0.10625045,2.3091882,2.3088276,0.015617466,0.486133 µm.
1.6035825,-0.10891882,-0.10697208,2.5192938,2.5188261,0.018569503,0.486133 µm.
1.6035825,-0.10891882,-0.10697208,2.5192938,2.5188261,0.018569503,0.486133 µm.
1.7372143,-0.11003137,-0.10775491,2.7294463,2.7288520,0.021775914,0.486133 µm.
1.7372143,-0.11003137,-0.10775491,2.7294463,2.7288520,0.021775914,0.486133 µm.
1.8708462,-0.11122864,-0.10859857,2.9396493,2.9389077,0.025236112,0.486133 µm.
1.8708462,-0.11122864,-0.10859857,2.9396493,2.9389077,0.025236112,0.486133 µm.
2.0044781,-0.11250967,-0.10950262,3.1499069,3.1489953,0.028949463,0.486133 µm.
2.0044781,-0.11250967,-0.10950262,3.1499069,3.1489953,0.028949463,0.486133 µm.
2.1381100,-0.11387341,-0.11046662,3.3602229,3.3591173,0.032915282,0.486133 µm.
2.1381100,-0.11387341,-0.11046662,3.3602229,3.3591173,0.032915282,0.486133 µm.
2.2717418,-0.11531874,-0.11149008,3.5706012,3.5692758,0.037132834,0.486133 µm.
2.2717418,-0.11531874,-0.11149008,3.5706012,3.5692758,0.037132834,0.486133 µm.
2.4053737,-0.11684450,-0.11257248,3.7810455,3.7794732,0.041601335,0.486133 µm.
2.4053737,-0.11684450,-0.11257248,3.7810455,3.7794732,0.041601335,0.486133 µm.
2.5390056,-0.11844941,-0.11371328,3.9915599,3.9897119,0.046319949,0.486133 µm.
2.5390056,-0.11844941,-0.11371328,3.9915599,3.9897119,0.046319949,0.486133 µm.
2.6726374,-0.12013216,-0.11491189,4.2021481,4.1999940,0.051287790,0.486133 µm.
2.6726374,-0.12013216,-0.11491189,4.2021481,4.1999940,0.051287790,0.486133 µm.
2.8062693,-0.12189134,-0.11616771,4.4128139,4.4103219,0.056503916,0.486133 µm.
2.8062693,-0.12189134,-0.11616771,4.4128139,4.4103219,0.056503916,0.486133 µm.
2.9399012,-0.12372550,-0.11748007,4.6235612,4.6206979,0.061967337,0.486133 µm.
2.9399012,-0.12372550,-0.11748007,4.6235612,4.6206979,0.061967337,0.486133 µm.
3.0735331,-0.12563309,-0.11884830,4.8343939,4.8311243,0.067677005,0.486133 µm.
3.0735331,-0.12563309,-0.11884830,4.8343939,4.8311243,0.067677005,0.486133 µm.
3.2071649,-0.12761251,-0.12027169,5.0453157,5.0416034,0.073631822,0.486133 µm.
3.2071649,-0.12761251,-0.12027169,5.0453157,5.0416034,0.073631822,0.486133 µm.
3.3407968,-0.12966209,-0.12174948,5.2563304,5.2521376,0.079830630,0.486133 µm.
3.3407968,-0.12966209,-0.12174948,5.2563304,5.2521376,0.079830630,0.486133 µm.
3.4744287,-0.13178008,-0.12328089,5.4674419,5.4627291,0.086272219,0.486133 µm.
3.4744287,-0.13178008,-0.12328089,5.4674419,5.4627291,0.086272219,0.486133 µm.
3.6080606,-0.13396467,-0.12486511,5.6786539,5.6733802,0.092955319,0.486133 µm.
3.6080606,-0.13396467,-0.12486511,5.6786539,5.6733802,0.092955319,0.486133 µm.
3.7416924,-0.13621397,-0.12650126,5.8899702,5.8840933,0.099878605,0.486133 µm.
3.7416924,-0.13621397,-0.12650126,5.8899702,5.8840933,0.099878605,0.486133 µm.
3.8753243,-0.13852605,-0.12818848,6.1013947,6.0948707,0.10704069,0.486133 µm.
3.8753243,-0.13852605,-0.12818848,6.1013947,6.0948707,0.10704069,0.486133 µm.
4.0089562,-0.14089888,-0.12992582,6.3129310,6.3057147,0.11444013,0.486133 µm.
4.0089562,-0.14089888,-0.12992582,6.3129310,6.3057147,0.11444013,0.486133 µm.
4.1425880,-0.14333039,-0.13171233,6.5245828,6.5166276,0.12207542,0.486133 µm.
4.1425880,-0.14333039,-0.13171233,6.5245828,6.5166276,0.12207542,0.486133 µm.
4.2762199,-0.14581842,-0.13354701,6.7363540,6.7276118,0.12994499,0.486133 µm.
4.2762199,-0.14581842,-0.13354701,6.7363540,6.7276118,0.12994499,0.486133 µm.
4.4098518,-0.14836076,-0.13542883,6.9482483,6.9386697,0.13804722,0.486133 µm.
4.4098518,-0.14836076,-0.13542883,6.9482483,6.9386697,0.13804722,0.486133 µm.
4.5434837,-0.15095513,-0.13735670,7.1602693,7.1498034,0.14638039,0.486133 µm.
4.5434837,-0.15095513,-0.13735670,7.1602693,7.1498034,0.14638039,0.486133 µm.
4.6771155,-0.15359919,-0.13932953,7.3724208,7.3610154,0.15494277,0.486133 µm.
4.6771155,-0.15359919,-0.13932953,7.3724208,7.3610154,0.15494277,0.486133 µm.
4.8107474,-0.15629053,-0.14134615,7.5847064,7.5723081,0.16373251,0.486133 µm.
4.8107474,-0.15629053,-0.14134615,7.5847064,7.5723081,0.16373251,0.486133 µm.
4.9443793,-0.15902668,-0.14340538,7.7971298,7.7836837,0.17274772,0.486133 µm.
4.9443793,-0.15902668,-0.14340538,7.7971298,7.7836837,0.17274772,0.486133 µm.
5.0780112,-0.16180511,-0.14550599,8.0096947,7.9951446,0.18198644,0.486133 µm.
5.0780112,-0.16180511,-0.14550599,8.0096947,7.9951446,0.18198644,0.486133 µm.
5.2116430,-0.16462322,-0.14764672,8.2224047,8.2066932,0.19144663,0.486133 µm.
5.2116430,-0.16462322,-0.14764672,8.2224047,8.2066932,0.19144663,0.486133 µm.
5.3452749,-0.16747837,-0.14982624,8.4352633,8.4183318,0.20112618,0.486133 µm.
5.3452749,-0.16747837,-0.14982624,8.4352633,8.4183318,0.20112618,0.486133 µm.
5.4789068,-0.17036783,-0.15204322,8.6482743,8.6300629,0.21102291,0.486133 µm.
5.4789068,-0.17036783,-0.15204322,8.6482743,8.6300629,0.21102291,0.486133 µm.
5.6125386,-0.17328884,-0.15429625,8.8614411,8.8418886,0.22113456,0.486133 µm.
5.6125386,-0.17328884,-0.15429625,8.8614411,8.8418886,0.22113456,0.486133 µm.
5.7461705,-0.17623856,-0.15658391,9.0747674,9.0538115,0.23145880,0.486133 µm.
5.7461705,-0.17623856,-0.15658391,9.0747674,9.0538115,0.23145880,0.486133 µm.
5.8798024,-0.17921412,-0.15890471,9.2882566,9.2658339,0.24199322,0.486133 µm.
5.8798024,-0.17921412,-0.15890471,9.2882566,9.2658339,0.24199322,0.486133 µm.
6.0134343,-0.18221257,-0.16125714,9.5019123,9.4779582,0.25273531,0.486133 µm.
6.0134343,-0.18221257,-0.16125714,9.5019123,9.4779582,0.25273531,0.486133 µm.
6.1470661,-0.18523091,-0.16363962,9.7157380,9.6901867,0.26368251,0.486133 µm.
6.1470661,-0.18523091,-0.16363962,9.7157380,9.6901867,0.26368251,0.486133 µm.
6.2806980,-0.18826610,-0.16605055,9.9297372,9.9025219,0.27483215,0.486133 µm.
6.2806980,-0.18826610,-0.16605055,9.9297372,9.9025219,0.27483215,0.486133 µm.
6.4143299,-0.19131505,-0.16848827,10.143913,10.114966,0.28618149,0.486133 µm.
6.4143299,-0.19131505,-0.16848827,10.143913,10.114966,0.28618149,0.486133 µm.
6.5479617,-0.19437459,-0.17095107,10.358270,10.327522,0.29772769,0.486133 µm.
6.5479617,-0.19437459,-0.17095107,10.358270,10.327522,0.29772769,0.486133 µm.
6.6815936,-0.19744155,-0.17343720,10.572810,10.540191,0.30946783,0.486133 µm.
6.6815936,-0.19744155,-0.17343720,10.572810,10.540191,0.30946783,0.486133 µm.
6.8152255,-0.20051267,-0.17594487,10.787537,10.752977,0.32139889,0.486133 µm.
