Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-1.9867171,-1.9867171,0.00000000,0.00000000,0.00000000,0.558000 µm.
0.00000000,-1.9867171,-1.9867171,0.00000000,0.00000000,0.00000000,0.558000 µm.
0.038000000,-1.9866825,-1.9867167,0.10469930,0.10469925,4.0946541E-005,0.558000 µm.
0.038000000,-1.9866825,-1.9867167,0.10469930,0.10469925,4.0946541E-005,0.558000 µm.
0.076000000,-1.9866049,-1.9867153,0.20939894,0.20939860,1.6471741E-004,0.558000 µm.
0.076000000,-1.9866049,-1.9867153,0.20939894,0.20939860,1.6471741E-004,0.558000 µm.
0.11400000,-1.9864844,-1.9867130,0.31409929,0.31409813,3.7100229E-004,0.558000 µm.
0.11400000,-1.9864844,-1.9867130,0.31409929,0.31409813,3.7100229E-004,0.558000 µm.
0.15200000,-1.9863209,-1.9867099,0.41880069,0.41879793,6.5980134E-004,0.558000 µm.
0.15200000,-1.9863209,-1.9867099,0.41880069,0.41879793,6.5980134E-004,0.558000 µm.
0.19000000,-1.9861145,-1.9867058,0.52350350,0.52349810,1.0311148E-003,0.558000 µm.
0.19000000,-1.9861145,-1.9867058,0.52350350,0.52349810,1.0311148E-003,0.558000 µm.
0.22800000,-1.9858651,-1.9867008,0.62820807,0.62819874,1.4852293E-003,0.558000 µm.
0.22800000,-1.9858651,-1.9867008,0.62820807,0.62819874,1.4852293E-003,0.558000 µm.
0.26600000,-1.9855728,-1.9866948,0.73291474,0.73289993,2.0215724E-003,0.558000 µm.
0.26600000,-1.9855728,-1.9866948,0.73291474,0.73289993,2.0215724E-003,0.558000 µm.
0.30400000,-1.9852374,-1.9866880,0.83762387,0.83760176,2.6404309E-003,0.558000 µm.
0.30400000,-1.9852374,-1.9866880,0.83762387,0.83760176,2.6404309E-003,0.558000 µm.
0.34200000,-1.9848591,-1.9866802,0.94233582,0.94230433,3.3418052E-003,0.558000 µm.
0.34200000,-1.9848591,-1.9866802,0.94233582,0.94230433,3.3418052E-003,0.558000 µm.
0.38000000,-1.9844378,-1.9866714,1.0470509,1.0470077,4.1256959E-003,0.558000 µm.
0.38000000,-1.9844378,-1.9866714,1.0470509,1.0470077,4.1256959E-003,0.558000 µm.
0.41800000,-1.9839735,-1.9866617,1.1517695,1.1517120,4.9921034E-003,0.558000 µm.
0.41800000,-1.9839735,-1.9866617,1.1517695,1.1517120,4.9921034E-003,0.558000 µm.
0.45600000,-1.9834661,-1.9866510,1.2564920,1.2564174,5.9410284E-003,0.558000 µm.
0.45600000,-1.9834661,-1.9866510,1.2564920,1.2564174,5.9410284E-003,0.558000 µm.
0.49400000,-1.9829157,-1.9866393,1.3612187,1.3611238,6.9724715E-003,0.558000 µm.
0.49400000,-1.9829157,-1.9866393,1.3612187,1.3611238,6.9724715E-003,0.558000 µm.
0.53200000,-1.9823223,-1.9866266,1.4659500,1.4658314,8.0864336E-003,0.558000 µm.
0.53200000,-1.9823223,-1.9866266,1.4659500,1.4658314,8.0864336E-003,0.558000 µm.
0.57000000,-1.9816857,-1.9866129,1.5706862,1.5705404,9.2829152E-003,0.558000 µm.
0.57000000,-1.9816857,-1.9866129,1.5706862,1.5705404,9.2829152E-003,0.558000 µm.
0.60800000,-1.9810060,-1.9865981,1.6754276,1.6752507,0.010561917,0.558000 µm.
0.60800000,-1.9810060,-1.9865981,1.6754276,1.6752507,0.010561917,0.558000 µm.
0.64600000,-1.9802833,-1.9865823,1.7801747,1.7799625,0.011923441,0.558000 µm.
0.64600000,-1.9802833,-1.9865823,1.7801747,1.7799625,0.011923441,0.558000 µm.
0.68400000,-1.9795173,-1.9865654,1.8849277,1.8846758,0.013367486,0.558000 µm.
0.68400000,-1.9795173,-1.9865654,1.8849277,1.8846758,0.013367486,0.558000 µm.
0.72200000,-1.9787082,-1.9865474,1.9896871,1.9893908,0.014894055,0.558000 µm.
0.72200000,-1.9787082,-1.9865474,1.9896871,1.9893908,0.014894055,0.558000 µm.
0.76000000,-1.9778559,-1.9865283,2.0944532,2.0941076,0.016503147,0.558000 µm.
0.76000000,-1.9778559,-1.9865283,2.0944532,2.0941076,0.016503147,0.558000 µm.
0.79800000,-1.9769604,-1.9865080,2.1992262,2.1988262,0.018194765,0.558000 µm.
0.79800000,-1.9769604,-1.9865080,2.1992262,2.1988262,0.018194765,0.558000 µm.
0.83600000,-1.9760216,-1.9864865,2.3040067,2.3035467,0.019968909,0.558000 µm.
0.83600000,-1.9760216,-1.9864865,2.3040067,2.3035467,0.019968909,0.558000 µm.
0.87400000,-1.9750395,-1.9864639,2.4087949,2.4082693,0.021825580,0.558000 µm.
0.87400000,-1.9750395,-1.9864639,2.4087949,2.4082693,0.021825580,0.558000 µm.
0.91200000,-1.9740141,-1.9864400,2.5135911,2.5129939,0.023764780,0.558000 µm.
0.91200000,-1.9740141,-1.9864400,2.5135911,2.5129939,0.023764780,0.558000 µm.
0.95000000,-1.9729454,-1.9864148,2.6183958,2.6177208,0.025786508,0.558000 µm.
0.95000000,-1.9729454,-1.9864148,2.6183958,2.6177208,0.025786508,0.558000 µm.
0.98800000,-1.9718332,-1.9863884,2.7232093,2.7224500,0.027890768,0.558000 µm.
0.98800000,-1.9718332,-1.9863884,2.7232093,2.7224500,0.027890768,0.558000 µm.
1.0260000,-1.9706777,-1.9863607,2.8280319,2.8271816,0.030077559,0.558000 µm.
1.0260000,-1.9706777,-1.9863607,2.8280319,2.8271816,0.030077559,0.558000 µm.
1.0640000,-1.9694787,-1.9863316,2.9328641,2.9319157,0.032346882,0.558000 µm.
