Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.062571915,-0.062571915,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.062571915,-0.062571915,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.32796511,-0.062645105,-0.062669637,0.31470740,0.31470827,-2.7499773E-004,0.486133 µm.
0.32796511,-0.062645105,-0.062669637,0.31470740,0.31470827,-2.7499773E-004,0.486133 µm.
0.65593022,-0.062871151,-0.062962720,0.62943091,0.62943716,-9.9174276E-004,0.486133 µm.
0.65593022,-0.062871151,-0.062962720,0.62943091,0.62943716,-9.9174276E-004,0.486133 µm.
0.98389534,-0.063249792,-0.063450909,0.94418666,0.94420730,-2.1860138E-003,0.486133 µm.
0.98389534,-0.063249792,-0.063450909,0.94418666,0.94420730,-2.1860138E-003,0.486133 µm.
1.3118604,-0.063780592,-0.064133783,1.2589908,1.2590393,-3.8573984E-003,0.486133 µm.
1.3118604,-0.063780592,-0.064133783,1.2589908,1.2590393,-3.8573984E-003,0.486133 µm.
1.6398256,-0.064462944,-0.065010748,1.5738594,1.5739539,-6.0052707E-003,0.486133 µm.
1.6398256,-0.064462944,-0.065010748,1.5738594,1.5739539,-6.0052707E-003,0.486133 µm.
1.9677907,-0.065296062,-0.066081043,1.8888087,1.8889717,-8.6288410E-003,0.486133 µm.
1.9677907,-0.065296062,-0.066081043,1.8888087,1.8889717,-8.6288410E-003,0.486133 µm.
2.2957558,-0.066278988,-0.067343732,2.2038550,2.2041135,-0.011727142,0.486133 µm.
2.2957558,-0.066278988,-0.067343732,2.2038550,2.2041135,-0.011727142,0.486133 µm.
2.6237209,-0.067410586,-0.068797710,2.5190145,2.5193999,-0.015299027,0.486133 µm.
2.6237209,-0.067410586,-0.068797710,2.5190145,2.5193999,-0.015299027,0.486133 µm.
2.9516860,-0.068689545,-0.070441697,2.8343034,2.8348518,-0.019343170,0.486133 µm.
