Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,4.4983898E-003,4.4983898E-003,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,4.4983898E-003,4.4983898E-003,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.012500000,4.5157971E-003,4.5040792E-003,0.21272105,0.21272100,2.4719760E-005,0.486133 µm.
0.012500000,4.5157971E-003,4.5040792E-003,0.21272105,0.21272100,2.4719760E-005,0.486133 µm.
0.025000000,4.5662406E-003,4.5211310E-003,0.42544244,0.42544202,9.8856833E-005,0.486133 µm.
0.025000000,4.5662406E-003,4.5211310E-003,0.42544244,0.42544202,9.8856833E-005,0.486133 µm.
0.037500000,4.6495277E-003,4.5494961E-003,0.63816451,0.63816309,2.2234432E-004,0.486133 µm.
0.037500000,4.6495277E-003,4.5494961E-003,0.63816451,0.63816309,2.2234432E-004,0.486133 µm.
0.050000000,4.7653392E-003,4.5890925E-003,0.85088757,0.85088421,3.9507070E-004,0.486133 µm.
0.050000000,4.7653392E-003,4.5890925E-003,0.85088757,0.85088421,3.9507070E-004,0.486133 µm.
0.062500000,4.9132291E-003,4.6398055E-003,1.0636120,1.0636054,6.1687973E-004,0.486133 µm.
0.062500000,4.9132291E-003,4.6398055E-003,1.0636120,1.0636054,6.1687973E-004,0.486133 µm.
0.075000000,5.0926236E-003,4.7014872E-003,1.2763380,1.2763267,8.8757033E-004,0.486133 µm.
0.075000000,5.0926236E-003,4.7014872E-003,1.2763380,1.2763267,8.8757033E-004,0.486133 µm.
0.087500000,5.3028212E-003,4.7739570E-003,1.4890661,1.4890481,1.2068964E-003,0.486133 µm.
0.087500000,5.3028212E-003,4.7739570E-003,1.4890661,1.4890481,1.2068964E-003,0.486133 µm.
0.10000000,5.5429910E-003,4.8570008E-003,1.7017965,1.7017697,1.5745666E-003,0.486133 µm.
0.10000000,5.5429910E-003,4.8570008E-003,1.7017965,1.7017697,1.5745666E-003,0.486133 µm.
0.11250000,5.8121725E-003,4.9503714E-003,1.9145296,1.9144914,1.9902443E-003,0.486133 µm.
0.11250000,5.8121725E-003,4.9503714E-003,1.9145296,1.9144914,1.9902443E-003,0.486133 µm.
0.12500000,6.1092738E-003,5.0537880E-003,2.1272656,2.1272134,2.4535471E-003,0.486133 µm.
0.12500000,6.1092738E-003,5.0537880E-003,2.1272656,2.1272134,2.4535471E-003,0.486133 µm.
0.13750000,6.4330708E-003,5.1669360E-003,2.3400048,2.3399355,2.9640465E-003,0.486133 µm.
0.13750000,6.4330708E-003,5.1669360E-003,2.3400048,2.3399355,2.9640465E-003,0.486133 µm.
0.15000000,6.7822054E-003,5.2894670E-003,2.5527477,2.5526578,3.5212679E-003,0.486133 µm.
0.15000000,6.7822054E-003,5.2894670E-003,2.5527477,2.5526578,3.5212679E-003,0.486133 µm.
0.16250000,7.1551842E-003,5.4209983E-003,2.7654945,2.7653804,4.1246899E-003,0.486133 µm.
0.16250000,7.1551842E-003,5.4209983E-003,2.7654945,2.7653804,4.1246899E-003,0.486133 µm.
0.17500000,7.5503764E-003,5.5611129E-003,2.9782454,2.9781032,4.7737441E-003,0.486133 µm.
0.17500000,7.5503764E-003,5.5611129E-003,2.9782454,2.9781032,4.7737441E-003,0.486133 µm.
0.18750000,7.9660121E-003,5.7093589E-003,3.1910008,3.1908264,5.4678144E-003,0.486133 µm.
0.18750000,7.9660121E-003,5.7093589E-003,3.1910008,3.1908264,5.4678144E-003,0.486133 µm.
0.20000000,8.4001801E-003,5.8652493E-003,3.4037610,3.4035498,6.2062367E-003,0.486133 µm.
0.20000000,8.4001801E-003,5.8652493E-003,3.4037610,3.4035498,6.2062367E-003,0.486133 µm.
0.21250000,8.8508256E-003,6.0282617E-003,3.6165263,3.6162736,6.9882986E-003,0.486133 µm.
0.21250000,8.8508256E-003,6.0282617E-003,3.6165263,3.6162736,6.9882986E-003,0.486133 µm.
0.22500000,9.3157480E-003,6.1978379E-003,3.8292968,3.8289977,7.8132384E-003,0.486133 µm.
0.22500000,9.3157480E-003,6.1978379E-003,3.8292968,3.8289977,7.8132384E-003,0.486133 µm.
0.23750000,9.7925977E-003,6.3733832E-003,4.0420730,4.0417221,8.6802446E-003,0.486133 µm.
0.23750000,9.7925977E-003,6.3733832E-003,4.0420730,4.0417221,8.6802446E-003,0.486133 µm.
0.25000000,0.010278874,6.5542667E-003,4.2548549,4.2544470,9.5884556E-003,0.486133 µm.
0.25000000,0.010278874,6.5542667E-003,4.2548549,4.2544470,9.5884556E-003,0.486133 µm.
0.26250000,0.010771922,6.7398200E-003,4.4676429,4.4671722,0.010536959,0.486133 µm.
0.26250000,0.010771922,6.7398200E-003,4.4676429,4.4671722,0.010536959,0.486133 µm.
0.27500000,0.011268928,6.9293371E-003,4.6804373,4.6798979,0.011524789,0.486133 µm.
0.27500000,0.011268928,6.9293371E-003,4.6804373,4.6798979,0.011524789,0.486133 µm.
0.28750000,0.011766920,7.1220742E-003,4.8932381,4.8926240,0.012550931,0.486133 µm.
0.28750000,0.011766920,7.1220742E-003,4.8932381,4.8926240,0.012550931,0.486133 µm.
0.30000000,0.012262759,7.3172483E-003,5.1060457,5.1053506,0.013614313,0.486133 µm.
0.30000000,0.012262759,7.3172483E-003,5.1060457,5.1053506,0.013614313,0.486133 µm.
0.31250000,0.012753138,7.5140376E-003,5.3188602,5.3180777,0.014713810,0.486133 µm.
0.31250000,0.012753138,7.5140376E-003,5.3188602,5.3180777,0.014713810,0.486133 µm.
0.32500000,0.013234579,7.7115801E-003,5.5316818,5.5308053,0.015848245,0.486133 µm.
0.32500000,0.013234579,7.7115801E-003,5.5316818,5.5308053,0.015848245,0.486133 µm.
0.33750000,0.013703428,7.9089736E-003,5.7445107,5.7435334,0.017016380,0.486133 µm.
0.33750000,0.013703428,7.9089736E-003,5.7445107,5.7435334,0.017016380,0.486133 µm.
0.35000000,0.014155849,8.1052744E-003,5.9573471,5.9562620,0.018216924,0.486133 µm.
0.35000000,0.014155849,8.1052744E-003,5.9573471,5.9562620,0.018216924,0.486133 µm.
0.36250000,0.014587822,8.2994971E-003,6.1701910,6.1689913,0.019448526,0.486133 µm.
