Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.024145561,0.024145561,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.024145561,0.024145561,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.091391010,0.024147084,0.024133327,0.20732162,0.20732157,2.2596685E-005,0.486133 µm.
0.091391010,0.024147084,0.024133327,0.20732162,0.20732157,2.2596685E-005,0.486133 µm.
0.18278202,0.024153412,0.024096634,0.41464480,0.41464420,1.4423043E-004,0.486133 µm.
0.18278202,0.024153412,0.024096634,0.41464480,0.41464420,1.4423043E-004,0.486133 µm.
0.27417303,0.024164559,0.024035515,0.62197109,0.62196894,3.4694576E-004,0.486133 µm.
0.27417303,0.024164559,0.024035515,0.62197109,0.62196894,3.4694576E-004,0.486133 µm.
0.36556404,0.024180545,0.023950022,0.82930207,0.82929684,6.3073131E-004,0.486133 µm.
0.36556404,0.024180545,0.023950022,0.82930207,0.82929684,6.3073131E-004,0.486133 µm.
0.45695505,0.024201402,0.023840230,1.0366393,1.0366290,9.9557121E-004,0.486133 µm.
0.45695505,0.024201402,0.023840230,1.0366393,1.0366290,9.9557121E-004,0.486133 µm.
0.54834606,0.024227171,0.023706233,1.2439843,1.2439664,1.4414395E-003,0.486133 µm.
0.54834606,0.024227171,0.023706233,1.2439843,1.2439664,1.4414395E-003,0.486133 µm.
0.63973707,0.024257899,0.023548147,1.4513387,1.4513101,1.9683226E-003,0.486133 µm.
0.63973707,0.024257899,0.023548147,1.4513387,1.4513101,1.9683226E-003,0.486133 µm.
0.73112808,0.024293643,0.023366110,1.6587039,1.6586612,2.5761857E-003,0.486133 µm.
0.73112808,0.024293643,0.023366110,1.6587039,1.6586612,2.5761857E-003,0.486133 µm.
0.82251909,0.024334468,0.023160281,1.8660817,1.8660208,3.2649953E-003,0.486133 µm.
0.82251909,0.024334468,0.023160281,1.8660817,1.8660208,3.2649953E-003,0.486133 µm.
0.91391010,0.024380444,0.022930838,2.0734735,2.0733898,4.0347137E-003,0.486133 µm.
0.91391010,0.024380444,0.022930838,2.0734735,2.0733898,4.0347137E-003,0.486133 µm.
1.0053011,0.024431649,0.022677982,2.2808808,2.2807694,4.8852988E-003,0.486133 µm.
1.0053011,0.024431649,0.022677982,2.2808808,2.2807694,4.8852988E-003,0.486133 µm.
1.0966921,0.024488166,0.022401934,2.4883054,2.4881606,5.8167047E-003,0.486133 µm.
1.0966921,0.024488166,0.022401934,2.4883054,2.4881606,5.8167047E-003,0.486133 µm.
1.1880831,0.024550083,0.022102936,2.6957486,2.6955645,6.8288814E-003,0.486133 µm.
1.1880831,0.024550083,0.022102936,2.6957486,2.6955645,6.8288814E-003,0.486133 µm.
1.2794741,0.024617493,0.021781253,2.9032121,2.9029821,7.9217748E-003,0.486133 µm.
1.2794741,0.024617493,0.021781253,2.9032121,2.9029821,7.9217748E-003,0.486133 µm.
1.3708652,0.024690490,0.021437167,3.1106974,3.1104145,9.0953274E-003,0.486133 µm.
1.3708652,0.024690490,0.021437167,3.1106974,3.1104145,9.0953274E-003,0.486133 µm.
1.4622562,0.024769171,0.021070984,3.3182061,3.3178627,0.010349478,0.486133 µm.
1.4622562,0.024769171,0.021070984,3.3182061,3.3178627,0.010349478,0.486133 µm.
1.5536472,0.024853634,0.020683029,3.5257397,3.5253278,0.011684161,0.486133 µm.
1.5536472,0.024853634,0.020683029,3.5257397,3.5253278,0.011684161,0.486133 µm.
1.6450382,0.024943975,0.020273649,3.7332999,3.7328109,0.013099309,0.486133 µm.
1.6450382,0.024943975,0.020273649,3.7332999,3.7328109,0.013099309,0.486133 µm.
1.7364292,0.025040292,0.019843211,3.9408881,3.9403130,0.014594851,0.486133 µm.
1.7364292,0.025040292,0.019843211,3.9408881,3.9403130,0.014594851,0.486133 µm.
1.8278202,0.025142675,0.019392103,4.1485059,4.1478351,0.016170711,0.486133 µm.
1.8278202,0.025142675,0.019392103,4.1485059,4.1478351,0.016170711,0.486133 µm.
1.9192112,0.025251212,0.018920733,4.3561548,4.3553784,0.017826814,0.486133 µm.
1.9192112,0.025251212,0.018920733,4.3561548,4.3553784,0.017826814,0.486133 µm.
2.0106022,0.025365986,0.018429529,4.5638365,4.5629438,0.019563078,0.486133 µm.
2.0106022,0.025365986,0.018429529,4.5638365,4.5629438,0.019563078,0.486133 µm.
2.1019932,0.025487069,0.017918942,4.7715525,4.7705326,0.021379422,0.486133 µm.
2.1019932,0.025487069,0.017918942,4.7715525,4.7705326,0.021379422,0.486133 µm.
2.1933842,0.025614525,0.017389439,4.9793043,4.9781456,0.023275761,0.486133 µm.
2.1933842,0.025614525,0.017389439,4.9793043,4.9781456,0.023275761,0.486133 µm.
2.2847753,0.025748407,0.016841512,5.1870935,5.1857840,0.025252008,0.486133 µm.
2.2847753,0.025748407,0.016841512,5.1870935,5.1857840,0.025252008,0.486133 µm.
2.3761663,0.025888754,0.016275670,5.3949216,5.3934488,0.027308076,0.486133 µm.
2.3761663,0.025888754,0.016275670,5.3949216,5.3934488,0.027308076,0.486133 µm.
2.4675573,0.026035590,0.015692443,5.6027903,5.6011411,0.029443874,0.486133 µm.
2.4675573,0.026035590,0.015692443,5.6027903,5.6011411,0.029443874,0.486133 µm.
2.5589483,0.026188919,0.015092381,5.8107010,5.8088619,0.031659311,0.486133 µm.
2.5589483,0.026188919,0.015092381,5.8107010,5.8088619,0.031659311,0.486133 µm.
2.6503393,0.026348729,0.014476054,6.0186553,6.0166124,0.033954295,0.486133 µm.
2.6503393,0.026348729,0.014476054,6.0186553,6.0166124,0.033954295,0.486133 µm.
2.7417303,0.026514982,0.013844052,6.2266548,6.2243936,0.036328733,0.486133 µm.
2.7417303,0.026514982,0.013844052,6.2266548,6.2243936,0.036328733,0.486133 µm.
2.8331213,0.026687618,0.013196984,6.4347010,6.4322065,0.038782533,0.486133 µm.
2.8331213,0.026687618,0.013196984,6.4347010,6.4322065,0.038782533,0.486133 µm.
2.9245123,0.026866547,0.012535480,6.6427956,6.6400522,0.041315601,0.486133 µm.
2.9245123,0.026866547,0.012535480,6.6427956,6.6400522,0.041315601,0.486133 µm.
3.0159033,0.027051653,0.011860188,6.8509399,6.8479318,0.043927843,0.486133 µm.
3.0159033,0.027051653,0.011860188,6.8509399,6.8479318,0.043927843,0.486133 µm.
3.1072943,0.027242782,0.011171776,7.0591357,7.0558463,0.046619169,0.486133 µm.
3.1072943,0.027242782,0.011171776,7.0591357,7.0558463,0.046619169,0.486133 µm.
3.1986854,0.027439749,0.010470931,7.2673844,7.2637969,0.049389486,0.486133 µm.
3.1986854,0.027439749,0.010470931,7.2673844,7.2637969,0.049389486,0.486133 µm.
3.2900764,0.027642327,9.7583585E-003,7.4756876,7.4717845,0.052238705,0.486133 µm.
3.2900764,0.027642327,9.7583585E-003,7.4756876,7.4717845,0.052238705,0.486133 µm.
3.3814674,0.027850248,9.0347850E-003,7.6840469,7.6798102,0.055166737,0.486133 µm.
3.3814674,0.027850248,9.0347850E-003,7.6840469,7.6798102,0.055166737,0.486133 µm.
3.4728584,0.028063198,8.3009538E-003,7.8924639,7.8878752,0.058173496,0.486133 µm.
3.4728584,0.028063198,8.3009538E-003,7.8924639,7.8878752,0.058173496,0.486133 µm.
3.5642494,0.028280817,7.5576277E-003,8.1009400,8.0959805,0.061258899,0.486133 µm.
3.5642494,0.028280817,7.5576277E-003,8.1009400,8.0959805,0.061258899,0.486133 µm.
3.6556404,0.028502690,6.8055878E-003,8.3094769,8.3041271,0.064422865,0.486133 µm.
3.6556404,0.028502690,6.8055878E-003,8.3094769,8.3041271,0.064422865,0.486133 µm.
3.7470314,0.028728345,6.0456335E-003,8.5180761,8.5123162,0.067665317,0.486133 µm.
3.7470314,0.028728345,6.0456335E-003,8.5180761,8.5123162,0.067665317,0.486133 µm.
3.8384224,0.028957253,5.2785829E-003,8.7267391,8.7205487,0.070986184,0.486133 µm.
3.8384224,0.028957253,5.2785829E-003,8.7267391,8.7205487,0.070986184,0.486133 µm.
3.9298134,0.029188819,4.5052712E-003,8.9354676,8.9288259,0.074385395,0.486133 µm.
3.9298134,0.029188819,4.5052712E-003,8.9354676,8.9288259,0.074385395,0.486133 µm.
4.0212044,0.029422382,3.7265521E-003,9.1442631,9.1371486,0.077862888,0.486133 µm.
4.0212044,0.029422382,3.7265521E-003,9.1442631,9.1371486,0.077862888,0.486133 µm.
4.1125955,0.029657205,2.9432969E-003,9.3531271,9.3455181,0.081418604,0.486133 µm.
4.1125955,0.029657205,2.9432969E-003,9.3531271,9.3455181,0.081418604,0.486133 µm.
4.2039865,0.029892478,2.1563938E-003,9.5620613,9.5539354,0.085052492,0.486133 µm.
4.2039865,0.029892478,2.1563938E-003,9.5620613,9.5539354,0.085052492,0.486133 µm.
4.2953775,0.030127307,1.3667488E-003,9.7710672,9.7624016,0.088764507,0.486133 µm.
4.2953775,0.030127307,1.3667488E-003,9.7710672,9.7624016,0.088764507,0.486133 µm.
4.3867685,0.030360712,5.7528464E-004,9.9801463,9.9709178,0.092554611,0.486133 µm.
4.3867685,0.030360712,5.7528464E-004,9.9801463,9.9709178,0.092554611,0.486133 µm.
