Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,8.0034799E-003,8.0034799E-003,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,8.0034799E-003,8.0034799E-003,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.89000000,8.0043543E-003,8.0039684E-003,0.023372791,0.023374694,-8.1422427E-003,0.486133 µm.
0.89000000,8.0043543E-003,8.0039684E-003,0.023372791,0.023374694,-8.1422427E-003,0.486133 µm.
1.7800000,8.0068746E-003,8.0054378E-003,0.046745442,0.046760673,-0.032571395,0.486133 µm.
1.7800000,8.0068746E-003,8.0054378E-003,0.046745442,0.046760673,-0.032571395,0.486133 µm.
2.6700000,8.0110621E-003,8.0078988E-003,0.070117814,0.070169242,-0.073290989,0.486133 µm.
2.6700000,8.0110621E-003,8.0078988E-003,0.070117814,0.070169242,-0.073290989,0.486133 µm.
3.5600000,8.0169524E-003,8.0113696E-003,0.093489769,0.093611753,-0.13030754,0.486133 µm.
3.5600000,8.0169524E-003,8.0113696E-003,0.093489769,0.093611753,-0.13030754,0.486133 µm.
4.4500000,8.0245959E-003,8.0158756E-003,0.11686117,0.11709962,-0.20363018,0.486133 µm.
4.4500000,8.0245959E-003,8.0158756E-003,0.11686117,0.11709962,-0.20363018,0.486133 µm.
5.3400000,8.0340570E-003,8.0214493E-003,0.14023188,0.14064435,-0.29327067,0.486133 µm.
5.3400000,8.0340570E-003,8.0214493E-003,0.14023188,0.14064435,-0.29327067,0.486133 µm.
6.2300000,8.0454145E-003,8.0281302E-003,0.16360176,0.16425755,-0.39924340,0.486133 µm.
6.2300000,8.0454145E-003,8.0281302E-003,0.16360176,0.16425755,-0.39924340,0.486133 µm.
7.1200000,8.0587614E-003,8.0359651E-003,0.18697069,0.18795098,-0.52156543,0.486133 µm.
7.1200000,8.0587614E-003,8.0359651E-003,0.18697069,0.18795098,-0.52156543,0.486133 µm.
8.0100000,8.0742047E-003,8.0450075E-003,0.21033854,0.21173654,-0.66025648,0.486133 µm.
8.0100000,8.0742047E-003,8.0450075E-003,0.21033854,0.21173654,-0.66025648,0.486133 µm.
8.9000000,8.0918656E-003,8.0553178E-003,0.23370516,0.23562632,-0.81533898,0.486133 µm.
8.9000000,8.0918656E-003,8.0553178E-003,0.23370516,0.23562632,-0.81533898,0.486133 µm.
9.7900000,8.1118788E-003,8.0669632E-003,0.25707046,0.25963261,-0.98683807,0.486133 µm.
9.7900000,8.1118788E-003,8.0669632E-003,0.25707046,0.25963261,-0.98683807,0.486133 µm.
10.680000,8.1343928E-003,8.0800175E-003,0.28043429,0.28376795,-1.1747816,0.486133 µm.
10.680000,8.1343928E-003,8.0800175E-003,0.28043429,0.28376795,-1.1747816,0.486133 µm.
11.570000,8.1595696E-003,8.0945608E-003,0.30379656,0.30804512,-1.3792004,0.486133 µm.
11.570000,8.1595696E-003,8.0945608E-003,0.30379656,0.30804512,-1.3792004,0.486133 µm.
12.460000,8.1875844E-003,8.1106798E-003,0.32715714,0.33247720,-1.6001277,0.486133 µm.
12.460000,8.1875844E-003,8.1106798E-003,0.32715714,0.33247720,-1.6001277,0.486133 µm.
13.350000,8.2186257E-003,8.1284671E-003,0.35051594,0.35707759,-1.8376000,0.486133 µm.
13.350000,8.2186257E-003,8.1284671E-003,0.35051594,0.35707759,-1.8376000,0.486133 µm.
14.240000,8.2528946E-003,8.1480213E-003,0.37387284,0.38186004,-2.0916565,0.486133 µm.
14.240000,8.2528946E-003,8.1480213E-003,0.37387284,0.38186004,-2.0916565,0.486133 µm.
15.130000,8.2906050E-003,8.1694469E-003,0.39722775,0.40683866,-2.3623394,0.486133 µm.
15.130000,8.2906050E-003,8.1694469E-003,0.39722775,0.40683866,-2.3623394,0.486133 µm.
16.020000,8.3319832E-003,8.1928538E-003,0.42058059,0.43202800,-2.6496937,0.486133 µm.
16.020000,8.3319832E-003,8.1928538E-003,0.42058059,0.43202800,-2.6496937,0.486133 µm.
16.910000,8.3772675E-003,8.2183574E-003,0.44393126,0.45744306,-2.9537677,0.486133 µm.
16.910000,8.3772675E-003,8.2183574E-003,0.44393126,0.45744306,-2.9537677,0.486133 µm.
17.800000,8.4267081E-003,8.2460780E-003,0.46727969,0.48309932,-3.2746126,0.486133 µm.
17.800000,8.4267081E-003,8.2460780E-003,0.46727969,0.48309932,-3.2746126,0.486133 µm.
18.690000,8.4805668E-003,8.2761410E-003,0.49062580,0.50901278,-3.6122827,0.486133 µm.
18.690000,8.4805668E-003,8.2761410E-003,0.49062580,0.50901278,-3.6122827,0.486133 µm.
19.580000,8.5391163E-003,8.3086763E-003,0.51396954,0.53520005,-3.9668358,0.486133 µm.
19.580000,8.5391163E-003,8.3086763E-003,0.51396954,0.53520005,-3.9668358,0.486133 µm.
20.470000,8.6026405E-003,8.3438180E-003,0.53731085,0.56167832,-4.3383326,0.486133 µm.
