Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.058119679,-0.058119679,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.058119679,-0.058119679,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.32118716,-0.058193700,-0.058222141,0.19592590,0.19592585,2.8882723E-005,0.486133 µm.
0.32118716,-0.058193700,-0.058222141,0.19592590,0.19592585,2.8882723E-005,0.486133 µm.
0.64237432,-0.058416197,-0.058529410,0.39186366,0.39186401,-8.9340430E-005,0.486133 µm.
0.64237432,-0.058416197,-0.058529410,0.39186366,0.39186401,-8.9340430E-005,0.486133 µm.
0.96356148,-0.058786901,-0.059041134,0.58782512,0.58782680,-2.8673876E-004,0.486133 µm.
0.96356148,-0.058786901,-0.059041134,0.58782512,0.58782680,-2.8673876E-004,0.486133 µm.
1.2847486,-0.059305366,-0.059756730,0.78382213,0.78382655,-5.6385235E-004,0.486133 µm.
1.2847486,-0.059305366,-0.059756730,0.78382213,0.78382655,-5.6385235E-004,0.486133 µm.
1.6059358,-0.059970970,-0.060675376,0.97986656,0.97987559,-9.2141875E-004,0.486133 µm.
1.6059358,-0.059970970,-0.060675376,0.97986656,0.97987559,-9.2141875E-004,0.486133 µm.
1.9271230,-0.060782912,-0.061796019,1.1759703,1.1759863,-1.3604519E-003,0.486133 µm.
1.9271230,-0.060782912,-0.061796019,1.1759703,1.1759863,-1.3604519E-003,0.486133 µm.
2.2483101,-0.061740215,-0.063117367,1.3721451,1.3721709,-1.8821267E-003,0.486133 µm.
2.2483101,-0.061740215,-0.063117367,1.3721451,1.3721709,-1.8821267E-003,0.486133 µm.
2.5694973,-0.062841723,-0.064637890,1.5684030,1.5684420,-2.4878581E-003,0.486133 µm.
2.5694973,-0.062841723,-0.064637890,1.5684030,1.5684420,-2.4878581E-003,0.486133 µm.
2.8906844,-0.064086098,-0.066355821,1.7647557,1.7648118,-3.1792835E-003,0.486133 µm.
2.8906844,-0.064086098,-0.066355821,1.7647557,1.7648118,-3.1792835E-003,0.486133 µm.
3.2118716,-0.065471824,-0.068269151,1.9612152,1.9612928,-3.9582649E-003,0.486133 µm.
3.2118716,-0.065471824,-0.068269151,1.9612152,1.9612928,-3.9582649E-003,0.486133 µm.
3.5330588,-0.066997201,-0.070375628,2.1577933,2.1578975,-4.8268913E-003,0.486133 µm.
3.5330588,-0.066997201,-0.070375628,2.1577933,2.1578975,-4.8268913E-003,0.486133 µm.
3.8542459,-0.068660345,-0.072672759,2.3545020,2.3546383,-5.7874811E-003,0.486133 µm.
3.8542459,-0.068660345,-0.072672759,2.3545020,2.3546383,-5.7874811E-003,0.486133 µm.
4.1754331,-0.070459188,-0.075157800,2.5513532,2.5515278,-6.8425852E-003,0.486133 µm.
4.1754331,-0.070459188,-0.075157800,2.5513532,2.5515278,-6.8425852E-003,0.486133 µm.
4.4966202,-0.072391474,-0.077827762,2.7483588,2.7485785,-7.9949902E-003,0.486133 µm.
4.4966202,-0.072391474,-0.077827762,2.7483588,2.7485785,-7.9949902E-003,0.486133 µm.
4.8178074,-0.074454758,-0.080679400,2.9455306,2.9458030,-9.2477216E-003,0.486133 µm.
4.8178074,-0.074454758,-0.080679400,2.9455306,2.9458030,-9.2477216E-003,0.486133 µm.
5.1389946,-0.076646404,-0.083709219,3.1428807,3.1432140,-0.010604048,0.486133 µm.
5.1389946,-0.076646404,-0.083709219,3.1428807,3.1432140,-0.010604048,0.486133 µm.
5.4601817,-0.078963582,-0.086913462,3.3404210,3.3408241,-0.012067484,0.486133 µm.
5.4601817,-0.078963582,-0.086913462,3.3404210,3.3408241,-0.012067484,0.486133 µm.
5.7813689,-0.081403266,-0.090288112,3.5381634,3.5386462,-0.013641798,0.486133 µm.
5.7813689,-0.081403266,-0.090288112,3.5381634,3.5386462,-0.013641798,0.486133 µm.
6.1025560,-0.083962231,-0.093828889,3.7361200,3.7366929,-0.015331010,0.486133 µm.
6.1025560,-0.083962231,-0.093828889,3.7361200,3.7366929,-0.015331010,0.486133 µm.
6.4237432,-0.086637054,-0.097531241,3.9343027,3.9349771,-0.017139404,0.486133 µm.
6.4237432,-0.086637054,-0.097531241,3.9343027,3.9349771,-0.017139404,0.486133 µm.
6.7449304,-0.089424104,-0.10139035,4.1327235,4.1335118,-0.019071528,0.486133 µm.
6.7449304,-0.089424104,-0.10139035,4.1327235,4.1335118,-0.019071528,0.486133 µm.
7.0661175,-0.092319544,-0.10540110,4.3313945,4.3323100,-0.021132203,0.486133 µm.
7.0661175,-0.092319544,-0.10540110,4.3313945,4.3323100,-0.021132203,0.486133 µm.
7.3873047,-0.095319327,-0.10955812,4.5303276,4.5313846,-0.023326527,0.486133 µm.
7.3873047,-0.095319327,-0.10955812,4.5303276,4.5313846,-0.023326527,0.486133 µm.
7.7084918,-0.098419192,-0.11385574,4.7295349,4.7307488,-0.025659877,0.486133 µm.
7.7084918,-0.098419192,-0.11385574,4.7295349,4.7307488,-0.025659877,0.486133 µm.
8.0296790,-0.10161466,-0.11828800,4.9290284,4.9304157,-0.028137926,0.486133 µm.
8.0296790,-0.10161466,-0.11828800,4.9290284,4.9304157,-0.028137926,0.486133 µm.
8.3508662,-0.10490104,-0.12284863,5.1288203,5.1303987,-0.030766637,0.486133 µm.
8.3508662,-0.10490104,-0.12284863,5.1288203,5.1303987,-0.030766637,0.486133 µm.
8.6720533,-0.10827340,-0.12753108,5.3289226,5.3307112,-0.033552278,0.486133 µm.
8.6720533,-0.10827340,-0.12753108,5.3289226,5.3307112,-0.033552278,0.486133 µm.
8.9932405,-0.11172658,-0.13232846,5.5293474,5.5313664,-0.036501429,0.486133 µm.
8.9932405,-0.11172658,-0.13232846,5.5293474,5.5313664,-0.036501429,0.486133 µm.
9.3144276,-0.11525522,-0.13723360,5.7301068,5.7323780,-0.039620984,0.486133 µm.
9.3144276,-0.11525522,-0.13723360,5.7301068,5.7323780,-0.039620984,0.486133 µm.
9.6356148,-0.11885368,-0.14223897,5.9312129,5.9337596,-0.042918163,0.486133 µm.
9.6356148,-0.11885368,-0.14223897,5.9312129,5.9337596,-0.042918163,0.486133 µm.
9.9568020,-0.12251610,-0.14733674,6.1326780,6.1355249,-0.046400521,0.486133 µm.
9.9568020,-0.12251610,-0.14733674,6.1326780,6.1355249,-0.046400521,0.486133 µm.
10.277989,-0.12623638,-0.15251874,6.3345140,6.3376877,-0.050075950,0.486133 µm.
10.277989,-0.12623638,-0.15251874,6.3345140,6.3376877,-0.050075950,0.486133 µm.
10.599176,-0.13000816,-0.15777643,6.5367332,6.5402619,-0.053952695,0.486133 µm.
10.599176,-0.13000816,-0.15777643,6.5367332,6.5402619,-0.053952695,0.486133 µm.
10.920363,-0.13382484,-0.16310095,6.7393478,6.7432615,-0.058039357,0.486133 µm.
10.920363,-0.13382484,-0.16310095,6.7393478,6.7432615,-0.058039357,0.486133 µm.
11.241551,-0.13767953,-0.16848306,6.9423699,6.9467008,-0.062344905,0.486133 µm.
11.241551,-0.13767953,-0.16848306,6.9423699,6.9467008,-0.062344905,0.486133 µm.
11.562738,-0.14156512,-0.17391316,7.1458117,7.1505939,-0.066878684,0.486133 µm.
11.562738,-0.14156512,-0.17391316,7.1458117,7.1505939,-0.066878684,0.486133 µm.
11.883925,-0.14547420,-0.17938128,7.3496854,7.3549552,-0.071650424,0.486133 µm.
11.883925,-0.14547420,-0.17938128,7.3496854,7.3549552,-0.071650424,0.486133 µm.
12.205112,-0.14939911,-0.18487703,7.5540032,7.5597993,-0.076670248,0.486133 µm.
12.205112,-0.14939911,-0.18487703,7.5540032,7.5597993,-0.076670248,0.486133 µm.
12.526299,-0.15333190,-0.19038967,7.7587773,7.7651408,-0.081948686,0.486133 µm.
12.526299,-0.15333190,-0.19038967,7.7587773,7.7651408,-0.081948686,0.486133 µm.
12.847486,-0.15726435,-0.19590803,7.9640200,7.9709943,-0.087496679,0.486133 µm.
12.847486,-0.15726435,-0.19590803,7.9640200,7.9709943,-0.087496679,0.486133 µm.
13.168674,-0.16118794,-0.20142051,8.1697434,8.1773750,-0.093325593,0.486133 µm.
13.168674,-0.16118794,-0.20142051,8.1697434,8.1773750,-0.093325593,0.486133 µm.
13.489861,-0.16509390,-0.20691511,8.3759597,8.3842977,-0.099447226,0.486133 µm.
13.489861,-0.16509390,-0.20691511,8.3759597,8.3842977,-0.099447226,0.486133 µm.
13.811048,-0.16897312,-0.21237938,8.5826812,8.5917777,-0.10587382,0.486133 µm.
13.811048,-0.16897312,-0.21237938,8.5826812,8.5917777,-0.10587382,0.486133 µm.
14.132235,-0.17281623,-0.21780043,8.7899201,8.7998303,-0.11261807,0.486133 µm.
14.132235,-0.17281623,-0.21780043,8.7899201,8.7998303,-0.11261807,0.486133 µm.
14.453422,-0.17661356,-0.22316489,8.9976886,9.0084711,-0.11969314,0.486133 µm.
14.453422,-0.17661356,-0.22316489,8.9976886,9.0084711,-0.11969314,0.486133 µm.
14.774609,-0.18035513,-0.22845895,9.2059988,9.2177157,-0.12711265,0.486133 µm.
14.774609,-0.18035513,-0.22845895,9.2059988,9.2177157,-0.12711265,0.486133 µm.
15.095797,-0.18403068,-0.23366829,9.4148630,9.4275799,-0.13489071,0.486133 µm.
15.095797,-0.18403068,-0.23366829,9.4148630,9.4275799,-0.13489071,0.486133 µm.
15.416984,-0.18762964,-0.23877810,9.6242933,9.6380798,-0.14304192,0.486133 µm.
15.416984,-0.18762964,-0.23877810,9.6242933,9.6380798,-0.14304192,0.486133 µm.
15.738171,-0.19114114,-0.24377308,9.8343018,9.8492314,-0.15158138,0.486133 µm.
15.738171,-0.19114114,-0.24377308,9.8343018,9.8492314,-0.15158138,0.486133 µm.
16.059358,-0.19455401,-0.24863740,10.044901,10.061051,-0.16052471,0.486133 µm.
16.059358,-0.19455401,-0.24863740,10.044901,10.061051,-0.16052471,0.486133 µm.
16.380545,-0.19785681,-0.25335468,10.256102,10.273556,-0.16988803,0.486133 µm.
16.380545,-0.19785681,-0.25335468,10.256102,10.273556,-0.16988803,0.486133 µm.
16.701732,-0.20103778,-0.25790802,10.467919,10.486762,-0.17968797,0.486133 µm.
16.701732,-0.20103778,-0.25790802,10.467919,10.486762,-0.17968797,0.486133 µm.
17.022919,-0.20408491,-0.26227995,10.680362,10.700687,-0.18994171,0.486133 µm.
17.022919,-0.20408491,-0.26227995,10.680362,10.700687,-0.18994171,0.486133 µm.
17.344107,-0.20698588,-0.26645243,10.893443,10.915347,-0.20066697,0.486133 µm.
17.344107,-0.20698588,-0.26645243,10.893443,10.915347,-0.20066697,0.486133 µm.
17.665294,-0.20972814,-0.27040684,11.107176,11.130760,-0.21188198,0.486133 µm.
17.665294,-0.20972814,-0.27040684,11.107176,11.130760,-0.21188198,0.486133 µm.
17.986481,-0.21229888,-0.27412395,11.321571,11.346944,-0.22360556,0.486133 µm.
17.986481,-0.21229888,-0.27412395,11.321571,11.346944,-0.22360556,0.486133 µm.
18.307668,-0.21468505,-0.27758394,11.536641,11.563916,-0.23585702,0.486133 µm.
18.307668,-0.21468505,-0.27758394,11.536641,11.563916,-0.23585702,0.486133 µm.
18.628855,-0.21687340,-0.28076635,11.752398,11.781694,-0.24865625,0.486133 µm.
18.628855,-0.21687340,-0.28076635,11.752398,11.781694,-0.24865625,0.486133 µm.
18.950042,-0.21885049,-0.28365011,11.968853,12.000297,-0.26202369,0.486133 µm.
18.950042,-0.21885049,-0.28365011,11.968853,12.000297,-0.26202369,0.486133 µm.
19.271230,-0.22060271,-0.28621349,12.186019,12.219743,-0.27598031,0.486133 µm.
19.271230,-0.22060271,-0.28621349,12.186019,12.219743,-0.27598031,0.486133 µm.
19.592417,-0.22211634,-0.28843411,12.403907,12.440051,-0.29054760,0.486133 µm.
19.592417,-0.22211634,-0.28843411,12.403907,12.440051,-0.29054760,0.486133 µm.
19.913604,-0.22337757,-0.29028894,12.622529,12.661240,-0.30574760,0.486133 µm.
19.913604,-0.22337757,-0.29028894,12.622529,12.661240,-0.30574760,0.486133 µm.
20.234791,-0.22437256,-0.29175425,12.841896,12.883329,-0.32160288,0.486133 µm.
20.234791,-0.22437256,-0.29175425,12.841896,12.883329,-0.32160288,0.486133 µm.
20.555978,-0.22508748,-0.29280568,13.062021,13.106338,-0.33813648,0.486133 µm.
20.555978,-0.22508748,-0.29280568,13.062021,13.106338,-0.33813648,0.486133 µm.
20.877165,-0.22550859,-0.29341814,13.282914,13.330287,-0.35537197,0.486133 µm.
20.877165,-0.22550859,-0.29341814,13.282914,13.330287,-0.35537197,0.486133 µm.
21.198353,-0.22562230,-0.29356590,13.504589,13.555195,-0.37333337,0.486133 µm.
21.198353,-0.22562230,-0.29356590,13.504589,13.555195,-0.37333337,0.486133 µm.
21.519540,-0.22541527,-0.29322252,13.727055,13.781083,-0.39204512,0.486133 µm.
21.519540,-0.22541527,-0.29322252,13.727055,13.781083,-0.39204512,0.486133 µm.
21.840727,-0.22487449,-0.29236090,13.950325,14.007972,-0.41153213,0.486133 µm.
21.840727,-0.22487449,-0.29236090,13.950325,14.007972,-0.41153213,0.486133 µm.
22.161914,-0.22398744,-0.29095325,14.174410,14.235883,-0.43181963,0.486133 µm.
22.161914,-0.22398744,-0.29095325,14.174410,14.235883,-0.43181963,0.486133 µm.
22.483101,-0.22274215,-0.28897114,14.399321,14.464837,-0.45293323,0.486133 µm.
22.483101,-0.22274215,-0.28897114,14.399321,14.464837,-0.45293323,0.486133 µm.
22.804288,-0.22112742,-0.28638548,14.625071,14.694856,-0.47489882,0.486133 µm.
22.804288,-0.22112742,-0.28638548,14.625071,14.694856,-0.47489882,0.486133 µm.
23.125476,-0.21913293,-0.28316657,14.851669,14.925962,-0.49774253,0.486133 µm.
23.125476,-0.21913293,-0.28316657,14.851669,14.925962,-0.49774253,0.486133 µm.
23.446663,-0.21674952,-0.27928410,15.079129,15.158177,-0.52149068,0.486133 µm.
23.446663,-0.21674952,-0.27928410,15.079129,15.158177,-0.52149068,0.486133 µm.
23.767850,-0.21396933,-0.27470722,15.307460,15.391524,-0.54616967,0.486133 µm.
23.767850,-0.21396933,-0.27470722,15.307460,15.391524,-0.54616967,0.486133 µm.
24.089037,-0.21078612,-0.26940457,15.536676,15.626026,-0.57180596,0.486133 µm.
24.089037,-0.21078612,-0.26940457,15.536676,15.626026,-0.57180596,0.486133 µm.
24.410224,-0.20719556,-0.26334430,15.766786,15.861707,-0.59842595,0.486133 µm.
24.410224,-0.20719556,-0.26334430,15.766786,15.861707,-0.59842595,0.486133 µm.
24.731411,-0.20319555,-0.25649421,15.997803,16.098589,-0.62605588,0.486133 µm.
24.731411,-0.20319555,-0.25649421,15.997803,16.098589,-0.62605588,0.486133 µm.
25.052598,-0.19878664,-0.24882177,16.229739,16.336699,-0.65472171,0.486133 µm.
25.052598,-0.19878664,-0.24882177,16.229739,16.336699,-0.65472171,0.486133 µm.
25.373786,-0.19397247,-0.24029424,16.462604,16.576059,-0.68444905,0.486133 µm.
25.373786,-0.19397247,-0.24029424,16.462604,16.576059,-0.68444905,0.486133 µm.
25.694973,-0.18876027,-0.23087879,16.696412,16.816695,-0.71526294,0.486133 µm.
25.694973,-0.18876027,-0.23087879,16.696412,16.816695,-0.71526294,0.486133 µm.
26.016160,-0.18316147,-0.22054262,16.931173,17.058633,-0.74718778,0.486133 µm.
26.016160,-0.18316147,-0.22054262,16.931173,17.058633,-0.74718778,0.486133 µm.
26.337347,-0.17719238,-0.20925314,17.166901,17.301899,-0.78024711,0.486133 µm.
26.337347,-0.17719238,-0.20925314,17.166901,17.301899,-0.78024711,0.486133 µm.
26.658534,-0.17087494,-0.19697815,17.403609,17.546519,-0.81446346,0.486133 µm.
26.658534,-0.17087494,-0.19697815,17.403609,17.546519,-0.81446346,0.486133 µm.
26.979721,-0.16423762,-0.18368604,17.641308,17.792519,-0.84985814,0.486133 µm.
26.979721,-0.16423762,-0.18368604,17.641308,17.792519,-0.84985814,0.486133 µm.
27.300909,-0.15731645,-0.16934609,17.880012,18.039927,-0.88645101,0.486133 µm.
27.300909,-0.15731645,-0.16934609,17.880012,18.039927,-0.88645101,0.486133 µm.
27.622096,-0.15015620,-0.15392875,18.119736,18.288772,-0.92426026,0.486133 µm.
27.622096,-0.15015620,-0.15392875,18.119736,18.288772,-0.92426026,0.486133 µm.
27.943283,-0.14281169,-0.13740599,18.360493,18.539080,-0.96330213,0.486133 µm.
27.943283,-0.14281169,-0.13740599,18.360493,18.539080,-0.96330213,0.486133 µm.
28.264470,-0.13534938,-0.11975170,18.602298,18.790882,-1.0035907,0.486133 µm.
28.264470,-0.13534938,-0.11975170,18.602298,18.790882,-1.0035907,0.486133 µm.
28.585657,-0.12784913,-0.10094219,18.845168,19.044206,-1.0451375,0.486133 µm.
28.585657,-0.12784913,-0.10094219,18.845168,19.044206,-1.0451375,0.486133 µm.
28.906844,-0.12040630,-0.080956746,19.089118,19.299083,-1.0879512,0.486133 µm.
28.906844,-0.12040630,-0.080956746,19.089118,19.299083,-1.0879512,0.486133 µm.
