Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-1.3094363,-1.3094363,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-1.3094363,-1.3094363,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.24000000,-1.3095741,-1.3095069,0.21004826,0.21004756,3.3723525E-004,0.486133 µm.
0.24000000,-1.3095741,-1.3095069,0.21004826,0.21004756,3.3723525E-004,0.486133 µm.
0.48000000,-1.3099601,-1.3097186,0.42010490,0.42010248,5.7425236E-004,0.486133 µm.
0.48000000,-1.3099601,-1.3097186,0.42010490,0.42010248,5.7425236E-004,0.486133 µm.
0.72000000,-1.3105943,-1.3100714,0.63017826,0.63017215,9.6935966E-004,0.486133 µm.
0.72000000,-1.3105943,-1.3100714,0.63017826,0.63017215,9.6935966E-004,0.486133 µm.
0.96000000,-1.3114766,-1.3105649,0.84027674,0.84026394,1.5226754E-003,0.486133 µm.
0.96000000,-1.3114766,-1.3105649,0.84027674,0.84026394,1.5226754E-003,0.486133 µm.
1.2000000,-1.3126071,-1.3111986,1.0504087,1.0503852,2.2345290E-003,0.486133 µm.
1.2000000,-1.3126071,-1.3111986,1.0504087,1.0503852,2.2345290E-003,0.486133 µm.
1.4400000,-1.3139855,-1.3119720,1.2605825,1.2605434,3.1048061E-003,0.486133 µm.
1.4400000,-1.3139855,-1.3119720,1.2605825,1.2605434,3.1048061E-003,0.486133 µm.
1.6800000,-1.3156120,-1.3128844,1.4708066,1.4707458,4.1339313E-003,0.486133 µm.
1.6800000,-1.3156120,-1.3128844,1.4708066,1.4707458,4.1339313E-003,0.486133 µm.
1.9200000,-1.3174864,-1.3139351,1.6810894,1.6809999,5.3222131E-003,0.486133 µm.
1.9200000,-1.3174864,-1.3139351,1.6810894,1.6809999,5.3222131E-003,0.486133 µm.
2.1600000,-1.3196086,-1.3151231,1.8914392,1.8913130,6.6700082E-003,0.486133 µm.
2.1600000,-1.3196086,-1.3151231,1.8914392,1.8913130,6.6700082E-003,0.486133 µm.
2.4000000,-1.3219787,-1.3164475,2.1018645,2.1016926,8.1777216E-003,0.486133 µm.
2.4000000,-1.3219787,-1.3164475,2.1018645,2.1016926,8.1777216E-003,0.486133 µm.
2.6400000,-1.3245964,-1.3179069,2.3123738,2.3121461,9.8458067E-003,0.486133 µm.
2.6400000,-1.3245964,-1.3179069,2.3123738,2.3121461,9.8458067E-003,0.486133 µm.
2.8800000,-1.3274616,-1.3195002,2.5229754,2.5226809,0.011674766,0.486133 µm.
2.8800000,-1.3274616,-1.3195002,2.5229754,2.5226809,0.011674766,0.486133 µm.
3.1200000,-1.3305744,-1.3212259,2.7336780,2.7333045,0.013665150,0.486133 µm.
3.1200000,-1.3305744,-1.3212259,2.7336780,2.7333045,0.013665150,0.486133 µm.
3.3600000,-1.3339345,-1.3230824,2.9444899,2.9440242,0.015817560,0.486133 µm.
3.3600000,-1.3339345,-1.3230824,2.9444899,2.9440242,0.015817560,0.486133 µm.
3.6000000,-1.3375419,-1.3250682,3.1554197,3.1548476,0.018132647,0.486133 µm.
3.6000000,-1.3375419,-1.3250682,3.1554197,3.1548476,0.018132647,0.486133 µm.
3.8400000,-1.3413964,-1.3271814,3.3664759,3.3657822,0.020611112,0.486133 µm.
3.8400000,-1.3413964,-1.3271814,3.3664759,3.3657822,0.020611112,0.486133 µm.
4.0800000,-1.3454979,-1.3294201,3.5776671,3.5768354,0.023253706,0.486133 µm.
4.0800000,-1.3454979,-1.3294201,3.5776671,3.5768354,0.023253706,0.486133 µm.
4.3200000,-1.3498463,-1.3317823,3.7890020,3.7880148,0.026061234,0.486133 µm.
4.3200000,-1.3498463,-1.3317823,3.7890020,3.7880148,0.026061234,0.486133 µm.
4.5600000,-1.3544414,-1.3342657,4.0004890,3.9993278,0.029034549,0.486133 µm.
4.5600000,-1.3544414,-1.3342657,4.0004890,3.9993278,0.029034549,0.486133 µm.
4.8000000,-1.3592832,-1.3368680,4.2121369,4.2107821,0.032174560,0.486133 µm.
4.8000000,-1.3592832,-1.3368680,4.2121369,4.2107821,0.032174560,0.486133 µm.
5.0400000,-1.3643716,-1.3395868,4.4239544,4.4223852,0.035482226,0.486133 µm.
5.0400000,-1.3643716,-1.3395868,4.4239544,4.4223852,0.035482226,0.486133 µm.
5.2800000,-1.3697063,-1.3424195,4.6359501,4.6341447,0.038958562,0.486133 µm.
5.2800000,-1.3697063,-1.3424195,4.6359501,4.6341447,0.038958562,0.486133 µm.
5.5200000,-1.3752873,-1.3453634,4.8481329,4.8460683,0.042604636,0.486133 µm.
5.5200000,-1.3752873,-1.3453634,4.8481329,4.8460683,0.042604636,0.486133 µm.
5.7600000,-1.3811146,-1.3484156,5.0605115,5.0581634,0.046421570,0.486133 µm.
5.7600000,-1.3811146,-1.3484156,5.0605115,5.0581634,0.046421570,0.486133 µm.
6.0000000,-1.3871879,-1.3515730,5.2730948,5.2704379,0.050410545,0.486133 µm.
6.0000000,-1.3871879,-1.3515730,5.2730948,5.2704379,0.050410545,0.486133 µm.
6.2400000,-1.3935072,-1.3548327,5.4858915,5.4828994,0.054572796,0.486133 µm.
6.2400000,-1.3935072,-1.3548327,5.4858915,5.4828994,0.054572796,0.486133 µm.
6.4800000,-1.4000725,-1.3581912,5.6989108,5.6955555,0.058909616,0.486133 µm.
6.4800000,-1.4000725,-1.3581912,5.6989108,5.6955555,0.058909616,0.486133 µm.
6.7200000,-1.4068837,-1.3616451,5.9121614,5.9084142,0.063422357,0.486133 µm.
6.7200000,-1.4068837,-1.3616451,5.9121614,5.9084142,0.063422357,0.486133 µm.
6.9600000,-1.4139408,-1.3651909,6.1256525,6.1214830,0.068112430,0.486133 µm.
6.9600000,-1.4139408,-1.3651909,6.1256525,6.1214830,0.068112430,0.486133 µm.
7.2000000,-1.4212437,-1.3688248,6.3393931,6.3347699,0.072981305,0.486133 µm.
7.2000000,-1.4212437,-1.3688248,6.3393931,6.3347699,0.072981305,0.486133 µm.
7.4400000,-1.4287925,-1.3725430,6.5533923,6.5482826,0.078030516,0.486133 µm.
7.4400000,-1.4287925,-1.3725430,6.5533923,6.5482826,0.078030516,0.486133 µm.
7.6800000,-1.4365871,-1.3763414,6.7676592,6.7620290,0.083261656,0.486133 µm.
7.6800000,-1.4365871,-1.3763414,6.7676592,6.7620290,0.083261656,0.486133 µm.
7.9200000,-1.4446276,-1.3802158,6.9822031,6.9760171,0.088676384,0.486133 µm.
7.9200000,-1.4446276,-1.3802158,6.9822031,6.9760171,0.088676384,0.486133 µm.
8.1600000,-1.4529142,-1.3841619,7.1970334,7.1902546,0.094276424,0.486133 µm.
8.1600000,-1.4529142,-1.3841619,7.1970334,7.1902546,0.094276424,0.486133 µm.
8.4000000,-1.4614469,-1.3881751,7.4121592,7.4047497,0.10006356,0.486133 µm.
8.4000000,-1.4614469,-1.3881751,7.4121592,7.4047497,0.10006356,0.486133 µm.
8.6400000,-1.4702259,-1.3922508,7.6275900,7.6195103,0.10603966,0.486133 µm.
8.6400000,-1.4702259,-1.3922508,7.6275900,7.6195103,0.10603966,0.486133 µm.
8.8800000,-1.4792513,-1.3963841,7.8433354,7.8345445,0.11220663,0.486133 µm.
8.8800000,-1.4792513,-1.3963841,7.8433354,7.8345445,0.11220663,0.486133 µm.
9.1200000,-1.4885235,-1.4005700,8.0594047,8.0498603,0.11856649,0.486133 µm.
9.1200000,-1.4885235,-1.4005700,8.0594047,8.0498603,0.11856649,0.486133 µm.
