Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.38453167,0.38453167,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.38453167,0.38453167,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.025070189,0.38452005,0.38452580,0.21474751,0.21474775,-1.1376213E-004,0.486133 µm.
0.025070189,0.38452005,0.38452580,0.21474751,0.21474775,-1.1376213E-004,0.486133 µm.
0.050140379,0.38447665,0.38450820,0.42949587,0.42949558,6.8087126E-005,0.486133 µm.
0.050140379,0.38447665,0.38450820,0.42949587,0.42949558,6.8087126E-005,0.486133 µm.
0.075210568,0.38440149,0.38447888,0.64424597,0.64424358,3.7116045E-004,0.486133 µm.
0.075210568,0.38440149,0.38447888,0.64424597,0.64424358,3.7116045E-004,0.486133 µm.
0.10028076,0.38429459,0.38443784,0.85899866,0.85899182,7.9544466E-004,0.486133 µm.
0.10028076,0.38429459,0.38443784,0.85899866,0.85899182,7.9544466E-004,0.486133 µm.
0.12535095,0.38415601,0.38438512,1.0737548,1.0737404,1.3409213E-003,0.486133 µm.
0.12535095,0.38415601,0.38438512,1.0737548,1.0737404,1.3409213E-003,0.486133 µm.
0.15042114,0.38398580,0.38432073,1.2885152,1.2884894,2.0075298E-003,0.486133 µm.
0.15042114,0.38398580,0.38432073,1.2885152,1.2884894,2.0075298E-003,0.486133 µm.
0.17549133,0.38378405,0.38424471,1.5032809,1.5032389,2.7953149E-003,0.486133 µm.
0.17549133,0.38378405,0.38424471,1.5032809,1.5032389,2.7953149E-003,0.486133 µm.
0.20056152,0.38355083,0.38415710,1.7180525,1.7179889,3.7042052E-003,0.486133 µm.
0.20056152,0.38355083,0.38415710,1.7180525,1.7179889,3.7042052E-003,0.486133 µm.
0.22563171,0.38328625,0.38405794,1.9328311,1.9327396,4.7341611E-003,0.486133 µm.
0.22563171,0.38328625,0.38405794,1.9328311,1.9327396,4.7341611E-003,0.486133 µm.
0.25070189,0.38299043,0.38394729,2.1476175,2.1474911,5.8851374E-003,0.486133 µm.
0.25070189,0.38299043,0.38394729,2.1476175,2.1474911,5.8851374E-003,0.486133 µm.
0.27577208,0.38266350,0.38382519,2.3624124,2.3622433,7.1570835E-003,0.486133 µm.
0.27577208,0.38266350,0.38382519,2.3624124,2.3622433,7.1570835E-003,0.486133 µm.
0.30084227,0.38230560,0.38369171,2.5772169,2.5769965,8.5499436E-003,0.486133 µm.
0.30084227,0.38230560,0.38369171,2.5772169,2.5769965,8.5499436E-003,0.486133 µm.
0.32591246,0.38191689,0.38354692,2.7920316,2.7917507,0.010063656,0.486133 µm.
0.32591246,0.38191689,0.38354692,2.7920316,2.7917507,0.010063656,0.486133 µm.
0.35098265,0.38149754,0.38339090,3.0068576,3.0065059,0.011698154,0.486133 µm.
0.35098265,0.38149754,0.38339090,3.0068576,3.0065059,0.011698154,0.486133 µm.
0.37605284,0.38104776,0.38322372,3.2216957,3.2212623,0.013453365,0.486133 µm.
0.37605284,0.38104776,0.38322372,3.2216957,3.2212623,0.013453365,0.486133 µm.
0.40112303,0.38056773,0.38304548,3.4365466,3.4360199,0.015329211,0.486133 µm.
0.40112303,0.38056773,0.38304548,3.4365466,3.4360199,0.015329211,0.486133 µm.
0.42619322,0.38005769,0.38285626,3.6514114,3.6507789,0.017325607,0.486133 µm.
0.42619322,0.38005769,0.38285626,3.6514114,3.6507789,0.017325607,0.486133 µm.
0.45126341,0.37951787,0.38265616,3.8662907,3.8655392,0.019442465,0.486133 µm.
0.45126341,0.37951787,0.38265616,3.8662907,3.8655392,0.019442465,0.486133 µm.
0.47633360,0.37894852,0.38244530,4.0811856,4.0803010,0.021679688,0.486133 µm.
0.47633360,0.37894852,0.38244530,4.0811856,4.0803010,0.021679688,0.486133 µm.
0.50140379,0.37834992,0.38222378,4.2960968,4.2950644,0.024037176,0.486133 µm.
0.50140379,0.37834992,0.38222378,4.2960968,4.2950644,0.024037176,0.486133 µm.
0.52647398,0.37772234,0.38199172,4.5110252,4.5098294,0.026514822,0.486133 µm.
0.52647398,0.37772234,0.38199172,4.5110252,4.5098294,0.026514822,0.486133 µm.
0.55154417,0.37706610,0.38174926,4.7259716,4.7245961,0.029112511,0.486133 µm.
0.55154417,0.37706610,0.38174926,4.7259716,4.7245961,0.029112511,0.486133 µm.
0.57661436,0.37638151,0.38149651,4.9409369,4.9393647,0.031830126,0.486133 µm.
0.57661436,0.37638151,0.38149651,4.9409369,4.9393647,0.031830126,0.486133 µm.
0.60168455,0.37566892,0.38123364,5.1559219,5.1541351,0.034667539,0.486133 µm.
0.60168455,0.37566892,0.38123364,5.1559219,5.1541351,0.034667539,0.486133 µm.
0.62675474,0.37492868,0.38096077,5.3709276,5.3689076,0.037624621,0.486133 µm.
