Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.020576386,0.020576386,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.020576386,0.020576386,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.21000000,0.020584196,0.020557379,0.091780791,0.091780796,-4.6600526E-006,0.486133 µm.
0.21000000,0.020584196,0.020557379,0.091780791,0.091780796,-4.6600526E-006,0.486133 µm.
0.42000000,0.020604977,0.020500382,0.18356423,0.18356406,9.5944073E-005,0.486133 µm.
0.42000000,0.020604977,0.020500382,0.18356423,0.18356406,9.5944073E-005,0.486133 µm.
0.63000000,0.020638617,0.020405462,0.27535298,0.27535225,2.6346248E-004,0.486133 µm.
0.63000000,0.020638617,0.020405462,0.27535298,0.27535225,2.6346248E-004,0.486133 µm.
0.84000000,0.020684926,0.020272730,0.36714967,0.36714784,4.9766230E-004,0.486133 µm.
0.84000000,0.020684926,0.020272730,0.36714967,0.36714784,4.9766230E-004,0.486133 µm.
1.0500000,0.020743637,0.020102344,0.45895697,0.45895330,7.9820696E-004,0.486133 µm.
1.0500000,0.020743637,0.020102344,0.45895697,0.45895330,7.9820696E-004,0.486133 µm.
1.2600000,0.020814407,0.019894506,0.55077751,0.55077110,1.1646964E-003,0.486133 µm.
1.2600000,0.020814407,0.019894506,0.55077751,0.55077110,1.1646964E-003,0.486133 µm.
1.4700000,0.020896812,0.019649462,0.64261396,0.64260370,1.5966059E-003,0.486133 µm.
1.4700000,0.020896812,0.019649462,0.64261396,0.64260370,1.5966059E-003,0.486133 µm.
1.6800000,0.020990349,0.019367505,0.73446895,0.73445357,2.0933257E-003,0.486133 µm.
1.6800000,0.020990349,0.019367505,0.73446895,0.73445357,2.0933257E-003,0.486133 µm.
1.8900000,0.021094434,0.019048972,0.82634513,0.82632320,2.6541506E-003,0.486133 µm.
1.8900000,0.021094434,0.019048972,0.82634513,0.82632320,2.6541506E-003,0.486133 µm.
2.1000000,0.021208402,0.018694246,0.91824515,0.91821505,3.2782786E-003,0.486133 µm.
2.1000000,0.021208402,0.018694246,0.91824515,0.91821505,3.2782786E-003,0.486133 µm.
2.3100000,0.021331503,0.018303756,1.0101717,1.0101316,3.9648106E-003,0.486133 µm.
2.3100000,0.021331503,0.018303756,1.0101717,1.0101316,3.9648106E-003,0.486133 µm.
2.5200000,0.021462902,0.017877975,1.1021273,1.1020753,4.7127489E-003,0.486133 µm.
2.5200000,0.021462902,0.017877975,1.1021273,1.1020753,4.7127489E-003,0.486133 µm.
2.7300000,0.021601675,0.017417424,1.1941147,1.1940487,5.5209964E-003,0.486133 µm.
2.7300000,0.021601675,0.017417424,1.1941147,1.1940487,5.5209964E-003,0.486133 µm.
2.9400000,0.021746812,0.016922669,1.2861365,1.2860543,6.3883548E-003,0.486133 µm.
2.9400000,0.021746812,0.016922669,1.2861365,1.2860543,6.3883548E-003,0.486133 µm.
3.1500000,0.021897208,0.016394322,1.3781953,1.3780945,7.3135240E-003,0.486133 µm.
3.1500000,0.021897208,0.016394322,1.3781953,1.3780945,7.3135240E-003,0.486133 µm.
3.3600000,0.022051665,0.015833045,1.4702938,1.4701719,8.2950997E-003,0.486133 µm.
3.3600000,0.022051665,0.015833045,1.4702938,1.4701719,8.2950997E-003,0.486133 µm.
3.5700000,0.022208888,0.015239542,1.5624346,1.5622888,9.3315725E-003,0.486133 µm.
3.5700000,0.022208888,0.015239542,1.5624346,1.5622888,9.3315725E-003,0.486133 µm.
3.7800000,0.022367480,0.014614568,1.6546204,1.6544479,0.010421326,0.486133 µm.
3.7800000,0.022367480,0.014614568,1.6546204,1.6544479,0.010421326,0.486133 µm.
3.9900000,0.022525944,0.013958924,1.7468537,1.7466517,0.011562634,0.486133 µm.
3.9900000,0.022525944,0.013958924,1.7468537,1.7466517,0.011562634,0.486133 µm.
4.2000000,0.022682674,0.013273459,1.8391372,1.8389026,0.012753661,0.486133 µm.
4.2000000,0.022682674,0.013273459,1.8391372,1.8389026,0.012753661,0.486133 µm.
4.4100000,0.022835954,0.012559072,1.9314734,1.9312032,0.013992455,0.486133 µm.
4.4100000,0.022835954,0.012559072,1.9314734,1.9312032,0.013992455,0.486133 µm.
4.6200000,0.022983954,0.011816707,2.0238651,2.0235560,0.015276953,0.486133 µm.
4.6200000,0.022983954,0.011816707,2.0238651,2.0235560,0.015276953,0.486133 µm.
4.8300000,0.023124728,0.011047362,2.1163149,2.1159635,0.016604970,0.486133 µm.
4.8300000,0.023124728,0.011047362,2.1163149,2.1159635,0.016604970,0.486133 µm.
5.0400000,0.023256203,0.010252080,2.2088252,2.2084283,0.017974204,0.486133 µm.
5.0400000,0.023256203,0.010252080,2.2088252,2.2084283,0.017974204,0.486133 µm.
5.2500000,0.023376182,9.4319564E-003,2.3013988,2.3009528,0.019382225,0.486133 µm.
5.2500000,0.023376182,9.4319564E-003,2.3013988,2.3009528,0.019382225,0.486133 µm.
5.4600000,0.023482336,8.5881370E-003,2.3940382,2.3935397,0.020826482,0.486133 µm.
5.4600000,0.023482336,8.5881370E-003,2.3940382,2.3935397,0.020826482,0.486133 µm.
5.6700000,0.023572197,7.7218179E-003,2.4867461,2.4861915,0.022304292,0.486133 µm.
5.6700000,0.023572197,7.7218179E-003,2.4867461,2.4861915,0.022304292,0.486133 µm.
5.8800000,0.023643156,6.8342467E-003,2.5795249,2.5789108,0.023812839,0.486133 µm.
5.8800000,0.023643156,6.8342467E-003,2.5795249,2.5789108,0.023812839,0.486133 µm.
6.0900000,0.023692453,5.9267233E-003,2.6723773,2.6717001,0.025349173,0.486133 µm.
6.0900000,0.023692453,5.9267233E-003,2.6723773,2.6717001,0.025349173,0.486133 µm.
6.3000000,0.023717177,5.0005997E-003,2.7653059,2.7645620,0.026910203,0.486133 µm.
6.3000000,0.023717177,5.0005997E-003,2.7653059,2.7645620,0.026910203,0.486133 µm.
6.5100000,0.023714253,4.0572813E-003,2.8583132,2.8574990,0.028492697,0.486133 µm.
6.5100000,0.023714253,4.0572813E-003,2.8583132,2.8574990,0.028492697,0.486133 µm.
6.7200000,0.023680441,3.0982272E-003,2.9514018,2.9505139,0.030093272,0.486133 µm.
6.7200000,0.023680441,3.0982272E-003,2.9514018,2.9505139,0.030093272,0.486133 µm.
6.9300000,0.023612324,2.1249506E-003,3.0445741,3.0436091,0.031708398,0.486133 µm.
6.9300000,0.023612324,2.1249506E-003,3.0445741,3.0436091,0.031708398,0.486133 µm.
7.1400000,0.023506304,1.1390198E-003,3.1378329,3.1367873,0.033334385,0.486133 µm.
7.1400000,0.023506304,1.1390198E-003,3.1378329,3.1367873,0.033334385,0.486133 µm.
7.3500000,0.023358595,1.4205868E-004,3.2311805,3.2300510,0.034967387,0.486133 µm.
7.3500000,0.023358595,1.4205868E-004,3.2311805,3.2300510,0.034967387,0.486133 µm.
7.5600000,0.023165211,-8.6425251E-004,3.3246195,3.3234031,0.036603389,0.486133 µm.
7.5600000,0.023165211,-8.6425251E-004,3.3246195,3.3234031,0.036603389,0.486133 µm.
7.7700000,0.022921960,-1.8781766E-003,3.4181525,3.4168459,0.038238208,0.486133 µm.
7.7700000,0.022921960,-1.8781766E-003,3.4181525,3.4168459,0.038238208,0.486133 µm.
7.9800000,0.022624434,-2.8979187E-003,3.5117818,3.5103823,0.039867485,0.486133 µm.
7.9800000,0.022624434,-2.8979187E-003,3.5117818,3.5103823,0.039867485,0.486133 µm.
8.1900000,0.022268004,-3.9216253E-003,3.6055101,3.6040149,0.041486680,0.486133 µm.
8.1900000,0.022268004,-3.9216253E-003,3.6055101,3.6040149,0.041486680,0.486133 µm.
8.4000000,0.021847802,-4.9473837E-003,3.6993397,3.6977463,0.043091065,0.486133 µm.
8.4000000,0.021847802,-4.9473837E-003,3.6993397,3.6977463,0.043091065,0.486133 µm.
8.6100000,0.021358718,-5.9732212E-003,3.7932731,3.7915792,0.044675722,0.486133 µm.
8.6100000,0.021358718,-5.9732212E-003,3.7932731,3.7915792,0.044675722,0.486133 µm.
8.8200000,0.020795386,-6.9971043E-003,3.8873128,3.8855163,0.046235530,0.486133 µm.
8.8200000,0.020795386,-6.9971043E-003,3.8873128,3.8855163,0.046235530,0.486133 µm.
9.0300000,0.020152175,-8.0169375E-003,3.9814612,3.9795604,0.047765164,0.486133 µm.
9.0300000,0.020152175,-8.0169375E-003,3.9814612,3.9795604,0.047765164,0.486133 µm.
9.2400000,0.019423172,-9.0305629E-003,4.0757207,4.0737140,0.049259084,0.486133 µm.
9.2400000,0.019423172,-9.0305629E-003,4.0757207,4.0737140,0.049259084,0.486133 µm.
9.4500000,0.018602178,-0.010035759,4.1700937,4.1679800,0.050711533,0.486133 µm.
9.4500000,0.018602178,-0.010035759,4.1700937,4.1679800,0.050711533,0.486133 µm.
9.6600000,0.017682688,-0.011030241,4.2645825,4.2623611,0.052116521,0.486133 µm.
9.6600000,0.017682688,-0.011030241,4.2645825,4.2623611,0.052116521,0.486133 µm.
9.8700000,0.016657881,-0.012011657,4.3591895,4.3568600,0.053467826,0.486133 µm.
9.8700000,0.016657881,-0.012011657,4.3591895,4.3568600,0.053467826,0.486133 µm.
10.080000,0.015520606,-0.012977590,4.4539171,4.4514795,0.054758978,0.486133 µm.
10.080000,0.015520606,-0.012977590,4.4539171,4.4514795,0.054758978,0.486133 µm.
10.290000,0.014263367,-0.013925556,4.5487676,4.5462224,0.055983256,0.486133 µm.
10.290000,0.014263367,-0.013925556,4.5487676,4.5462224,0.055983256,0.486133 µm.
10.500000,0.012878306,-0.014853002,4.6437431,4.6410915,0.057133672,0.486133 µm.
10.500000,0.012878306,-0.014853002,4.6437431,4.6410915,0.057133672,0.486133 µm.
10.710000,0.011357190,-0.015757308,4.7388461,4.7360896,0.058202970,0.486133 µm.
10.710000,0.011357190,-0.015757308,4.7388461,4.7360896,0.058202970,0.486133 µm.
10.920000,9.6913953E-003,-0.016635780,4.8340787,4.8312194,0.059183607,0.486133 µm.
10.920000,9.6913953E-003,-0.016635780,4.8340787,4.8312194,0.059183607,0.486133 µm.
11.130000,7.8718843E-003,-0.017485657,4.9294431,4.9264839,0.060067747,0.486133 µm.
11.130000,7.8718843E-003,-0.017485657,4.9294431,4.9264839,0.060067747,0.486133 µm.
11.340000,5.8891935E-003,-0.018304103,5.0249415,5.0218859,0.060847251,0.486133 µm.
11.340000,5.8891935E-003,-0.018304103,5.0249415,5.0218859,0.060847251,0.486133 µm.
11.550000,3.7334123E-003,-0.019088210,5.1205761,5.1174282,0.061513659,0.486133 µm.
11.550000,3.7334123E-003,-0.019088210,5.1205761,5.1174282,0.061513659,0.486133 µm.
11.760000,1.3941631E-003,-0.019834996,5.2163489,5.2131137,0.062058185,0.486133 µm.
11.760000,1.3941631E-003,-0.019834996,5.2163489,5.2131137,0.062058185,0.486133 µm.
