Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.24657906,-0.24657906,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.24657906,-0.24657906,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.20000000,-0.24658839,-0.24659386,0.089178520,0.089178276,2.7347370E-004,0.486133 µm.
0.20000000,-0.24658839,-0.24659386,0.089178520,0.089178276,2.7347370E-004,0.486133 µm.
0.40000000,-0.24661483,-0.24663825,0.17835834,0.17835873,-2.1731467E-004,0.486133 µm.
0.40000000,-0.24661483,-0.24663825,0.17835834,0.17835873,-2.1731467E-004,0.486133 µm.
0.60000000,-0.24665849,-0.24671220,0.26754075,0.26754352,-1.0354329E-003,0.486133 µm.
0.60000000,-0.24665849,-0.24671220,0.26754075,0.26754352,-1.0354329E-003,0.486133 µm.
0.80000000,-0.24671955,-0.24681560,0.35672706,0.35673484,-2.1809356E-003,0.486133 µm.
0.80000000,-0.24671955,-0.24681560,0.35672706,0.35673484,-2.1809356E-003,0.486133 µm.
1.0000000,-0.24679825,-0.24694837,0.44591856,0.44593485,-3.6544157E-003,0.486133 µm.
1.0000000,-0.24679825,-0.24694837,0.44591856,0.44593485,-3.6544157E-003,0.486133 µm.
1.2000000,-0.24689492,-0.24711035,0.53511654,0.53514573,-5.4560933E-003,0.486133 µm.
1.2000000,-0.24689492,-0.24711035,0.53511654,0.53514573,-5.4560933E-003,0.486133 µm.
1.4000000,-0.24700993,-0.24730138,0.62432230,0.62436966,-7.5864235E-003,0.486133 µm.
1.4000000,-0.24700993,-0.24730138,0.62432230,0.62436966,-7.5864235E-003,0.486133 µm.
1.6000000,-0.24714376,-0.24752124,0.71353713,0.71360882,-0.010045945,0.486133 µm.
1.6000000,-0.24714376,-0.24752124,0.71353713,0.71360882,-0.010045945,0.486133 µm.
1.8000000,-0.24729694,-0.24776972,0.80276233,0.80286538,-0.012835278,0.486133 µm.
1.8000000,-0.24729694,-0.24776972,0.80276233,0.80286538,-0.012835278,0.486133 µm.
2.0000000,-0.24747007,-0.24804653,0.89199918,0.89214152,-0.015955131,0.486133 µm.
2.0000000,-0.24747007,-0.24804653,0.89199918,0.89214152,-0.015955131,0.486133 µm.
2.2000000,-0.24766384,-0.24835138,0.98124897,0.98143943,-0.019406291,0.486133 µm.
2.2000000,-0.24766384,-0.24835138,0.98124897,0.98143943,-0.019406291,0.486133 µm.
2.4000000,-0.24787901,-0.24868394,1.0705130,1.0707613,-0.023189635,0.486133 µm.
2.4000000,-0.24787901,-0.24868394,1.0705130,1.0707613,-0.023189635,0.486133 µm.
