Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-4.0915546E-003,-4.0915546E-003,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-4.0915546E-003,-4.0915546E-003,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.029965546,-4.0979046E-003,-4.0843672E-003,0.10880177,0.10880177,-7.0448417E-006,0.486133 µm.
0.029965546,-4.0979046E-003,-4.0843672E-003,0.10880177,0.10880177,-7.0448417E-006,0.486133 µm.
0.059931092,-4.1115081E-003,-4.0628060E-003,0.21760354,0.21760361,-2.8235777E-005,0.486133 µm.
0.059931092,-4.1115081E-003,-4.0628060E-003,0.21760354,0.21760361,-2.8235777E-005,0.486133 µm.
0.089896637,-4.1323342E-003,-4.0268740E-003,0.32640535,0.32640556,-6.3742114E-005,0.486133 µm.
0.089896637,-4.1323342E-003,-4.0268740E-003,0.32640535,0.32640556,-6.3742114E-005,0.486133 µm.
0.11986218,-4.1603324E-003,-3.9765763E-003,0.43520719,0.43520769,-1.1384622E-004,0.486133 µm.
0.11986218,-4.1603324E-003,-3.9765763E-003,0.43520719,0.43520769,-1.1384622E-004,0.486133 µm.
0.14982773,-4.1954323E-003,-3.9119202E-003,0.54400908,0.54401005,-1.7894382E-004,0.486133 µm.
0.14982773,-4.1954323E-003,-3.9119202E-003,0.54400908,0.54401005,-1.7894382E-004,0.486133 µm.
0.17979327,-4.2375439E-003,-3.8329148E-003,0.65281103,0.65281272,-2.5954438E-004,0.486133 µm.
0.17979327,-4.2375439E-003,-3.8329148E-003,0.65281103,0.65281272,-2.5954438E-004,0.486133 µm.
0.20975882,-4.2865575E-003,-3.7395714E-003,0.76161303,0.76161574,-3.5627166E-004,0.486133 µm.
0.20975882,-4.2865575E-003,-3.7395714E-003,0.76161303,0.76161574,-3.5627166E-004,0.486133 µm.
0.23972437,-4.3423436E-003,-3.6319031E-003,0.87041509,0.87041918,-4.6986431E-004,0.486133 µm.
0.23972437,-4.3423436E-003,-3.6319031E-003,0.87041509,0.87041918,-4.6986431E-004,0.486133 µm.
0.26968991,-4.4047535E-003,-3.5099253E-003,0.97921721,0.97922310,-6.0117667E-004,0.486133 µm.
0.26968991,-4.4047535E-003,-3.5099253E-003,0.97921721,0.97922310,-6.0117667E-004,0.486133 µm.
0.29965546,-4.4736186E-003,-3.3736553E-003,1.0880194,1.0880275,-7.5117960E-004,0.486133 µm.
0.29965546,-4.4736186E-003,-3.3736553E-003,1.0880194,1.0880275,-7.5117960E-004,0.486133 µm.
0.32962100,-4.5487509E-003,-3.2231124E-003,1.1968216,1.1968326,-9.2096152E-004,0.486133 µm.
0.32962100,-4.5487509E-003,-3.2231124E-003,1.1968216,1.1968326,-9.2096152E-004,0.486133 µm.
0.35958655,-4.6299430E-003,-3.0583178E-003,1.3056238,1.3056383,-1.1117295E-003,0.486133 µm.
0.35958655,-4.6299430E-003,-3.0583178E-003,1.3056238,1.3056383,-1.1117295E-003,0.486133 µm.
0.38955210,-4.7169682E-003,-2.8792949E-003,1.4144260,1.4144447,-1.3248106E-003,0.486133 µm.
0.38955210,-4.7169682E-003,-2.8792949E-003,1.4144260,1.4144447,-1.3248106E-003,0.486133 µm.
0.41951764,-4.8095805E-003,-2.6860690E-003,1.5232281,1.5232519,-1.5616529E-003,0.486133 µm.
0.41951764,-4.8095805E-003,-2.6860690E-003,1.5232281,1.5232519,-1.5616529E-003,0.486133 µm.
0.44948319,-4.9075145E-003,-2.4786672E-003,1.6320302,1.6320599,-1.8238276E-003,0.486133 µm.
0.44948319,-4.9075145E-003,-2.4786672E-003,1.6320302,1.6320599,-1.8238276E-003,0.486133 µm.
0.47944873,-5.0104861E-003,-2.2571188E-003,1.7408321,1.7408688,-2.1130301E-003,0.486133 µm.
0.47944873,-5.0104861E-003,-2.2571188E-003,1.7408321,1.7408688,-2.1130301E-003,0.486133 µm.
0.50941428,-5.1181919E-003,-2.0214549E-003,1.8496337,1.8496787,-2.4310819E-003,0.486133 µm.
0.50941428,-5.1181919E-003,-2.0214549E-003,1.8496337,1.8496787,-2.4310819E-003,0.486133 µm.
0.53937982,-5.2303099E-003,-1.7717084E-003,1.9584351,1.9584896,-2.7799329E-003,0.486133 µm.
0.53937982,-5.2303099E-003,-1.7717084E-003,1.9584351,1.9584896,-2.7799329E-003,0.486133 µm.
0.56934537,-5.3464992E-003,-1.5079144E-003,2.0672362,2.0673015,-3.1616627E-003,0.486133 µm.
0.56934537,-5.3464992E-003,-1.5079144E-003,2.0672362,2.0673015,-3.1616627E-003,0.486133 µm.
0.59931092,-5.4664005E-003,-1.2301095E-003,2.1760368,2.1761146,-3.5784836E-003,0.486133 µm.
0.59931092,-5.4664005E-003,-1.2301095E-003,2.1760368,2.1761146,-3.5784836E-003,0.486133 µm.
0.62927646,-5.5896360E-003,-9.3833245E-004,2.2848368,2.2849289,-4.0327423E-003,0.486133 µm.
0.62927646,-5.5896360E-003,-9.3833245E-004,2.2848368,2.2849289,-4.0327423E-003,0.486133 µm.
0.65924201,-5.7158096E-003,-6.3262369E-004,2.3936361,2.3937444,-4.5269227E-003,0.486133 µm.
0.65924201,-5.7158096E-003,-6.3262369E-004,2.3936361,2.3937444,-4.5269227E-003,0.486133 µm.
0.68920755,-5.8445076E-003,-3.1302548E-004,2.5024345,2.5025613,-5.0636485E-003,0.486133 µm.
0.68920755,-5.8445076E-003,-3.1302548E-004,2.5024345,2.5025613,-5.0636485E-003,0.486133 µm.
0.71917310,-5.9752980E-003,2.0418170E-005,2.6112320,2.6113795,-5.6456859E-003,0.486133 µm.
0.71917310,-5.9752980E-003,2.0418170E-005,2.6112320,2.6113795,-5.6456859E-003,0.486133 µm.
0.74913864,-6.1077315E-003,3.6766150E-004,2.7200284,2.7201991,-6.2759468E-003,0.486133 µm.
0.74913864,-6.1077315E-003,3.6766150E-004,2.7200284,2.7201991,-6.2759468E-003,0.486133 µm.
0.77910419,-6.2413414E-003,7.2865706E-004,2.8288234,2.8290202,-6.9574917E-003,0.486133 µm.
0.77910419,-6.2413414E-003,7.2865706E-004,2.8288234,2.8290202,-6.9574917E-003,0.486133 µm.
0.80906974,-6.3756442E-003,1.1033558E-003,2.9376168,2.9378429,-7.6935331E-003,0.486133 µm.
0.80906974,-6.3756442E-003,1.1033558E-003,2.9376168,2.9378429,-7.6935331E-003,0.486133 µm.
0.83903528,-6.5101393E-003,1.4917069E-003,3.0464086,3.0466671,-8.4874392E-003,0.486133 µm.
0.83903528,-6.5101393E-003,1.4917069E-003,3.0464086,3.0466671,-8.4874392E-003,0.486133 µm.
0.86900083,-6.6443100E-003,1.8936581E-003,3.1551983,3.1554931,-9.3427370E-003,0.486133 µm.
0.86900083,-6.6443100E-003,1.8936581E-003,3.1551983,3.1554931,-9.3427370E-003,0.486133 µm.
0.89896637,-6.7776236E-003,2.3091556E-003,3.2639857,3.2643208,-0.010263117,0.486133 µm.
0.89896637,-6.7776236E-003,2.3091556E-003,3.2639857,3.2643208,-0.010263117,0.486133 µm.
0.92893192,-6.9095314E-003,2.7381442E-003,3.3727706,3.3731502,-0.011252437,0.486133 µm.
0.92893192,-6.9095314E-003,2.7381442E-003,3.3727706,3.3731502,-0.011252437,0.486133 µm.
0.95889746,-7.0394701E-003,3.1805671E-003,3.4815527,3.4819815,-0.012314726,0.486133 µm.
0.95889746,-7.0394701E-003,3.1805671E-003,3.4815527,3.4819815,-0.012314726,0.486133 µm.
0.98886301,-7.1668609E-003,3.6363664E-003,3.5903316,3.5908147,-0.013454188,0.486133 µm.
0.98886301,-7.1668609E-003,3.6363664E-003,3.5903316,3.5908147,-0.013454188,0.486133 µm.
1.0188286,-7.2911114E-003,4.1054827E-003,3.6991070,3.6996499,-0.014675211,0.486133 µm.
1.0188286,-7.2911114E-003,4.1054827E-003,3.6991070,3.6996499,-0.014675211,0.486133 µm.
1.0487941,-7.4116152E-003,4.5878555E-003,3.8078784,3.8084871,-0.015982364,0.486133 µm.
1.0487941,-7.4116152E-003,4.5878555E-003,3.8078784,3.8084871,-0.015982364,0.486133 µm.
1.0787596,-7.5277526E-003,5.0834232E-003,3.9166455,3.9173264,-0.017380412,0.486133 µm.
1.0787596,-7.5277526E-003,5.0834232E-003,3.9166455,3.9173264,-0.017380412,0.486133 µm.
1.1087252,-7.6388919E-003,5.5921230E-003,4.0254079,4.0261678,-0.018874312,0.486133 µm.
1.1087252,-7.6388919E-003,5.5921230E-003,4.0254079,4.0261678,-0.018874312,0.486133 µm.
1.1386907,-7.7443892E-003,6.1138915E-003,4.1341650,4.1350114,-0.020469227,0.486133 µm.
1.1386907,-7.7443892E-003,6.1138915E-003,4.1341650,4.1350114,-0.020469227,0.486133 µm.
1.1686563,-7.8435897E-003,6.6486640E-003,4.2429164,4.2438573,-0.022170525,0.486133 µm.
1.1686563,-7.8435897E-003,6.6486640E-003,4.2429164,4.2438573,-0.022170525,0.486133 µm.
1.1986218,-7.9358282E-003,7.1963753E-003,4.3516616,4.3527055,-0.023983791,0.486133 µm.
1.1986218,-7.9358282E-003,7.1963753E-003,4.3516616,4.3527055,-0.023983791,0.486133 µm.
1.2285874,-8.0204303E-003,7.7569596E-003,4.4603999,4.4615561,-0.025914830,0.486133 µm.
1.2285874,-8.0204303E-003,7.7569596E-003,4.4603999,4.4615561,-0.025914830,0.486133 µm.
1.2585529,-8.0967132E-003,8.3303504E-003,4.5691308,4.5704091,-0.027969675,0.486133 µm.
1.2585529,-8.0967132E-003,8.3303504E-003,4.5691308,4.5704091,-0.027969675,0.486133 µm.
1.2885185,-8.1639866E-003,8.9164811E-003,4.6778537,4.6792647,-0.030154596,0.486133 µm.
1.2885185,-8.1639866E-003,8.9164811E-003,4.6778537,4.6792647,-0.030154596,0.486133 µm.
1.3184840,-8.2215538E-003,9.5152845E-003,4.7865678,4.7881228,-0.032476105,0.486133 µm.
1.3184840,-8.2215538E-003,9.5152845E-003,4.7865678,4.7881228,-0.032476105,0.486133 µm.
1.3484496,-8.2687131E-003,0.010126694,4.8952724,4.8969835,-0.034940964,0.486133 µm.
1.3484496,-8.2687131E-003,0.010126694,4.8952724,4.8969835,-0.034940964,0.486133 µm.
1.3784151,-8.3047590E-003,0.010750641,5.0039669,5.0058469,-0.037556197,0.486133 µm.
1.3784151,-8.3047590E-003,0.010750641,5.0039669,5.0058469,-0.037556197,0.486133 µm.
1.4083807,-8.3289835E-003,0.011387061,5.1126503,5.1147130,-0.040329093,0.486133 µm.
1.4083807,-8.3289835E-003,0.011387061,5.1126503,5.1147130,-0.040329093,0.486133 µm.
1.4383462,-8.3406777E-003,0.012035886,5.2213219,5.2235820,-0.043267222,0.486133 µm.
1.4383462,-8.3406777E-003,0.012035886,5.2213219,5.2235820,-0.043267222,0.486133 µm.
1.4683117,-8.3391333E-003,0.012697051,5.3299807,5.3324538,-0.046378438,0.486133 µm.
1.4683117,-8.3391333E-003,0.012697051,5.3299807,5.3324538,-0.046378438,0.486133 µm.
1.4982773,-8.3236448E-003,0.013370492,5.4386257,5.4413285,-0.049670894,0.486133 µm.
1.4982773,-8.3236448E-003,0.013370492,5.4386257,5.4413285,-0.049670894,0.486133 µm.
1.5282428,-8.2935105E-003,0.014056143,5.5472561,5.5502062,-0.053153050,0.486133 µm.
1.5282428,-8.2935105E-003,0.014056143,5.5472561,5.5502062,-0.053153050,0.486133 µm.
1.5582084,-8.2480355E-003,0.014753943,5.6558707,5.6590869,-0.056833685,0.486133 µm.
1.5582084,-8.2480355E-003,0.014753943,5.6558707,5.6590869,-0.056833685,0.486133 µm.
1.5881739,-8.1865333E-003,0.015463831,5.7644683,5.7679708,-0.060721908,0.486133 µm.
1.5881739,-8.1865333E-003,0.015463831,5.7644683,5.7679708,-0.060721908,0.486133 µm.
1.6181395,-8.1083285E-003,0.016185749,5.8730479,5.8768577,-0.064827172,0.486133 µm.
1.6181395,-8.1083285E-003,0.016185749,5.8730479,5.8768577,-0.064827172,0.486133 µm.
1.6481050,-8.0127592E-003,0.016919639,5.9816083,5.9857480,-0.069159284,0.486133 µm.
1.6481050,-8.0127592E-003,0.016919639,5.9816083,5.9857480,-0.069159284,0.486133 µm.
1.6780706,-7.8991799E-003,0.017665448,6.0901480,6.0946414,-0.073728421,0.486133 µm.
1.6780706,-7.8991799E-003,0.017665448,6.0901480,6.0946414,-0.073728421,0.486133 µm.
1.7080361,-7.7669642E-003,0.018423124,6.1986657,6.2035383,-0.078545141,0.486133 µm.
1.7080361,-7.7669642E-003,0.018423124,6.1986657,6.2035383,-0.078545141,0.486133 µm.
1.7380017,-7.6155087E-003,0.019192619,6.3071600,6.3124385,-0.083620403,0.486133 µm.
1.7380017,-7.6155087E-003,0.019192619,6.3071600,6.3124385,-0.083620403,0.486133 µm.
1.7679672,-7.4442356E-003,0.019973889,6.4156294,6.4213422,-0.088965575,0.486133 µm.
1.7679672,-7.4442356E-003,0.019973889,6.4156294,6.4213422,-0.088965575,0.486133 µm.
1.7979327,-7.2525972E-003,0.020766895,6.5240722,6.5302494,-0.094592459,0.486133 µm.
1.7979327,-7.2525972E-003,0.020766895,6.5240722,6.5302494,-0.094592459,0.486133 µm.
1.8278983,-7.0400797E-003,0.021571600,6.6324869,6.6391601,-0.10051330,0.486133 µm.
1.8278983,-7.0400797E-003,0.021571600,6.6324869,6.6391601,-0.10051330,0.486133 µm.
1.8578638,-6.8062076E-003,0.022387975,6.7408716,6.7480745,-0.10674081,0.486133 µm.
1.8578638,-6.8062076E-003,0.022387975,6.7408716,6.7480745,-0.10674081,0.486133 µm.
1.8878294,-6.5505484E-003,0.023215995,6.8492245,6.8569926,-0.11328818,0.486133 µm.
1.8878294,-6.5505484E-003,0.023215995,6.8492245,6.8569926,-0.11328818,0.486133 µm.
1.9177949,-6.2727176E-003,0.024055641,6.9575436,6.9659145,-0.12016911,0.486133 µm.
1.9177949,-6.2727176E-003,0.024055641,6.9575436,6.9659145,-0.12016911,0.486133 µm.
1.9477605,-5.9723847E-003,0.024906904,7.0658270,7.0748401,-0.12739782,0.486133 µm.
1.9477605,-5.9723847E-003,0.024906904,7.0658270,7.0748401,-0.12739782,0.486133 µm.
1.9777260,-5.6492785E-003,0.025769778,7.1740724,7.1837697,-0.13498908,0.486133 µm.
1.9777260,-5.6492785E-003,0.025769778,7.1740724,7.1837697,-0.13498908,0.486133 µm.
2.0076916,-5.3031943E-003,0.026644269,7.2822776,7.2927032,-0.14295822,0.486133 µm.
2.0076916,-5.3031943E-003,0.026644269,7.2822776,7.2927032,-0.14295822,0.486133 µm.
2.0376571,-4.9340003E-003,0.027530391,7.3904404,7.4016406,-0.15132119,0.486133 µm.
2.0376571,-4.9340003E-003,0.027530391,7.3904404,7.4016406,-0.15132119,0.486133 µm.
2.0676227,-4.5416449E-003,0.028428168,7.4985581,7.5105822,-0.16009451,0.486133 µm.
2.0676227,-4.5416449E-003,0.028428168,7.4985581,7.5105822,-0.16009451,0.486133 µm.
2.0975882,-4.1261654E-003,0.029337634,7.6066283,7.6195278,-0.16929540,0.486133 µm.
2.0975882,-4.1261654E-003,0.029337634,7.6066283,7.6195278,-0.16929540,0.486133 µm.
2.1275537,-3.6876966E-003,0.030258837,7.7146482,7.7284776,-0.17894172,0.486133 µm.
2.1275537,-3.6876966E-003,0.030258837,7.7146482,7.7284776,-0.17894172,0.486133 µm.
2.1575193,-3.2264799E-003,0.031191837,7.8226148,7.8374317,-0.18905204,0.486133 µm.
2.1575193,-3.2264799E-003,0.031191837,7.8226148,7.8374317,-0.18905204,0.486133 µm.
