Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.013929091,0.013929091,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.013929091,0.013929091,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.38028909,0.013812005,0.013846618,0.19122094,0.19122193,-5.1518073E-004,0.486133 µm.
0.38028909,0.013812005,0.013846618,0.19122094,0.19122193,-5.1518073E-004,0.486133 µm.
0.76057817,0.013475736,0.013599462,0.38245270,0.38246070,-2.0929404E-003,0.486133 µm.
0.76057817,0.013475736,0.013599462,0.38245270,0.38246070,-2.0929404E-003,0.486133 µm.
1.1408673,0.012923287,0.013188403,0.57370610,0.57373318,-4.7200060E-003,0.486133 µm.
1.1408673,0.012923287,0.013188403,0.57370610,0.57373318,-4.7200060E-003,0.486133 µm.
1.5211563,0.012159616,0.012614739,0.76499203,0.76505624,-8.3925968E-003,0.486133 µm.
1.5211563,0.012159616,0.012614739,0.76499203,0.76505624,-8.3925968E-003,0.486133 µm.
1.9014454,0.011191577,0.011880276,0.95632140,0.95644675,-0.013105459,0.486133 µm.
1.9014454,0.011191577,0.011880276,0.95632140,0.95644675,-0.013105459,0.486133 µm.
2.2817345,0.010027854,0.010987319,1.1477052,1.1479216,-0.018851907,0.486133 µm.
2.2817345,0.010027854,0.010987319,1.1477052,1.1479216,-0.018851907,0.486133 µm.
2.6620236,8.6788661E-003,9.9386570E-003,1.3391546,1.3394978,-0.025623871,0.486133 µm.
2.6620236,8.6788661E-003,9.9386570E-003,1.3391546,1.3394978,-0.025623871,0.486133 µm.
3.0423127,7.1566565E-003,8.7375490E-003,1.5306807,1.5311923,-0.033411958,0.486133 µm.
3.0423127,7.1566565E-003,8.7375490E-003,1.5306807,1.5311923,-0.033411958,0.486133 µm.
3.4226018,5.4747670E-003,7.3877036E-003,1.7222948,1.7230220,-0.042205523,0.486133 µm.
3.4226018,5.4747670E-003,7.3877036E-003,1.7222948,1.7230220,-0.042205523,0.486133 µm.
3.8028909,3.6480904E-003,5.8932599E-003,1.9140085,1.9150041,-0.051992749,0.486133 µm.
3.8028909,3.6480904E-003,5.8932599E-003,1.9140085,1.9150041,-0.051992749,0.486133 µm.
4.1831799,1.6927157E-003,4.2587628E-003,2.1058332,2.1071557,-0.062760735,0.486133 µm.
4.1831799,1.6927157E-003,4.2587628E-003,2.1058332,2.1071557,-0.062760735,0.486133 µm.
4.5634690,-3.7424581E-004,2.4891383E-003,2.2977809,2.2994939,-0.074495590,0.486133 µm.
4.5634690,-3.7424581E-004,2.4891383E-003,2.2977809,2.2994939,-0.074495590,0.486133 µm.
4.9437581,-2.5348441E-003,5.8966516E-004,2.4898635,2.4920361,-0.087182543,0.486133 µm.
4.9437581,-2.5348441E-003,5.8966516E-004,2.4898635,2.4920361,-0.087182543,0.486133 µm.
5.3240472,-4.7704832E-003,-1.4340530E-003,2.6820930,2.6847994,-0.10080605,0.486133 µm.
5.3240472,-4.7704832E-003,-1.4340530E-003,2.6820930,2.6847994,-0.10080605,0.486133 µm.
5.7043363,-7.0621216E-003,-3.5761192E-003,2.8744819,2.8778014,-0.11534990,0.486133 µm.
5.7043363,-7.0621216E-003,-3.5761192E-003,2.8744819,2.8778014,-0.11534990,0.486133 µm.
6.0846254,-9.3904798E-003,-5.8303746E-003,3.0670426,3.0710595,-0.13079735,0.486133 µm.
6.0846254,-9.3904798E-003,-5.8303746E-003,3.0670426,3.0710595,-0.13079735,0.486133 µm.
6.4649145,-0.011736250,-8.1904323E-003,3.2597880,3.2645912,-0.14713127,0.486133 µm.
6.4649145,-0.011736250,-8.1904323E-003,3.2597880,3.2645912,-0.14713127,0.486133 µm.
6.8452036,-0.014080307,-0.010649710,3.4527309,3.4584143,-0.16433419,0.486133 µm.
6.8452036,-0.014080307,-0.010649710,3.4527309,3.4584143,-0.16433419,0.486133 µm.
