Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,302.48,16.85,"1.49,70.2",67.685,0,,,,,,,,
2,Standard,,-446.123,23.18,"1.49,70.2",67.38,0,,,,,,,,
3,Standard,,134.191,23.05,"1.43,95.1",59.335,0,,,,,,,,
4,Standard,,-356.27,0.13,"1.43,95.1",58.1,0,,,,,,,,
5,Standard,,-347.207,4.3,"1.65,39.7",58.095,0,,,,,,,,
6,Standard,,234.59,28.55,"1.65,39.7",54.785,0,,,,,,,,
7,Standard,,83.9120000000003,15.45,"1.43,95.1",47.675,0,,,,,,,,
8,Standard,,395.372,1.0,"1.43,95.1",46.57,0,,,,,,,,
9,Standard,,65.333,6.0,"1.49,70.2",41.035,0,,,,,,,,
10,Standard,,49.8499999999999,29.23,"1.49,70.2",36.815,0,,,,,,,,
11,Standard,,4411.151,6.72,"1.81,22.8",32.395,0,,,,,,,,
12,Standard,,-142.29,2.6,"1.81,22.8",31.85,0,,,,,,,,
13,Standard,,113.505,86.49,"1.81,40.7",29.97,0,,,,,,,,
14,Standard,,inf,2.06,"1.81,40.7",20.7,0,,,,,,,,
15,Standard,,133.234,8.35,"1.77,49.6",20.295,0,,,,,,,,
16,Standard,,-65.5189999999999,2.05,"1.77,49.6",19.805,0,,,,,,,,
17,Standard,,-327.098,4.0,"1.81,25.4",19.25,0,,,,,,,,
18,Standard,,85.4570000000002,4.3,"1.85,23.8",17.485,0,,,,,,,,
19,Standard,,-137.387,1.71,"1.85,23.8",17.3,0,,,,,,,,
20,Standard,,44.216,4.13,"1.73,54.7",16.435,0,,,,,,,,
21,Standard,,-195.875,1.63,"1.83,42.7",16.445,0,,,,,,,,
22,Standard,,73.2200000000002,3.23,"1.83,42.7",16.695,0,,,,,,,,
23,Standard,,95.3260000000004,3.65,"1.77,49.6",17.675,0,,,,,,,,
24,Standard,,-339.121,10.16,"1.77,49.6",17.81,0,,,,,,,,
25,Standard,,58.9770000000001,7.85,"1.65,39.7",19.495,0,,,,,,,,
26,Standard,,-146.091,1.91,"1.65,39.7",19.275,0,,,,,,,,
27,Standard,,122.69,9.66,"1.81,22.8",19.04,0,,,,,,,,
28,Standard,,inf,2.2,"1.52,64.1",19.225,0,,,,,,,,
29,Standard,,inf,16.7,"1.52,64.1",19.28,0,,,,,,,,
30,Standard,,inf,44.0,"1.52,64.1",29.5,0,,,,,,,,
31,Standard,,inf,inf,"1.52,64.1",21.64,0,,,,,,,,
