Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,33.9542,3.3759,"1.95,18.0",19.29,0,,,,,,,,
2,Standard,,44.5748000000001,4.1307,"1.95,18.0",19.29,0,,,,,,,,
3,Even Asphere,,38.963,5.4692,"1.55,71.7",18.145,0,0.0,-2.34453e-06,-5.3172e-09,1.20622e-11,-2.01173e-14,1.16443e-17,0.0,0.0
4,Even Asphere,,-967.931900000004,0.3493,"1.55,71.7",18.145,0,0.0,3.09778e-06,-7.37705e-09,2.61383e-11,-5.23565e-14,4.15742e-17,0.0,0.0
5,Standard,,121.8447,0.8,"1.85,24.8",17.38,0,,,,,,,,
6,Standard,,20.1256,10.369,"1.85,24.8",15.6,0,,,,,,,,
7,Standard,,-482.9027,1.7197,"1.73,54.7",15.6,0,,,,,,,,
8,Standard,,inf,2.7902,"1.73,54.7",12.808,0,,,,,,,,
9,Standard,,836.614500000001,0.8,"1.56,60.7",12.66,0,,,,,,,,
10,Standard,,20.5218,11.3404,"1.56,60.7",11.09,0,,,,,,,,
11,Standard,,31.5674,0.8,"1.65,33.8",11.225,0,,,,,,,,
12,Standard,,23.7758,4.7179,"1.65,33.8",11.225,0,,,,,,,,
13,Standard,,-39.7321000000001,0.8,"1.65,33.8",11.225,0,,,,,,,,
14,Standard,,18.7021,4.0685,"1.59,35.4",10.22,0,,,,,,,,
15,Standard,,-182.91,0.8,"1.52,52.1",10.895,0,,,,,,,,
16,Standard,,20.4182,5.0178,"1.52,52.1",11.96,0,,,,,,,,
17,Even Asphere,,-110.5563,14.5792,"1.77,49.5",11.96,0,0.0,7.09747e-06,-1.64875e-08,3.0016e-10,-2.16479e-12,6.45973e-15,0.0,0.0
18,Standard,,inf,2.0,"1.52,64.2",15.25,0,,,,,,,,
19,Standard,,inf,1.0,"1.52,64.2",15.25,0,,,,,,,,
20,Standard,,inf,inf,"1.52,64.2",14.2,0,,,,,,,,
