Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,S-LAH58,0.0,0,,,,,,,,
1,Standard,,14.5295536914897,2.604088459647,S-LAH58,9.307369512943,0,,,,,,,,
2,Standard,,21.2354033206165,0.2594242687045,S-LAH58,8.614267527936,0,,,,,,,,
3,Standard,,17.5919429240678,2.346931695931,S-LAH59,8.284218963647,0,,,,,,,,
4,Standard,,32.6335652607971,1.095842230381,S-LAH59,7.706633976142,0,,,,,,,,
5,Standard,,-120.247880784828,1.181596368454,S-TIM25,6.964024706493,0,,,,,,,,
6,Standard,,12.780343459487,1.960965146079,S-TIM25,7.162053845066,0,,,,,,,,
7,Standard,,38.3136448268884,3.897945617351,S-LAH65V,7.162053845066,0,,,,,,,,
8,Standard,,-14.4465708740966,1.046974465141,S-LAH65V,7.162053845066,0,,,,,,,,
9,Standard,,-87.9858068679238,1.168747599572,S-BSM25,7.162053845066,0,,,,,,,,
10,Standard,,inf,1.188495292878,S-BSM25,6.221415436843,0,,,,,,,,
11,Standard,,inf,21.63893060179,S-BSM25,6.221415436843,0,,,,,,,,
12,Standard,,inf,inf,S-BSM25,21.1476472988,0,,,,,,,,
