Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,"1.50,81.9",inf,0,,,,,,,,
1,Standard,,200.0,14.0,"1.50,81.9",50.205,0,,,,,,,,
2,Standard,,-540.000000000001,0.3,"1.50,81.9",50.205,0,,,,,,,,
3,Standard,,112.869,15.5,"1.50,81.9",47.595,0,,,,,,,,
4,Standard,,-599.999999999999,0.65,"1.50,81.9",46.53,0,,,,,,,,
5,Standard,,-480.000000000001,5.0,"1.76,27.5",46.53,0,,,,,,,,
6,Standard,,431.735,41.201,"1.76,27.5",46.53,0,,,,,,,,
7,Standard,,-386.000000000001,7.5,"1.80,28.4",33.81,0,,,,,,,,
8,Standard,,-125.0,2.6,"1.80,28.4",33.81,0,,,,,,,,
9,Standard,,286.185,21.5,"1.46,65.8",33.81,0,,,,,,,,
10,Standard,,-161.181,3.4,"1.46,65.8",27.56,0,,,,,,,,
11,Standard,,67.815,9.4,"1.46,65.8",26.03,0,,,,,,,,
12,Standard,,inf,13.512,"1.46,65.8",25.704,0,,,,,,,,
13,Standard,,171.0,6.5,"1.69,53.6",26.73,0,,,,,,,,
14,Standard,,-131.975,2.0,"1.69,53.6",26.73,0,,,,,,,,
15,Standard,,-213.0,2.0,"1.60,35.6",25.9,0,,,,,,,,
16,Standard,,61.0000000000001,11.0,"1.60,35.6",25.9,0,,,,,,,,
17,Standard,,-193.237,22.0,"1.70,55.6",25.9,0,,,,,,,,
18,Standard,,-130.0,3.0,"1.46,65.0",17.77,0,,,,,,,,
19,Standard,,-311.705,63.6,"1.46,65.0",17.77,0,,,,,,,,
20,Standard,,inf,inf,"1.46,65.0",21.6,0,,,,,,,,
