Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0.0,,,,,,,,
1,Standard,,inf,3.0,"1.52,64.2",28.25,0.0,,,,,,,,
2,Standard,,inf,2.0,"1.52,64.2",27.56,0.0,,,,,,,,
3,Standard,,45.1299999999999,9.323,"1.50,81.6",24.26,0.0,,,,,,,,
4,Standard,,-4334.71600000001,0.1,"1.50,81.6",23.28,0.0,,,,,,,,
5,Standard,,87.2020000000002,2.792,"1.49,70.2",21.12,0.0,,,,,,,,
6,Even Asphere,,20.175,11.027,"1.49,70.2",16.42,-0.5829,0.0,8.137e-06,-1.474e-08,2.636e-10,-1.479e-12,4.687e-15,-6.151e-18,0.0
7,Standard,,-61.4489999999999,1.8,"1.44,95.0",16.09,0.0,,,,,,,,
8,Standard,,25.245,14.145,"1.44,95.0",15.58,0.0,,,,,,,,
9,Standard,,47.103,7.958,"1.80,39.6",13.67,0.0,,,,,,,,
10,Standard,,-19.395,1.8,"1.80,35.0",13.64,0.0,,,,,,,,
11,Standard,,-2732.494,10.933,"1.80,35.0",17.4,0.0,,,,,,,,
12,Standard,,-24.846,0.1,"1.50,81.6",18.89,0.0,,,,,,,,
13,Standard,,103.628,7.549,"1.76,40.1",24.31,0.0,,,,,,,,
14,Standard,,-121.611,0.1,"1.76,40.1",24.57,0.0,,,,,,,,
15,Standard,,54.374,8.744,"1.80,35.0",25.11,0.0,,,,,,,,
16,Standard,,-807.872000000003,8.62,"1.80,35.0",24.69,0.0,,,,,,,,
17,Standard,,-119.748,1.987,"1.75,35.5",21.93,0.0,,,,,,,,
18,Standard,,32.4519999999999,12.62,"1.75,35.5",20.54,0.0,,,,,,,,
19,Standard,,-64.0070000000001,6.99,"1.44,95.0",20.59,0.0,,,,,,,,
20,Standard,,inf,0.9,"1.44,95.0",19.98,0.0,,,,,,,,
21,Standard,,52.938,3.794,"1.44,95.0",19.56,0.0,,,,,,,,
22,Standard,,95.9939999999998,4.461,"1.44,95.0",19.2,0.0,,,,,,,,
23,Standard,,-81.8460000000002,8.191,"1.44,95.0",19.15,0.0,,,,,,,,
24,Standard,,-26.512,3.578,"1.44,95.0",19.05,0.0,,,,,,,,
25,Even Asphere,,-556.349,0.099,"1.81,25.4",21.07,0.0,0.0,4.348e-06,4.069e-10,-1.918e-12,1.164e-15,-1.345e-18,1.221e-21,0.0
26,Standard,,156.116,7.902,"1.81,22.8",21.58,0.0,,,,,,,,
27,Standard,,-60.5250000000001,0.1,"1.81,22.8",21.93,0.0,,,,,,,,
28,Standard,,-214.156,7.837,"1.50,81.6",21.82,0.0,,,,,,,,
29,Standard,,-39.67,44.8,"1.50,81.6",21.85,0.0,,,,,,,,
30,Standard,,inf,inf,"1.50,81.6",15.575,0.0,,,,,,,,
