Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,BK10,inf,0,,,,,,,,
1,Standard,,30.275,1.5625,BK10,11.0,0,,,,,,,,
2,Standard,,8.9325,4.35,BK10,8.0,0,,,,,,,,
3,Standard,,11.435,4.125,BAF13,7.0,0,,,,,,,,
4,Standard,,-18.825,1.1,BAF13,7.0,0,,,,,,,,
5,Standard,,8.0,0.485,KZFS7A,5.5,0,,,,,,,,
6,Standard,,9.25,4.075,LAK11,5.5,0,,,,,,,,
7,Standard,,-10.325,0.7825,LAK11,5.0,0,,,,,,,,
8,Standard,,inf,0.5,BK7,3.8,0,,,,,,,,
9,Standard,,inf,0.6625,BK7,3.20433905029194,0,,,,,,,,
10,Standard,,-32.925,1.25,SK5,3.8,0,,,,,,,,
11,Standard,,7.575,4.8625,SK5,5.0,0,,,,,,,,
12,Standard,,-8.72,0.4225,N-LAK22,5.5,0,,,,,,,,
13,Standard,,-7.5325,1.725,KZFSN5,5.5,0,,,,,,,,
14,Standard,,20.4,3.215,KZFSN5,7.0,0,,,,,,,,
15,Standard,,-11.36,4.0775,H-LAK2,7.0,0,,,,,,,,
16,Standard,,-8.4925,0.7,LAKN6,7.5,0,,,,,,,,
17,Standard,,-20.5,14.5830725291205,LAKN6,10.0,0,,,,,,,,
18,Standard,,inf,inf,LAKN6,21.220121855181,0,,,,,,,,
