Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,2500.0,,169.948864456849,0,,,,,,,,
1,Standard,,96.1521,9.0,J-PKH1,42.0,0,,,,,,,,
2,Standard,,2192.091,1.8,J-PKH1,42.0,0,,,,,,,,
3,Standard,,100.6163,10.0,E-FKH1,40.0,0,,,,,,,,
4,Standard,,-401.9355,5.4,E-FKH1,40.0,0,,,,,,,,
5,Standard,,-290.6599,4.0,E-LAF11,40.0,0,,,,,,,,
6,Standard,,385.4505,35.6,E-LAF11,38.0,0,,,,,,,,
7,Standard,,75.9182,1.9,E-LAK01,28.0,0,,,,,,,,
8,Standard,,29.0411,10.0,E-LAK01,23.5,0,,,,,,,,
9,Standard,,181.9675,11.92342,E-FKH1,23.5,0,,,,,,,,
10,Standard,,-474.9897,4.7,E-LAF11,23.5,0,,,,,,,,
11,Standard,,-57.5926,2.5,E-LAF11,23.5,0,,,,,,,,
12,Standard,,65.5807,2.2,E-LAK01,20.0,0,,,,,,,,
13,Standard,,-1460.4334,2.5,E-LAKH1,20.0,0,,,,,,,,
14,Standard,,76.1382,4.27105,E-LAKH1,19.5,0,,,,,,,,
15,Standard,,180.9306,4.5,FK3,17.7,0,,,,,,,,
16,Standard,,-56.3652,0.548,FK3,17.7,0,,,,,,,,
17,Standard,,-45.6832,6.0,SF6,17.7,0,,,,,,,,
18,Standard,,-268.6981,4.3,SF6,17.7,0,,,,,,,,
19,Standard,,1546.8469,4.0,SF4,20.0,0,,,,,,,,
20,Standard,,-66.6445,10.8,SF4,20.0,0,,,,,,,,
21,Standard,,inf,105.276706617643,SF4,13.8,0,,,,,,,,
22,Standard,,inf,inf,SF4,22.4690937655784,0,,,,,,,,
