Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,"1.70,55.5",inf,0,,,,,,,,
1,Standard,,48.254,1.7,"1.70,55.5",19.27,0,,,,,,,,
2,Standard,,14.299,7.18,"1.70,55.5",12.7,0,,,,,,,,
3,Standard,,142.5,1.5,"1.70,55.5",11.58,0,,,,,,,,
4,Standard,,11.257,6.27,"1.70,55.5",8.64,0,,,,,,,,
5,Standard,,-47.6209999999999,2.9,"1.81,25.5",8.02,0,,,,,,,,
6,Standard,,-19.391,0.56,"1.81,25.5",7.63,0,,,,,,,,
7,Standard,,-17.239,0.8,"1.50,81.6",7.32,0,,,,,,,,
8,Standard,,750.000000000002,3.06,"1.50,81.6",7.32,0,,,,,,,,
9,Standard,,14.505,2.2,"1.81,33.3",5.57,0,,,,,,,,
10,Standard,,52.4230000000001,4.608,"1.81,33.3",5.57,0,,,,,,,,
11,Standard,,inf,2.402,"1.81,33.3",3.4695,0,,,,,,,,
12,Standard,,-86.5230000000003,1.6,"1.77,49.6",4.42,0,,,,,,,,
13,Standard,,-16.697,0.23,"1.77,49.6",4.42,0,,,,,,,,
14,Standard,,-16.036,3.0,"1.59,61.3",4.42,0,,,,,,,,
15,Standard,,-6.08700000000001,1.82,"1.59,61.3",5.11,0,,,,,,,,
16,Standard,,-14.719,4.513,"1.85,23.8",6.16,0,,,,,,,,
17,Standard,,500.0,2.8,"1.62,63.4",9.2,0,,,,,,,,
18,Standard,,-24.06,2.105,"1.62,63.4",9.2,0,,,,,,,,
19,Standard,,106.24,2.4,"1.52,64.2",9.87,0,,,,,,,,
20,Standard,,-106.24,16.169,"1.52,64.2",9.87,0,,,,,,,,
21,Standard,,inf,inf,"1.52,64.2",10.831,0,,,,,,,,
