Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0.0,,,,,,,,
1,Standard,,60.3879999999999,6.04,"1.83,42.7",21.105,0.0,,,,,,,,
2,Standard,,-214.645,0.37,"1.83,42.7",20.57,0.0,,,,,,,,
3,Standard,,-156.603,1.3,"1.59,35.5",20.57,0.0,,,,,,,,
4,Standard,,35.0,3.0,"1.59,35.5",18.87,0.0,,,,,,,,
5,Even Asphere,,28.547,7.17,"1.85,40.1",16.7,0.0,0.0,-1.05e-06,-6.57e-10,-1.73e-12,4.21e-15,0.0,0.0,0.0
6,Standard,,-503.384000000001,1.2,"1.85,40.1",16.7,0.0,,,,,,,,
7,Standard,,25.007,14.509,"1.61,37.0",14.57,0.0,,,,,,,,
8,Standard,,inf,6.333,"1.61,37.0",12.9025,0.0,,,,,,,,
9,Standard,,-21.841,2.8,"1.65,33.8",13.07,0.0,,,,,,,,
10,Standard,,30.673,7.94,"1.65,33.8",15.315,0.0,,,,,,,,
11,Standard,,-47.9080000000001,0.2,"1.88,40.8",15.315,0.0,,,,,,,,
12,Standard,,247.339,2.13,"1.70,30.1",15.51,0.0,,,,,,,,
13,Standard,,38.671,7.0,"1.70,30.1",15.51,0.0,,,,,,,,
14,Even Asphere,,-50.305,36.098,"1.77,49.2",15.51,-1.6554,0.0,5.1e-06,-9.77e-10,2.06e-11,-8.11e-15,0.0,0.0,0.0
15,Standard,,inf,inf,"1.77,49.2",21.63,0.0,,,,,,,,
