Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,0.0,0,,,,,,,,
1,Standard,,21.2570089464,2.18948,SK4,9.5,0,,,,,,,,
2,Standard,,177.9957953666,0.05334,SK4,9.5,0,,,,,,,,
3,Standard,,10.6781014784,3.87096,SK4,7.2,0,,,,,,,,
4,Standard,,44.498948848,0.93472,SK4,7.2,0,,,,,,,,
5,Standard,,7.4167080266,2.921,F11,4.3,0,,,,,,,,
6,Standard,,7239458.233416611,2.54,F11,2.679061681445,0,,,,,,,,
7,Standard,,-9.0957922986,0.93472,SF12,4.0,0,,,,,,,,
8,Standard,,19.0705007972,4.27228,SF12,6.5,0,,,,,,,,
9,Standard,,-12.834765034,0.05334,BAF9,6.5,0,,,,,,,,
10,Standard,,76.2762762762,3.07086,TAFD6,8.5,0,,,,,,,,
11,Standard,,-27.1020059686,16.62739166317,TAFD6,8.5,0,,,,,,,,
12,Standard,,7239458.233416611,130819.68004041509,TAFD6,11.30483267847,0,,,,,,,,
