Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,1000.0,nan,65.8512617166,0,,,,,,,,
1,Standard,,61.5645,4.6924,FDS1,30.0,0,,,,,,,,
2,Standard,,135.4931,0.2,FDS1,30.0,0,,,,,,,,
3,Standard,,62.5162,5.7968,FCD100,28.0,0,,,,,,,,
4,Standard,,320.4042,0.2,FCD100,28.0,0,,,,,,,,
5,Standard,,46.679,7.0475,PCD51,24.0,0,,,,,,,,
6,Standard,,3705.0386,1.6,PCD51,24.0,0,,,,,,,,
7,Standard,,62.156,10.1213,TAFD25,24.0,0,,,,,,,,
8,Standard,,37.4456,1.3,TAFD40,17.0,0,,,,,,,,
9,Standard,,21.729,6.303,TAFD40,15.0,0,,,,,,,,
10,Standard,,97.5998,12.7922,FCD100,15.0,0,,,,,,,,
11,Standard,,122.0685,1.05,E-SK16,14.0,0,,,,,,,,
12,Standard,,38.5429,3.8852,E-SK16,13.0,0,,,,,,,,
13,Standard,,7239458.233416611,2.0,E-SK16,9.5,0,,,,,,,,
14,Standard,,60.3918,3.5923,K-LASFN7,10.0,0,,,,,,,,
15,Standard,,-27.3494,1.0,K-LASFN7,10.0,0,,,,,,,,
16,Standard,,20.3952,2.6624,PBH13,9.0,0,,,,,,,,
17,Standard,,34.4719,2.5155,TAFD30,9.0,0,,,,,,,,
18,Standard,,-132.9454,3.0397,TAFD30,9.0,0,,,,,,,,
19,Standard,,-44.9332,1.2,FDS1,9.0,0,,,,,,,,
20,Standard,,12.1735,8.1233,FDS1,9.0,0,,,,,,,,
21,Standard,,-15.4531,0.8,FDS1,9.0,0,,,,,,,,
22,Standard,,46.8866,7.7636,TAF3,9.0,0,,,,,,,,
23,Standard,,-254.9642,2.1187,FDS1,11.0,0,,,,,,,,
24,Standard,,-35.7963,5.8292,FDS1,11.0,0,,,,,,,,
25,Standard,,-21.0709,1.5992,N-FK5,11.0,0,,,,,,,,
26,Standard,,-17.3788,35.3477,N-FK5,11.0,0,,,,,,,,
27,Standard,,7239458.233416611,130819.68004041509,N-FK5,10.01901606799,0,,,,,,,,
