Field,Poly,0.4861,0.5876,0.6563
0.0,0.45969997,0.69972538,0.14820646,0.34984488
1.44,0.4688358,0.70898239,0.15701095,0.34253004
2.88,0.49384039,0.7344082,0.18139406,0.32150209
4.32,0.52882179,0.76988734,0.21714225,0.28978289
5.76,0.56685953,0.80746555,0.26005262,0.25335005
7.2,0.60154921,0.83897845,0.30602485,0.22234993
8.64,0.62739889,0.85702544,0.35058105,0.2102888
10.08,0.63989979,0.85574689,0.38899908,0.2258774
11.52,0.63600828,0.83189627,0.41724516,0.26498305
12.96,0.61546382,0.78626932,0.43358273,0.31819241
14.4,0.58374821,0.72525269,0.44139507,0.38130633
15.84,0.56084569,0.66454226,0.4574446,0.46167928
17.28,0.60813627,0.6518103,0.53738192,0.59232964
18.72,0.86317393,0.84158052,0.80828133,0.86058525
20.16,1.5179843,1.510235,1.4552053,1.4318069
21.6,2.847567,2.9978505,2.7473793,2.5673297
