Field,Poly,0.4861,0.5876,0.6563
0.0,27.1793,31.2156,26.8727,22.7945
1.4,27.2209,31.2666,26.9096,22.8257
2.8,27.3405,31.4141,27.0156,22.9149
4.2,27.5228,31.6414,27.1763,23.0493
5.6,27.7421,31.9209,27.3676,23.2073
7.0,27.9624,32.2132,27.5555,23.3583
8.4,28.1376,32.4674,27.6958,23.4627
9.8,28.2115,32.6211,27.7342,23.4717
11.2,28.1181,32.6005,27.606,23.3271
12.6,27.7829,32.3211,27.2366,22.9618
14.0,27.1244,31.6901,26.542,22.3002
15.4,26.0586,30.6103,25.4311,21.2604
16.8,24.5088,28.9895,23.8099,19.7582
18.2,22.4276,26.761,21.5929,17.7188
19.6,19.8537,23.9343,18.7329,15.1085
21.0,17.0599,20.7173,15.3118,12.0384
